,Open,High,Low,Close,Volume
1993-11-29 16:00:00-05:00,0.0,8.5,7.5,7.75,93000
1993-11-30 16:00:00-05:00,0.0,7.875,7.25,7.625,109800
1993-12-01 16:00:00-05:00,0.0,7.75,7.25,7.5,93600
1993-12-02 16:00:00-05:00,0.0,8.0,7.375,8.0,50400
1993-12-03 16:00:00-05:00,0.0,8.0,7.5,7.875,25200
1993-12-06 16:00:00-05:00,0.0,7.875,7.5,7.5,12800
1993-12-07 16:00:00-05:00,0.0,8.25,7.5,8.25,18800
1993-12-08 16:00:00-05:00,0.0,8.0,7.625,7.625,22400
1993-12-09 16:00:00-05:00,0.0,8.25,7.625,7.625,35600
1993-12-10 16:00:00-05:00,0.0,8.125,7.5,7.8125,4800
1993-12-13 16:00:00-05:00,0.0,7.5,7.375,7.375,800
1993-12-14 16:00:00-05:00,0.0,8.125,7.5,7.5,17400
1993-12-15 16:00:00-05:00,0.0,7.75,7.5,7.625,8600
1993-12-16 16:00:00-05:00,0.0,8.0,7.375,7.375,3000
1993-12-17 16:00:00-05:00,0.0,8.0,7.5,7.5,13000
1993-12-20 16:00:00-05:00,0.0,7.875,7.375,7.75,20400
1993-12-21 16:00:00-05:00,0.0,7.75,7.375,7.75,6600
1993-12-22 16:00:00-05:00,0.0,7.75,7.4375,7.6875,4600
1993-12-23 16:00:00-05:00,0.0,7.75,7.75,7.75,7000
1993-12-27 16:00:00-05:00,0.0,0.0,0.0,7.75,0
1993-12-28 16:00:00-05:00,0.0,7.75,7.375,7.75,7800
1993-12-29 16:00:00-05:00,0.0,7.5,7.375,7.375,6400
1993-12-30 16:00:00-05:00,0.0,7.75,7.375,7.5,3400
1993-12-31 16:00:00-05:00,0.0,7.375,7.375,7.375,400
1994-01-03 16:00:00-05:00,0.0,7.375,7.375,7.375,200
1994-01-04 16:00:00-05:00,0.0,7.375,7.375,7.375,1000
1994-01-05 16:00:00-05:00,0.0,8.25,7.5,7.625,2400
1994-01-06 16:00:00-05:00,0.0,7.625,7.625,7.625,1600
1994-01-07 16:00:00-05:00,0.0,8.25,7.625,8.25,17800
1994-01-10 16:00:00-05:00,0.0,8.25,7.75,8.0,24600
1994-01-11 16:00:00-05:00,0.0,8.25,7.75,7.75,11800
1994-01-12 16:00:00-05:00,0.0,8.25,7.875,8.125,16600
1994-01-13 16:00:00-05:00,0.0,8.75,8.0,8.0,11200
1994-01-14 16:00:00-05:00,0.0,8.875,8.0,8.25,4000
1994-01-17 16:00:00-05:00,0.0,8.875,8.0,8.25,3800
1994-01-18 16:00:00-05:00,0.0,8.5,8.5,8.5,1000
1994-01-19 16:00:00-05:00,0.0,9.0,8.25,9.0,20800
1994-01-20 16:00:00-05:00,0.0,9.0,8.5,8.5,23800
1994-01-21 16:00:00-05:00,0.0,9.0,8.25,8.25,18600
1994-01-24 16:00:00-05:00,0.0,8.75,8.0,8.0,5800
1994-01-25 16:00:00-05:00,0.0,8.75,8.0,8.75,5600
1994-01-26 16:00:00-05:00,0.0,8.75,8.0,8.0,4400
1994-01-27 16:00:00-05:00,0.0,8.75,8.25,8.75,10800
1994-01-28 16:00:00-05:00,0.0,8.5625,8.25,8.5625,8200
1994-01-31 16:00:00-05:00,0.0,8.75,8.75,8.75,2400
1994-02-01 16:00:00-05:00,0.0,9.0,8.25,9.0,24800
1994-02-02 16:00:00-05:00,0.0,0.0,0.0,9.0,0
1994-02-03 16:00:00-05:00,0.0,8.75,8.25,8.75,14000
1994-02-04 16:00:00-05:00,0.0,8.5,8.0,8.5,4000
1994-02-07 16:00:00-05:00,0.0,8.5,8.0625,8.5,8400
1994-02-08 16:00:00-05:00,0.0,8.5,7.75,7.75,31400
1994-02-09 16:00:00-05:00,0.0,8.5,8.25,8.25,5000
1994-02-10 16:00:00-05:00,0.0,0.0,0.0,8.25,0
1994-02-11 16:00:00-05:00,0.0,8.1875,7.875,8.1875,6000
1994-02-14 16:00:00-05:00,0.0,8.5,8.125,8.25,8000
1994-02-15 16:00:00-05:00,0.0,0.0,0.0,8.25,0
1994-02-16 16:00:00-05:00,0.0,8.5,8.0,8.25,27400
1994-02-17 16:00:00-05:00,0.0,8.25,7.75,7.75,2200
1994-02-18 16:00:00-05:00,0.0,7.75,7.75,7.75,1200
1994-02-22 16:00:00-05:00,0.0,8.25,7.75,8.25,1200
1994-02-23 16:00:00-05:00,0.0,8.25,8.0,8.25,1200
1994-02-24 16:00:00-05:00,0.0,0.0,0.0,8.25,0
1994-02-25 16:00:00-05:00,0.0,8.25,7.75,8.25,3800
1994-02-28 16:00:00-05:00,0.0,8.125,7.5,8.125,27800
1994-03-01 16:00:00-05:00,0.0,8.0,7.3125,7.375,42200
1994-03-02 16:00:00-05:00,0.0,0.0,0.0,7.375,0
1994-03-03 16:00:00-05:00,0.0,0.0,0.0,7.375,0
1994-03-04 16:00:00-05:00,0.0,7.5,7.3125,7.3125,2400
1994-03-07 16:00:00-05:00,0.0,0.0,0.0,7.3125,0
1994-03-08 16:00:00-05:00,0.0,0.0,0.0,7.3125,0
1994-03-09 16:00:00-05:00,0.0,0.0,0.0,7.3125,0
1994-03-10 16:00:00-05:00,0.0,0.0,0.0,7.3125,0
1994-03-11 16:00:00-05:00,0.0,0.0,0.0,7.3125,0
1994-03-14 16:00:00-05:00,0.0,7.875,7.375,7.875,17800
1994-03-15 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1994-03-16 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1994-03-17 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1994-03-18 16:00:00-05:00,0.0,8.0,7.5,7.75,9400
1994-03-21 16:00:00-05:00,0.0,7.75,7.375,7.75,1200
