,Open,High,Low,Close,Volume
2015-04-15 16:00:00-04:00,23.0,25.36,21.67,23.25,1022881
2015-04-16 16:00:00-04:00,23.56,24.74,22.61,22.71,244824
2015-04-17 16:00:00-04:00,23.0,27.0,22.94,26.18,202416
2015-04-20 16:00:00-04:00,27.57,32.17,27.0,31.5,563460
2015-04-21 16:00:00-04:00,32.46,32.5,26.67,27.37,327815
2015-04-22 16:00:00-04:00,29.0,29.88,27.35,27.55,163041
2015-04-23 16:00:00-04:00,27.5,29.59,27.0,27.44,121248
2015-04-24 16:00:00-04:00,27.5,27.68,22.5,22.94,333551
2015-04-27 16:00:00-04:00,23.37,23.9699,19.5501,19.95,657971
2015-04-28 16:00:00-04:00,19.95,20.99,19.61,19.89,224898
2015-04-29 16:00:00-04:00,20.05,21.0,19.7,19.94,154936
2015-04-30 16:00:00-04:00,20.0,21.5,18.25,18.25,272946
2015-05-01 16:00:00-04:00,18.71,19.32,17.06,17.64,309703
2015-05-04 16:00:00-04:00,17.98,19.74,17.98,18.66,380638
2015-05-05 16:00:00-04:00,19.09,19.5,17.17,18.2,229438
2015-05-06 16:00:00-04:00,18.1,18.8795,17.52,17.63,95586
2015-05-07 16:00:00-04:00,18.0,18.46,17.98,18.23,69603
2015-05-08 16:00:00-04:00,18.94,19.74,18.63,19.095,158076
2015-05-11 16:00:00-04:00,19.5,21.2611,19.5,20.14,302250
2015-05-12 16:00:00-04:00,20.5,20.9,20.0,20.2,178052
2015-05-13 16:00:00-04:00,21.43,21.69,20.2501,20.75,94419
2015-05-14 16:00:00-04:00,20.64,20.64,19.61,19.74,165487
2015-05-15 16:00:00-04:00,19.64,21.18,19.39,19.93,118345
2015-05-18 16:00:00-04:00,20.1,20.24,19.5,19.75,87269
2015-05-19 16:00:00-04:00,20.24,20.34,18.02,18.42,123354
2015-05-20 16:00:00-04:00,18.59,19.55,18.25,18.84,108245
2015-05-21 16:00:00-04:00,18.85,19.6,18.7838,19.05,74731
2015-05-22 16:00:00-04:00,19.4,21.0,19.0,20.59,264352
2015-05-26 16:00:00-04:00,20.9,21.56,20.0,20.22,262213
2015-05-27 16:00:00-04:00,22.22,22.9,20.0,20.01,274795
2015-05-28 16:00:00-04:00,20.63,20.63,19.5,19.92,181253
2015-05-29 16:00:00-04:00,19.84,20.35,18.9,19.12,325590
2015-06-01 16:00:00-04:00,19.29,19.74,17.9,18.59,204644
2015-06-02 16:00:00-04:00,18.9,19.725,18.0,19.19,188955
2015-06-03 16:00:00-04:00,19.5,20.75,19.27,20.6,125139
2015-06-04 16:00:00-04:00,20.4,20.74,19.19,19.31,412033
2015-06-05 16:00:00-04:00,19.79,20.42,19.45,20.2,130772
2015-06-08 16:00:00-04:00,20.2,20.95,19.61,20.93,105950
2015-06-09 16:00:00-04:00,20.75,21.9,20.26,21.69,310534
2015-06-10 16:00:00-04:00,21.9,22.33,21.24,22.01,163674
2015-06-11 16:00:00-04:00,22.15,22.15,21.6,22.0,61471
2015-06-12 16:00:00-04:00,22.13,22.15,21.7,22.15,65651
2015-06-15 16:00:00-04:00,22.5,22.79,21.63,21.99,111181
2015-06-16 16:00:00-04:00,22.3,22.82,20.65,20.68,90341
