,Open,High,Low,Close,Volume
2014-06-24 16:00:00-04:00,14.21,15.55,14.2,14.9,10653232
2014-06-25 16:00:00-04:00,15.13,16.18,15.0,15.26,3570084
2014-06-26 16:00:00-04:00,15.15,15.87,14.91,15.14,1204459
2014-06-27 16:00:00-04:00,15.25,15.45,14.9,15.09,744448
2014-06-30 16:00:00-04:00,15.2,15.3,14.9,14.97,695691
2014-07-01 16:00:00-04:00,14.95,15.08,14.49,14.58,958036
2014-07-02 16:00:00-04:00,14.85,15.1,14.5,14.69,732364
2014-07-03 16:00:00-04:00,14.74,14.86,14.51,14.55,245623
2014-07-07 16:00:00-04:00,14.5,14.79,14.2126,14.33,494502
2014-07-08 16:00:00-04:00,14.35,14.45,13.52,13.79,952138
2014-07-09 16:00:00-04:00,13.53,13.75,13.24,13.5,462320
2014-07-10 16:00:00-04:00,13.4,14.54,12.8,14.25,515887
2014-07-11 16:00:00-04:00,14.27,14.28,13.8,13.82,286570
2014-07-14 16:00:00-04:00,13.7,14.02,13.7,13.77,372057
2014-07-15 16:00:00-04:00,13.8,13.98,13.6,13.65,167794
2014-07-16 16:00:00-04:00,13.72,13.72,13.18,13.22,324624
2014-07-17 16:00:00-04:00,13.22,13.4,13.0,13.02,313420
2014-07-18 16:00:00-04:00,13.05,13.06,12.5,12.95,449971
2014-07-21 16:00:00-04:00,12.63,12.73,12.04,12.28,450967
2014-07-22 16:00:00-04:00,12.25,12.72,12.11,12.25,420795
2014-07-23 16:00:00-04:00,12.25,12.72,12.25,12.59,325374
2014-07-24 16:00:00-04:00,12.16,12.85,12.16,12.7,233362
2014-07-25 16:00:00-04:00,12.75,12.85,12.53,12.75,162486
2014-07-28 16:00:00-04:00,12.84,12.84,12.36,12.5,313356
2014-07-29 16:00:00-04:00,12.41,12.8,12.41,12.58,696238
2014-07-30 16:00:00-04:00,12.58,12.7199,12.41,12.42,64156
2014-07-31 16:00:00-04:00,12.4,12.45,12.0,12.01,283049
2014-08-01 16:00:00-04:00,12.03,12.7,12.0,12.69,180318
2014-08-04 16:00:00-04:00,12.77,13.17,12.5,13.03,308339
2014-08-05 16:00:00-04:00,12.74,13.1,12.6001,12.81,148965
2014-08-06 16:00:00-04:00,12.7,12.867,12.6001,12.77,143402
2014-08-07 16:00:00-04:00,12.68,13.5,12.66,13.3,363862
2014-08-08 16:00:00-04:00,13.14,13.6499,13.1,13.23,257756
2014-08-11 16:00:00-04:00,13.38,13.401,12.88,12.95,205053
2014-08-12 16:00:00-04:00,13.02,13.05,12.81,12.9,80501
2014-08-13 16:00:00-04:00,12.88,13.05,12.57,12.62,110407
2014-08-14 16:00:00-04:00,12.62,12.7894,12.25,12.26,161177
2014-08-15 16:00:00-04:00,12.39,12.47,12.1,12.11,230180
2014-08-18 16:00:00-04:00,12.3633,12.3999,12.01,12.03,221319
2014-08-19 16:00:00-04:00,12.08,12.234,11.1301,11.36,580965
2014-08-20 16:00:00-04:00,11.2,11.26,9.96,10.39,1891453
2014-08-21 16:00:00-04:00,10.5,11.95,10.42,11.83,1860457
2014-08-22 16:00:00-04:00,11.81,12.0,11.32,11.87,659712
2014-08-25 16:00:00-04:00,11.94,11.94,11.3399,11.39,485411
2014-08-26 16:00:00-04:00,11.3,11.405,10.882,11.06,432442
2014-08-27 16:00:00-04:00,11.0,11.13,10.7,10.87,436491
2014-08-28 16:00:00-04:00,10.8,11.47,10.769,11.2,450903
2014-08-29 16:00:00-04:00,11.19,11.3299,11.11,11.23,126055
2014-09-02 16:00:00-04:00,11.06,11.48,11.0,11.48,255537
2014-09-03 16:00:00-04:00,11.5,11.68,11.11,11.48,204413
2014-09-04 16:00:00-04:00,11.44,12.69,11.38,12.08,1007980
2014-09-05 16:00:00-04:00,12.1,13.33,12.1,13.33,1415828
2014-09-08 16:00:00-04:00,13.08,14.31,12.88,13.85,772949
2014-09-09 16:00:00-04:00,13.84,14.2,13.11,13.88,910839
2014-09-10 16:00:00-04:00,13.85,13.85,13.16,13.35,325187
2014-09-11 16:00:00-04:00,13.35,13.35,13.03,13.15,505683
2014-09-12 16:00:00-04:00,13.37,13.3999,12.65,12.8,473167
