,Open,High,Low,Close,Volume
2009-11-10 16:00:00-05:00,6.99,7.0,6.0,6.33,342851
2009-11-11 16:00:00-05:00,6.32,6.32,5.53,5.73,390935
2009-11-12 16:00:00-05:00,5.43,5.7,5.3,5.6,321868
2009-11-13 16:00:00-05:00,4.54,5.2,4.36,5.02,1236638
2009-11-16 16:00:00-05:00,4.86,5.153,4.7,4.79,319122
2009-11-17 16:00:00-05:00,4.5,4.71,4.45,4.56,315188
2009-11-18 16:00:00-05:00,4.56,4.72,4.51,4.52,79416
2009-11-19 16:00:00-05:00,4.62,4.6399,4.5,4.5848,152669
2009-11-20 16:00:00-05:00,4.58,4.6,4.48,4.48,117919
2009-11-23 16:00:00-05:00,4.63,4.6576,4.05,4.1399,254078
2009-11-24 16:00:00-05:00,4.14,4.4,3.75,4.1,352930
2009-11-25 16:00:00-05:00,4.38,4.38,4.05,4.1,99223
2009-11-27 13:00:00-05:00,4.1,4.19,4.07,4.16,35345
2009-11-30 16:00:00-05:00,4.24,4.24,3.9,4.1,191732
2009-12-01 16:00:00-05:00,4.22,4.22,3.96,4.0,100974
2009-12-02 16:00:00-05:00,4.05,4.05,3.8,3.86,116695
2009-12-03 16:00:00-05:00,3.82,3.94,3.5,3.53,216800
2009-12-04 16:00:00-05:00,3.89,3.89,3.45,3.88,241715
2009-12-07 16:00:00-05:00,3.95,4.3,3.9,4.284,254926
2009-12-08 16:00:00-05:00,4.45,4.47,4.05,4.47,86085
2009-12-09 16:00:00-05:00,4.49,4.55,4.1,4.55,126691
2009-12-10 16:00:00-05:00,4.57,4.57,4.21,4.23,64928
2009-12-11 16:00:00-05:00,4.21,4.5,4.2,4.2,71067
2009-12-14 16:00:00-05:00,4.2,4.35,4.15,4.35,70553
2009-12-15 16:00:00-05:00,4.35,4.35,4.2,4.28,71194
2009-12-16 16:00:00-05:00,4.25,4.3,4.17,4.3,104959
2009-12-17 16:00:00-05:00,4.3,4.45,4.11,4.12,111519
2009-12-18 16:00:00-05:00,4.2,4.34,4.1,4.33,53526
2009-12-21 16:00:00-05:00,4.3,4.3,4.0,4.03,110126
2009-12-22 16:00:00-05:00,4.03,4.0575,3.85,3.98,108593
2009-12-23 16:00:00-05:00,3.94,4.0,3.874,3.89,56845
2009-12-24 13:00:00-05:00,3.89,3.91,3.75,3.77,290388
2009-12-28 16:00:00-05:00,3.8,4.0499,3.75,3.88,137396
2009-12-29 16:00:00-05:00,3.9,3.99,3.84,3.89,85301
2009-12-30 16:00:00-05:00,3.78,3.9,3.75,3.9,123912
2009-12-31 16:00:00-05:00,3.8,3.92,3.8,3.92,85149
2010-01-04 16:00:00-05:00,4.0,4.0,3.7,3.7,202011
2010-01-05 16:00:00-05:00,3.95,3.95,3.75,3.87,140871
2010-01-06 16:00:00-05:00,4.0,4.0,3.8,3.88,99650
2010-01-07 16:00:00-05:00,3.94,3.97,3.84,3.84,80039
2010-01-08 16:00:00-05:00,3.96,3.96,3.84,3.9284,110574
2010-01-11 16:00:00-05:00,3.98,3.98,3.79,3.84,99229
2010-01-12 16:00:00-05:00,3.79,3.8699,3.15,3.25,741443
2010-01-13 16:00:00-05:00,3.28,3.48,3.28,3.4,241296
2010-01-14 16:00:00-05:00,3.52,3.74,3.51,3.7,184344
2010-01-15 16:00:00-05:00,3.78,3.8599,3.59,3.59,156677
2010-01-19 16:00:00-05:00,3.55,3.62,3.4,3.4928,174376
2010-01-20 16:00:00-05:00,3.5,3.56,3.3,3.35,113617
2010-01-21 16:00:00-05:00,3.35,3.4,3.1,3.15,177989
2010-01-22 16:00:00-05:00,3.15,3.2301,3.15,3.15,86781
2010-01-25 16:00:00-05:00,3.13,3.15,2.37,2.58,713267
2010-01-26 16:00:00-05:00,2.54,2.54,2.27,2.38,734163
2010-01-27 16:00:00-05:00,2.29,2.29,2.05,2.13,889620
2010-01-28 16:00:00-05:00,2.29,2.49,2.1,2.23,926922
2010-01-29 16:00:00-05:00,2.45,2.45,2.02,2.02,737632
2010-02-01 16:00:00-05:00,2.04,2.15,2.02,2.05,698120
2010-02-02 16:00:00-05:00,2.08,2.49,2.01,2.44,1000545
2010-02-03 16:00:00-05:00,2.66,3.03,2.57,2.73,2440129
2010-02-04 16:00:00-05:00,2.65,2.85,2.5,2.67,722914
2010-02-05 16:00:00-05:00,2.79,2.79,2.45,2.53,332953
2010-02-08 16:00:00-05:00,2.71,2.71,2.44,2.57,169878
2010-02-09 16:00:00-05:00,2.56,2.6399,2.45,2.55,164579
2010-02-10 16:00:00-05:00,2.55,2.55,2.45,2.5,137269
2010-02-11 16:00:00-05:00,2.49,2.55,2.49,2.51,123483
2010-02-12 16:00:00-05:00,2.52,2.55,2.49,2.55,157111
2010-02-16 16:00:00-05:00,2.55,2.7,2.524,2.6301,231656
2010-02-17 16:00:00-05:00,2.68,2.76,2.66,2.7,244196
2010-02-18 16:00:00-05:00,2.84,2.84,2.5,2.63,180257
2010-02-19 16:00:00-05:00,2.58,2.7,2.53,2.61,185563
2010-02-22 16:00:00-05:00,2.73,2.73,2.6,2.61,170514
2010-02-23 16:00:00-05:00,2.57,2.7,2.56,2.61,169649
2010-02-24 16:00:00-05:00,2.69,2.7,2.6,2.67,212083
2010-02-25 16:00:00-05:00,2.7,2.74,2.62,2.71,210145
2010-02-26 16:00:00-05:00,2.7,2.72,2.61,2.62,61668
2010-03-01 16:00:00-05:00,2.63,2.71,2.55,2.65,208610
2010-03-02 16:00:00-05:00,2.65,2.71,2.6,2.65,151129
2010-03-03 16:00:00-05:00,2.68,2.68,2.62,2.64,95720
2010-03-04 16:00:00-05:00,2.7,2.7,2.65,2.68,65375
2010-03-05 16:00:00-05:00,2.69,2.75,2.666,2.7,308225
2010-03-08 16:00:00-05:00,2.78,3.1,2.7599,3.01,580979
2010-03-09 16:00:00-05:00,2.98,3.25,2.95,3.2,732778
2010-03-10 16:00:00-05:00,3.2,3.285,3.1,3.1,344259
2010-03-11 16:00:00-05:00,3.08,3.08,2.74,2.85,358587
2010-03-12 16:00:00-05:00,2.88,3.0301,2.87,3.02,318197
2010-03-15 16:00:00-04:00,3.25,3.25,3.05,3.1,323891
2010-03-16 16:00:00-04:00,3.22,3.44,3.17,3.2,643437
2010-03-17 16:00:00-04:00,3.19,3.24,2.95,3.06,363443
2010-03-18 16:00:00-04:00,3.08,3.09,2.94,3.02,233759
2010-03-19 16:00:00-04:00,3.07,3.07,2.9,2.94,193135
2010-03-22 16:00:00-04:00,2.96,2.96,2.81,2.85,243522
2010-03-23 16:00:00-04:00,2.86,2.86,2.8,2.8,168893
2010-03-24 16:00:00-04:00,2.82,3.03,2.8,2.94,298107
2010-03-25 16:00:00-04:00,3.0,3.01,2.79,2.81,208349
2010-03-26 16:00:00-04:00,2.8,2.95,2.79,2.79,173475
2010-03-29 16:00:00-04:00,2.79,2.8,2.75,2.75,139807
2010-03-30 16:00:00-04:00,2.75,2.8799,2.68,2.81,173630
2010-03-31 16:00:00-04:00,2.84,2.84,2.744,2.83,43987
2010-04-05 16:00:00-04:00,2.85,3.02,2.8461,2.94,319304
2010-04-06 16:00:00-04:00,2.95,3.09,2.92,3.06,497433
2010-04-07 16:00:00-04:00,3.1,3.14,2.9,3.09,367069
2010-04-08 16:00:00-04:00,3.14,3.2,3.06,3.14,220322
2010-04-09 16:00:00-04:00,3.1,3.2,3.03,3.1,149346
2010-04-12 16:00:00-04:00,3.04,3.06,2.94,2.96,198991
2010-04-13 16:00:00-04:00,3.05,3.06,2.96,2.96,134901
2010-04-14 16:00:00-04:00,2.95,3.05,2.92,2.97,186586
2010-04-15 16:00:00-04:00,2.97,3.02,2.83,2.9,256242
2010-04-16 16:00:00-04:00,2.96,2.98,2.85,2.93,131607
2010-04-19 16:00:00-04:00,2.91,2.97,2.86,2.91,112696
2010-04-20 16:00:00-04:00,2.96,3.0,2.88,2.97,97220
