,Open,High,Low,Close,Volume
2009-11-05 16:00:00-05:00,5.17,5.52,3.25,5.35,910025
2009-11-06 16:00:00-05:00,5.59,5.7,5.35,5.58,744245
2009-11-09 16:00:00-05:00,5.65,5.75,5.37,5.44,338792
2009-11-10 16:00:00-05:00,5.63,5.63,4.99,5.27,412767
2009-11-11 16:00:00-05:00,5.37,5.64,5.12,5.3,266888
2009-11-12 16:00:00-05:00,5.49,5.49,5.16,5.22,193724
2009-11-13 16:00:00-05:00,5.25,5.588,5.25,5.56,283186
2009-11-16 16:00:00-05:00,5.74,5.74,5.25,5.3101,319848
2009-11-17 16:00:00-05:00,5.29,5.59,5.15,5.3,294985
2009-11-18 16:00:00-05:00,5.43,5.5,5.26,5.27,174257
2009-11-19 16:00:00-05:00,5.27,5.27,5.09,5.17,213186
2009-11-20 16:00:00-05:00,5.0,5.48,5.0,5.35,310312
2009-11-23 16:00:00-05:00,5.48,5.7499,5.2,5.28,351554
2009-11-24 16:00:00-05:00,5.44,5.4671,5.1001,5.1776,269470
2009-11-25 16:00:00-05:00,5.42,5.42,4.57,4.8,590862
2009-11-27 16:00:00-05:00,4.28,4.85,4.08,4.62,366244
2009-11-30 16:00:00-05:00,4.66,4.99,4.62,4.9,261874
2009-12-01 16:00:00-05:00,4.75,5.0,4.75,4.96,148763
2009-12-02 16:00:00-05:00,4.99,5.07,4.65,4.66,312945
2009-12-03 16:00:00-05:00,4.86,4.86,4.28,4.47,291700
2009-12-04 16:00:00-05:00,4.45,4.648,4.434,4.52,222337
2009-12-07 16:00:00-05:00,4.6,4.65,4.26,4.3,182176
2009-12-08 16:00:00-05:00,4.29,4.2996,3.8501,4.02,432191
2009-12-09 16:00:00-05:00,3.98,4.25,3.8,4.22,497693
2009-12-10 16:00:00-05:00,4.15,4.49,4.05,4.2,183114
2009-12-11 16:00:00-05:00,4.2,4.23,3.97,4.1801,102472
2009-12-14 16:00:00-05:00,4.17,4.36,4.17,4.34,129267
2009-12-15 16:00:00-05:00,4.39,4.98,4.2801,4.77,440574
2009-12-16 16:00:00-05:00,4.84,4.95,4.76,4.8,162535
2009-12-17 16:00:00-05:00,4.94,4.94,4.6901,4.7299,164115
2009-12-18 16:00:00-05:00,4.8,4.8,4.51,4.5601,151239
2009-12-21 16:00:00-05:00,4.53,4.8,4.0,4.31,183488
2009-12-22 16:00:00-05:00,4.31,4.35,4.0499,4.29,158859
2009-12-23 16:00:00-05:00,4.25,4.43,4.1,4.25,98556
2009-12-24 16:00:00-05:00,4.26,4.4755,4.2,4.26,67135
2009-12-28 16:00:00-05:00,4.2,4.48,4.2,4.4,107362
2009-12-29 16:00:00-05:00,4.32,4.3999,4.256,4.35,80249
2009-12-30 16:00:00-05:00,4.35,4.65,4.3,4.5696,116325
2009-12-31 16:00:00-05:00,4.58,4.69,4.56,4.6699,124017
2010-01-04 16:00:00-05:00,4.67,4.87,4.5,4.68,411652
2010-01-05 16:00:00-05:00,4.7,4.95,4.7,4.95,373309
2010-01-06 16:00:00-05:00,4.84,5.15,4.73,4.7501,868647
2010-01-07 16:00:00-05:00,5.11,5.11,4.7,4.74,513232
2010-01-08 16:00:00-05:00,4.85,4.87,4.72,4.76,194537
2010-01-11 16:00:00-05:00,4.84,4.85,4.6151,4.6499,187045
2010-01-12 16:00:00-05:00,4.57,4.7,4.23,4.31,232224
2010-01-13 16:00:00-05:00,4.31,4.45,4.27,4.3,106941
2010-01-14 16:00:00-05:00,4.32,4.38,4.27,4.36,120774
2010-01-15 16:00:00-05:00,4.39,4.45,4.25,4.3499,106589
2010-01-19 16:00:00-05:00,4.3,4.4,4.2,4.21,143828
2010-01-20 16:00:00-05:00,4.15,4.25,4.15,4.17,92634
2010-01-21 16:00:00-05:00,4.24,4.28,3.96,4.05,202807
2010-01-22 16:00:00-05:00,4.0,4.03,3.91,3.95,269290
2010-01-25 16:00:00-05:00,3.95,3.95,3.5,3.93,450431
2010-01-26 16:00:00-05:00,4.0,4.48,3.87,4.36,328009
2010-01-27 16:00:00-05:00,4.31,4.55,4.2,4.25,145328
2010-01-28 16:00:00-05:00,4.35,4.35,4.12,4.281,233513
2010-01-29 16:00:00-05:00,4.23,4.75,4.23,4.57,417738
2010-02-01 16:00:00-05:00,4.83,4.83,4.66,4.79,259779
2010-02-02 16:00:00-05:00,4.84,4.88,4.74,4.79,262646
2010-02-03 16:00:00-05:00,4.9,4.92,4.79,4.89,257194
2010-02-04 16:00:00-05:00,4.92,4.92,4.25,4.25,347903
2010-02-05 16:00:00-05:00,4.19,4.25,4.01,4.06,321151
2010-02-08 16:00:00-05:00,4.05,4.4,4.05,4.15,381278
2010-02-09 16:00:00-05:00,4.26,4.46,4.19,4.45,415991
2010-02-10 16:00:00-05:00,4.45,4.45,3.86,3.87,3131765
2010-02-11 16:00:00-05:00,3.95,3.96,3.77,3.95,818034
2010-02-12 16:00:00-05:00,3.98,3.98,3.84,3.95,434672
2010-02-16 16:00:00-05:00,4.09,4.09,3.93,4.0299,285569
2010-02-17 16:00:00-05:00,3.95,4.13,3.95,4.07,417478
2010-02-18 16:00:00-05:00,4.06,4.165,3.98,3.98,324281
2010-02-19 16:00:00-05:00,4.03,4.24,3.92,4.2,284730
2010-02-22 16:00:00-05:00,4.17,4.24,4.0501,4.11,193306
2010-02-23 16:00:00-05:00,4.12,4.14,4.02,4.02,186753
2010-02-24 16:00:00-05:00,4.04,4.1,3.99,4.09,229394
2010-02-25 16:00:00-05:00,4.09,4.09,3.94,4.08,249068
2010-02-26 16:00:00-05:00,3.79,4.14,3.78,4.13,251637
2010-03-01 16:00:00-05:00,4.11,4.2,4.06,4.12,100307
2010-03-02 16:00:00-05:00,4.1,4.477,4.08,4.45,374848
2010-03-03 16:00:00-05:00,4.2,4.2,4.0,4.06,923145
2010-03-04 16:00:00-05:00,4.06,4.15,3.95,3.99,695885
2010-03-05 16:00:00-05:00,4.0,4.05,3.99,4.0,410945
2010-03-08 16:00:00-05:00,4.08,4.08,3.85,3.88,393793
2010-03-09 16:00:00-05:00,3.98,3.9999,3.9,3.95,233370
2010-03-10 16:00:00-05:00,3.98,4.01,3.93,4.008,240430
2010-03-11 16:00:00-05:00,3.98,4.02,3.9,3.92,205697
2010-03-12 16:00:00-05:00,3.99,4.04,3.86,3.88,316390
2010-03-15 16:00:00-04:00,3.85,3.93,3.85,3.87,160547
2010-03-16 16:00:00-04:00,3.83,3.88,3.8,3.83,216610
2010-03-17 16:00:00-04:00,3.85,3.889,3.822,3.86,340014
2010-03-18 16:00:00-04:00,3.89,3.92,3.83,3.85,248195
2010-03-19 16:00:00-04:00,3.85,3.88,3.81,3.81,170287
2010-03-22 16:00:00-04:00,3.8,3.87,3.63,3.72,567453
