,Open,High,Low,Close,Volume
2012-06-11 16:00:00-04:00,2.74,2.79,2.67,2.7899,34900
2012-06-15 16:00:00-04:00,2.44,2.48,2.39,2.48,6800
2012-06-26 16:00:00-04:00,2.04,2.04,1.99,2.04,4494
2012-06-27 16:00:00-04:00,2.0,2.02,1.98,2.0199,6090
2012-07-05 16:00:00-04:00,1.87,1.88,1.78,1.86,28600
2012-07-06 16:00:00-04:00,1.86,1.89,1.82,1.87,10787
2012-07-18 16:00:00-04:00,1.93,1.98,1.91,1.95,10200
2012-07-31 16:00:00-04:00,1.79,1.79,1.76,1.7699,7000
2012-08-01 16:00:00-04:00,1.74,1.74,1.67,1.68,9991
2012-08-02 16:00:00-04:00,1.62,1.67,1.61,1.67,10000
2012-08-03 16:00:00-04:00,1.67,1.85,1.67,1.85,9700
2012-08-06 16:00:00-04:00,1.87,1.9,1.85,1.85,5000
2012-08-07 16:00:00-04:00,1.82,1.91,1.82,1.89,2598
2012-08-08 16:00:00-04:00,1.9,1.94,1.87,1.87,4835
2012-08-09 16:00:00-04:00,1.85,1.9,1.82,1.88,3000
2012-08-10 16:00:00-04:00,1.87,1.87,1.85,1.86,2300
2012-08-13 16:00:00-04:00,1.82,1.82,1.79,1.79,7743
2012-08-14 16:00:00-04:00,1.51,1.56,1.23,1.31,172717
2012-08-15 16:00:00-04:00,1.31,1.37,1.17,1.22,31600
2012-08-16 16:00:00-04:00,1.23,1.54,1.23,1.42,172441
2012-08-17 16:00:00-04:00,1.49,1.53,1.42,1.46,34051
2012-08-20 16:00:00-04:00,1.45,1.46,1.38,1.38,53300
2012-08-21 16:00:00-04:00,1.42,1.42,1.31,1.35,59607
2012-08-22 16:00:00-04:00,1.35,1.41,1.33,1.38,16600
2012-08-23 16:00:00-04:00,1.43,1.49,1.38,1.45,43800
2012-08-24 16:00:00-04:00,1.47,1.63,1.47,1.6,43972
2012-08-27 16:00:00-04:00,1.61,1.68,1.53,1.57,34399
2012-08-28 16:00:00-04:00,1.52,1.57,1.52,1.54,20918
2012-08-29 16:00:00-04:00,1.52,1.54,1.47,1.48,35530
2012-08-30 16:00:00-04:00,1.71,1.72,1.62,1.7,89096
2012-08-31 16:00:00-04:00,1.69,1.77,1.66,1.75,27250
2012-09-04 16:00:00-04:00,1.74,1.74,1.7,1.71,9050
2012-09-05 16:00:00-04:00,1.74,1.85,1.74,1.82,12810
2012-09-06 16:00:00-04:00,1.83,1.84,1.77,1.79,8300
2012-09-07 16:00:00-04:00,1.76,1.78,1.71,1.71,8350
2012-09-10 16:00:00-04:00,1.75,1.77,1.71,1.74,6075
2012-09-11 16:00:00-04:00,1.78,1.85,1.78,1.81,16600
2012-09-12 16:00:00-04:00,1.81,1.81,1.75,1.8,7900
2012-09-13 16:00:00-04:00,1.79,1.86,1.78,1.85,15602
2012-09-14 16:00:00-04:00,1.9,2.04,1.88,2.04,10700
2012-09-17 16:00:00-04:00,2.1,2.29,2.1,2.15,11975
2012-09-18 16:00:00-04:00,2.4,2.44,2.2,2.24,45715
2012-09-19 16:00:00-04:00,2.23,2.23,2.0932,2.0932,9202
2012-09-20 16:00:00-04:00,2.07,2.1,2.07,2.1,3700
2012-09-21 16:00:00-04:00,2.1,2.12,2.02,2.05,6200
2012-09-24 16:00:00-04:00,2.02,2.03,1.96,2.03,6600
2012-09-25 16:00:00-04:00,2.03,2.05,1.95,1.95,7100
2012-09-26 16:00:00-04:00,1.91,2.02,1.88,2.01,14900
2012-09-27 16:00:00-04:00,2.01,2.02,1.95,1.95,4701
2012-09-28 16:00:00-04:00,1.95,1.98,1.9,1.93,3500
2012-10-01 16:00:00-04:00,1.96,1.97,1.89,1.89,4000
2012-10-02 16:00:00-04:00,1.87,1.92,1.85,1.91,35100
2012-10-03 16:00:00-04:00,1.96,1.96,1.86,1.86,7800
2012-10-04 16:00:00-04:00,1.85,1.91,1.85,1.89,2800
2012-10-05 16:00:00-04:00,1.91,1.91,1.87,1.9,3900
2012-10-08 16:00:00-04:00,1.86,1.86,1.82,1.83,500
2012-10-09 16:00:00-04:00,1.82,1.82,1.77,1.77,9750
2012-10-10 16:00:00-04:00,1.75,1.8,1.75,1.78,6400
2012-10-11 16:00:00-04:00,0.0,0.0,0.0,1.76,0
2012-10-12 16:00:00-04:00,1.73,1.73,1.66,1.71,6500
2012-10-15 16:00:00-04:00,1.65,1.69,1.64,1.66,7600
2012-10-16 16:00:00-04:00,1.73,1.74,1.68,1.68,2631
2012-10-17 16:00:00-04:00,1.7,1.75,1.7,1.7,6600
2012-10-18 16:00:00-04:00,1.69,1.72,1.69,1.71,14550
2012-10-19 16:00:00-04:00,1.68,1.68,1.63,1.65,6000
2012-10-22 16:00:00-04:00,1.66,1.68,1.64,1.64,5500
2012-10-23 16:00:00-04:00,1.63,1.71,1.61,1.61,6386
2012-10-24 16:00:00-04:00,1.61,1.64,1.58,1.61,3000
2012-10-25 16:00:00-04:00,1.62,1.62,1.61,1.61,13600
2012-10-26 16:00:00-04:00,1.58,1.58,1.57,1.57,300
2012-10-31 16:00:00-04:00,1.58,1.69,1.55,1.68,7900
2012-11-01 16:00:00-04:00,1.75,1.81,1.68,1.77,21200
2012-11-02 16:00:00-04:00,1.72,1.72,1.66,1.68,5800
2012-11-05 16:00:00-05:00,1.69,1.7,1.66,1.69,3200
2012-11-06 16:00:00-05:00,1.71,1.72,1.69,1.7,2200
2012-11-07 16:00:00-05:00,1.65,1.68,1.62,1.66,2200
2012-11-08 16:00:00-05:00,1.66,1.66,1.64,1.6499,11100
2012-11-09 16:00:00-05:00,1.63,1.64,1.62,1.62,2500
2012-11-12 16:00:00-05:00,1.67,1.68,1.64,1.66,8395
2012-11-13 16:00:00-05:00,1.67,1.68,1.61,1.61,1350
2012-11-14 16:00:00-05:00,1.69,1.7,1.61,1.64,5000
2012-11-15 16:00:00-05:00,1.58,1.59,1.51,1.53,7400
2012-11-16 16:00:00-05:00,1.51,1.55,1.51,1.55,2500
2012-11-19 16:00:00-05:00,1.56,1.64,1.54,1.55,4850
2012-11-20 16:00:00-05:00,1.56,1.58,1.53,1.54,6100
2012-11-21 16:00:00-05:00,1.5102,1.5201,1.45,1.48,175629
2012-11-23 16:00:00-05:00,1.48,1.49,1.37,1.43,134986
2012-11-26 16:00:00-05:00,1.45,1.45,1.38,1.38,237858
2012-11-27 16:00:00-05:00,1.35,1.3536,1.31,1.33,304543
2012-11-28 16:00:00-05:00,1.32,1.33,1.25,1.29,246994
2012-11-29 16:00:00-05:00,1.31,1.32,1.25,1.28,114833
2012-11-30 16:00:00-05:00,1.26,1.32,1.21,1.26,83985
