,Open,High,Low,Close,Volume
2007-08-16 16:00:00-04:00,13.9862,14.5144,13.9862,13.9862,3300
2007-08-24 16:00:00-04:00,16.45,16.45,16.45,16.45,250
2007-09-10 16:00:00-04:00,17.5265,17.54,17.5265,17.5265,4000
2007-10-10 16:00:00-04:00,19.5033,19.5033,19.5033,19.5033,250
2007-10-29 16:00:00-04:00,19.0706,19.0706,19.0706,19.0706,1000
2007-10-30 16:00:00-04:00,18.3,18.4,18.18,18.3,2500
2007-11-12 16:00:00-05:00,18.5276,18.5899,18.4633,18.5276,3300
2007-11-15 16:00:00-05:00,16.1,16.1,16.1,16.1,10000
2007-12-07 16:00:00-05:00,15.798,15.798,15.798,15.798,4000
2008-01-16 16:00:00-05:00,14.8585,14.8585,14.8585,14.8585,200
2008-02-07 16:00:00-05:00,15.33,15.33,15.33,15.33,750
2008-03-20 16:00:00-04:00,11.509,11.509,11.509,11.509,100
2008-03-26 16:00:00-04:00,12.0302,12.0302,12.0105,12.0302,1000
2008-04-22 16:00:00-04:00,10.2944,10.2944,10.2944,10.2944,100
2008-05-13 16:00:00-04:00,7.547,8.8443,7.537,7.547,7600
2008-05-15 16:00:00-04:00,8.043,8.0941,8.043,8.043,2300
2008-05-21 16:00:00-04:00,8.202,8.202,8.202,8.202,100
2008-06-24 16:00:00-04:00,8.792,8.792,8.792,8.792,300
2008-07-29 16:00:00-04:00,6.9,6.9,6.9,6.9,1000
2008-08-11 16:00:00-04:00,4.3745,4.6088,4.2905,4.3745,7000
2008-08-22 16:00:00-04:00,4.4451,4.4451,4.3782,4.4451,1000
2008-08-29 16:00:00-04:00,4.095,4.095,4.095,4.095,21000
2008-09-18 16:00:00-04:00,3.812,3.812,3.812,3.812,100
2008-09-22 16:00:00-04:00,3.4643,3.4643,3.4643,3.4643,2500
2008-09-23 16:00:00-04:00,3.255,3.255,3.255,3.255,25000
2008-09-24 16:00:00-04:00,3.235,3.235,3.235,3.235,3000
2008-09-26 16:00:00-04:00,3.1965,3.197,3.1915,3.1965,2500
2008-09-30 16:00:00-04:00,3.0935,3.0935,3.0935,3.0935,1600
2008-10-17 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-20 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-21 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-22 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-23 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-24 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-27 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-28 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-29 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-30 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-10-31 16:00:00-04:00,0.0,0.0,0.0,3.0935,0
2008-11-03 16:00:00-05:00,0.0,0.0,0.0,3.0935,0
2008-11-04 16:00:00-05:00,0.0,0.0,0.0,3.0935,0
2008-11-05 16:00:00-05:00,0.0,0.0,0.0,3.0935,0
2008-11-06 16:00:00-05:00,2.146,2.15,2.146,2.15,14200
2008-11-07 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-10 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-11 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-12 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-13 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-14 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-17 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-18 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-19 16:00:00-05:00,0.0,0.0,0.0,2.15,0
2008-11-20 16:00:00-05:00,1.5799,1.6299,1.5791,1.5791,12900
2008-11-21 16:00:00-05:00,0.0,0.0,0.0,1.5791,0
2008-11-24 16:00:00-05:00,0.0,0.0,0.0,1.5791,0
2008-11-25 16:00:00-05:00,0.0,0.0,0.0,1.5791,0
2008-11-26 16:00:00-05:00,0.0,0.0,0.0,1.5791,0
