,Open,High,Low,Close,Volume
2016-10-06 16:00:00-04:00,20.5,21.5,19.51,20.0,11662315
2016-10-07 16:00:00-04:00,19.51,20.26,19.51,20.0,943676
2016-10-10 16:00:00-04:00,19.86,20.22,19.86,20.0,337171
2016-10-11 16:00:00-04:00,19.99,20.189,19.665,20.05,360964
2016-10-12 16:00:00-04:00,20.04,20.13,19.91,20.0,342819
2016-10-13 16:00:00-04:00,20.4,20.4,19.17,19.35,1239008
2016-10-14 16:00:00-04:00,19.51,20.04,19.25,19.45,556167
2016-10-17 16:00:00-04:00,19.51,20.0,19.41,19.54,195466
2016-10-18 16:00:00-04:00,19.61,19.99,19.36,19.58,203223
2016-10-19 16:00:00-04:00,19.63,19.72,19.32,19.5,310547
2016-10-20 16:00:00-04:00,19.35,19.44,18.86,19.28,280568
2016-10-21 16:00:00-04:00,19.16,19.74,19.16,19.39,474931
2016-10-24 16:00:00-04:00,19.39,19.78,19.16,19.66,416743
2016-10-25 16:00:00-04:00,19.57,20.09,19.46,19.85,155936
2016-10-26 16:00:00-04:00,20.15,20.38,19.87,20.14,148154
2016-10-27 16:00:00-04:00,20.67,20.84,19.71,19.9,218728
2016-10-28 16:00:00-04:00,19.75,20.23,19.75,20.1,377430
2016-10-31 16:00:00-04:00,20.34,20.4699,19.83,20.03,496443
2016-11-01 16:00:00-04:00,20.1,20.22,19.815,20.01,480733
2016-11-02 16:00:00-04:00,20.11,20.33,19.49,19.54,342912
2016-11-03 16:00:00-04:00,19.65,19.93,19.25,19.43,210261
2016-11-04 16:00:00-04:00,19.4,19.47,18.32,19.37,647351
2016-11-07 16:00:00-05:00,19.49,19.5,18.801,19.48,467538
2016-11-08 16:00:00-05:00,19.32,19.71,19.275,19.35,359131
2016-11-09 16:00:00-05:00,19.37,19.52,19.34,19.4,485047
2016-11-10 16:00:00-05:00,19.44,19.5,19.12,19.28,208447
2016-11-11 16:00:00-05:00,19.25,20.07,19.25,19.93,294219
2016-11-14 16:00:00-05:00,19.93,20.39,19.8101,20.16,321829
2016-11-15 16:00:00-05:00,20.05,20.2,19.97,20.0,181850
2016-11-16 16:00:00-05:00,20.0,20.12,19.71,19.78,201842
2016-11-17 16:00:00-05:00,19.94,20.0,19.83,20.0,159700
2016-11-18 16:00:00-05:00,19.95,20.09,19.86,20.0,243389
2016-11-21 16:00:00-05:00,20.05,20.17,19.82,20.0,225359
2016-11-22 16:00:00-05:00,20.01,20.05,19.7406,19.95,237466
2016-11-23 16:00:00-05:00,19.95,20.0,19.59,19.86,183574
2016-11-25 13:00:00-05:00,19.9,20.0,19.82,20.0,79681
2016-11-28 16:00:00-05:00,19.94,20.24,19.71,19.99,360192
2016-11-29 16:00:00-05:00,19.95,20.4,19.89,20.36,503080
2016-11-30 16:00:00-05:00,20.32,20.43,19.57,20.06,422260
2016-12-01 16:00:00-05:00,20.0,20.25,19.89,20.15,304284
2016-12-02 16:00:00-05:00,20.18,20.32,19.86,20.1,277636
2016-12-05 16:00:00-05:00,20.19,20.3,19.7,19.83,271866
2016-12-06 16:00:00-05:00,19.78,20.1,19.601,20.02,215130
2016-12-07 16:00:00-05:00,20.04,20.085,19.61,19.96,313845
2016-12-08 16:00:00-05:00,19.99,20.03,19.65,19.82,323831
2016-12-09 16:00:00-05:00,19.82,20.5,19.82,20.27,291278
2016-12-12 16:00:00-05:00,20.4,20.6,20.08,20.26,344532
2016-12-13 16:00:00-05:00,20.29,20.4,19.94,19.97,269221
2016-12-14 16:00:00-05:00,19.9,20.03,19.23,19.41,265360
2016-12-15 16:00:00-05:00,19.35,19.91,19.34,19.53,275714
2016-12-16 16:00:00-05:00,19.45,20.48,19.45,20.15,3139018
2016-12-19 16:00:00-05:00,20.16,21.16,20.14,20.97,361214
2016-12-20 16:00:00-05:00,21.08,21.44,20.99,21.4,476070
2016-12-21 16:00:00-05:00,21.43,21.99,21.2801,21.8,300872
2016-12-22 16:00:00-05:00,21.82,21.87,21.32,21.75,291040
2016-12-23 16:00:00-05:00,21.87,22.22,21.53,21.98,476388
2016-12-27 16:00:00-05:00,21.9,22.13,21.88,21.99,104274
2016-12-28 16:00:00-05:00,22.04,22.14,21.77,21.85,313289
2016-12-29 16:00:00-05:00,21.94,22.19,21.94,22.11,129296
2016-12-30 16:00:00-05:00,22.1,22.415,22.1,22.22,149837
2017-01-03 16:00:00-05:00,22.38,22.49,22.17,22.46,189123
2017-01-04 16:00:00-05:00,22.47,22.57,22.01,22.04,266554
2017-01-05 16:00:00-05:00,22.02,22.14,21.6,22.08,569021
2017-01-06 16:00:00-05:00,22.02,22.46,21.85,22.24,377932
2017-01-09 16:00:00-05:00,22.15,22.28,21.69,22.04,189847
2017-01-10 16:00:00-05:00,22.26,22.5,21.85,22.08,197333
2017-01-11 16:00:00-05:00,21.96,22.2775,21.78,22.05,160020
2017-01-12 16:00:00-05:00,21.9,21.9,21.25,21.34,222579
2017-01-13 16:00:00-05:00,21.38,21.945,21.38,21.71,117191
2017-01-17 16:00:00-05:00,21.68,22.1,21.53,21.63,185404
2017-01-18 16:00:00-05:00,21.61,21.99,21.53,21.8,224816
2017-01-19 16:00:00-05:00,21.8,21.9038,21.17,21.25,119608
