,Open,High,Low,Close,Volume
1987-12-11 16:00:00-05:00,0.0,1.9343,1.8843,1.901,767602
1987-12-14 16:00:00-05:00,0.0,1.9343,1.901,1.9343,397598
1987-12-15 16:00:00-05:00,0.0,1.951,1.901,1.9343,2162400
1987-12-16 16:00:00-05:00,0.0,2.001,1.9177,2.001,716002
1987-12-17 16:00:00-05:00,0.0,2.0177,1.9677,1.9844,1279598
1987-12-18 16:00:00-05:00,0.0,1.9844,1.951,1.9844,402398
1987-12-21 16:00:00-05:00,0.0,2.001,1.901,1.9844,860400
1987-12-22 16:00:00-05:00,0.0,2.001,1.9177,1.9677,1218000
1987-12-23 16:00:00-05:00,0.0,1.9844,1.8676,1.9343,1008000
1987-12-24 16:00:00-05:00,0.0,1.9343,1.8676,1.8676,909202
1987-12-28 16:00:00-05:00,0.0,1.901,1.7676,1.901,1507200
1987-12-29 16:00:00-05:00,0.0,1.8843,1.8176,1.8676,348398
1987-12-30 16:00:00-05:00,0.0,1.8843,1.8343,1.851,648398
1987-12-31 16:00:00-05:00,0.0,1.901,1.851,1.8843,698798
1988-01-04 16:00:00-05:00,0.0,1.9677,1.8843,1.901,431602
1988-01-05 16:00:00-05:00,0.0,1.9677,1.9177,1.9343,888000
1988-01-06 16:00:00-05:00,0.0,1.9177,1.851,1.9177,696398
1988-01-07 16:00:00-05:00,0.0,1.901,1.851,1.8843,462398
1988-01-08 16:00:00-05:00,0.0,1.9177,1.7676,1.851,639202
1988-01-11 16:00:00-05:00,0.0,1.8343,1.7509,1.8343,634402
1988-01-12 16:00:00-05:00,0.0,1.8343,1.8009,1.8009,374400
1988-01-13 16:00:00-05:00,0.0,1.8343,1.8009,1.8343,266400
1988-01-14 16:00:00-05:00,0.0,1.8676,1.7676,1.7843,706402
1988-01-15 16:00:00-05:00,0.0,1.8843,1.8343,1.8343,552398
1988-01-18 16:00:00-05:00,0.0,1.8343,1.7843,1.8176,316800
1988-01-19 16:00:00-05:00,0.0,1.8343,1.7843,1.8009,280800
1988-01-20 16:00:00-05:00,0.0,1.8009,1.7509,1.7676,333600
1988-01-21 16:00:00-05:00,0.0,1.7843,1.7509,1.7843,240000
1988-01-22 16:00:00-05:00,0.0,1.8176,1.7676,1.8009,398798
1988-01-25 16:00:00-05:00,0.0,1.8343,1.7843,1.8176,398400
1988-01-26 16:00:00-05:00,0.0,1.8343,1.8009,1.8176,357600
1988-01-27 16:00:00-05:00,0.0,1.8676,1.8009,1.8343,587602
1988-01-28 16:00:00-05:00,0.0,1.8676,1.8176,1.8676,303600
1988-01-29 16:00:00-05:00,0.0,1.901,1.851,1.901,624398
1988-02-01 16:00:00-05:00,0.0,1.9177,1.8676,1.8676,615202
1988-02-02 16:00:00-05:00,0.0,1.8343,1.8009,1.8343,290798
1988-02-03 16:00:00-05:00,0.0,1.851,1.7676,1.7676,515602
1988-02-04 16:00:00-05:00,0.0,1.7843,1.7509,1.7843,514402
1988-02-05 16:00:00-05:00,0.0,1.8343,1.8009,1.8343,368798
1988-02-08 16:00:00-05:00,0.0,1.8176,1.7843,1.7843,221198
1988-02-09 16:00:00-05:00,0.0,1.8009,1.7509,1.7676,596002
1988-02-10 16:00:00-05:00,0.0,1.7843,1.7509,1.7676,471202
1988-02-11 16:00:00-05:00,0.0,1.8343,1.7509,1.8343,523598
1988-02-12 16:00:00-05:00,0.0,1.8676,1.8176,1.8176,398798
1988-02-16 16:00:00-05:00,0.0,1.851,1.8176,1.8176,404002
1988-02-17 16:00:00-05:00,0.0,1.851,1.7509,1.7676,686002
1988-02-18 16:00:00-05:00,0.0,1.8009,1.7843,1.7843,580402
1988-02-19 16:00:00-05:00,0.0,1.8343,1.7843,1.8343,546398
1988-02-22 16:00:00-05:00,0.0,1.901,1.851,1.8843,1489200
1988-02-23 16:00:00-05:00,0.0,1.901,1.8343,1.851,833602
1988-02-24 16:00:00-05:00,0.0,1.8676,1.8009,1.8009,1151602
1988-02-25 16:00:00-05:00,0.0,1.8843,1.8009,1.851,2374800
1988-02-26 16:00:00-05:00,0.0,1.8676,1.8009,1.8343,762398
1988-02-29 16:00:00-05:00,0.0,1.8676,1.8343,1.851,749602
1988-03-01 16:00:00-05:00,0.0,1.901,1.8676,1.8843,2326402
1988-03-02 16:00:00-05:00,0.0,1.901,1.8676,1.8676,617198
1988-03-03 16:00:00-05:00,0.0,1.901,1.8676,1.901,737198
1988-03-04 16:00:00-05:00,0.0,1.9343,1.8676,1.9343,969202
1988-03-07 16:00:00-05:00,0.0,1.9343,1.901,1.9343,530002
