,Open,High,Low,Close,Volume
2012-11-20 16:00:00-05:00,17.0,19.25,16.84,18.4,7311436
2012-11-21 16:00:00-05:00,18.55,19.44,18.52,18.85,882015
2012-11-23 13:00:00-05:00,19.02,19.09,18.3,18.3,119221
2012-11-26 16:00:00-05:00,18.35,18.82,18.25,18.5,271814
2012-11-27 16:00:00-05:00,18.47,19.5,18.37,19.0,276330
2012-11-28 16:00:00-05:00,19.0,19.45,18.75,19.13,263931
2012-11-29 16:00:00-05:00,19.3,19.89,19.013,19.17,326242
2012-11-30 16:00:00-05:00,19.11,19.32,18.73,18.88,163838
2012-12-03 16:00:00-05:00,19.1,19.21,18.6,18.72,169566
2012-12-04 16:00:00-05:00,18.75,19.41,18.61,19.18,151712
2012-12-05 16:00:00-05:00,19.2,20.32,19.18,19.81,294173
2012-12-06 16:00:00-05:00,20.05,20.85,19.86,20.16,916572
2012-12-07 16:00:00-05:00,20.83,21.5,20.4,21.09,374147
2012-12-10 16:00:00-05:00,21.39,22.28,21.11,21.25,339936
2012-12-11 16:00:00-05:00,21.44,21.52,21.1,21.25,247990
2012-12-12 16:00:00-05:00,21.55,22.1,21.47,21.75,153132
2012-12-13 16:00:00-05:00,21.75,21.92,21.4,21.75,97667
2012-12-14 16:00:00-05:00,21.77,21.8,21.51,21.73,83901
2012-12-17 16:00:00-05:00,21.83,21.88,21.44,21.83,157314
2012-12-18 16:00:00-05:00,22.0,23.24,21.9,22.5,539073
2012-12-19 16:00:00-05:00,22.51,23.14,22.44,22.9,541765
2012-12-20 16:00:00-05:00,23.0,24.13,22.8,23.96,532487
2012-12-21 16:00:00-05:00,23.8,24.99,23.65,24.3,469184
2012-12-24 13:00:00-05:00,24.61,24.97,24.2,24.5,201069
2012-12-26 16:00:00-05:00,24.59,24.9,24.45,24.78,252055
2012-12-27 16:00:00-05:00,25.32,25.32,23.66,24.13,387744
2012-12-28 16:00:00-05:00,23.89,23.89,22.61,22.85,619450
2012-12-31 16:00:00-05:00,23.15,24.08,22.72,24.07,503985
2013-01-02 16:00:00-05:00,24.87,25.33,24.22,24.79,395397
2013-01-03 16:00:00-05:00,24.69,24.7,22.95,23.81,368394
2013-01-04 16:00:00-05:00,23.89,23.89,22.31,22.55,704754
2013-01-07 16:00:00-05:00,22.74,22.8599,22.1,22.25,311299
2013-01-08 16:00:00-05:00,22.79,22.79,21.92,21.98,657503
2013-01-09 16:00:00-05:00,22.06,22.22,21.44,21.51,498796
2013-01-10 16:00:00-05:00,21.51,21.54,20.53,20.73,597709
2013-01-11 16:00:00-05:00,20.74,21.24,20.12,20.52,931890
2013-01-14 16:00:00-05:00,20.51,21.49,20.15,21.2,713800
2013-01-15 16:00:00-05:00,21.25,22.189,21.0201,22.09,290735
2013-01-16 16:00:00-05:00,22.17,22.6999,21.88,22.59,169523
2013-01-17 16:00:00-05:00,22.92,23.22,22.52,22.55,516868
2013-01-18 16:00:00-05:00,22.71,22.82,21.55,21.89,450166
2013-01-22 16:00:00-05:00,21.89,21.89,21.11,21.33,486972
2013-01-23 16:00:00-05:00,21.3,22.13,20.86,21.93,447913
2013-01-24 16:00:00-05:00,22.2,23.02,22.01,22.27,328342
2013-01-25 16:00:00-05:00,22.27,23.07,22.27,22.98,336105
2013-01-28 16:00:00-05:00,23.0,23.1,22.54,22.8,232140
2013-01-29 16:00:00-05:00,23.0,23.48,22.55,23.14,454512
2013-01-30 16:00:00-05:00,22.98,23.05,22.6,22.67,248504
2013-01-31 16:00:00-05:00,22.67,23.43,22.52,23.28,355597
2013-02-01 16:00:00-05:00,23.51,23.63,23.212,23.54,286478
2013-02-04 16:00:00-05:00,23.53,23.75,23.39,23.5,278058
2013-02-05 16:00:00-05:00,24.08,25.29,23.94,24.5,708306
2013-02-06 16:00:00-05:00,24.49,24.64,24.0,24.604,256861
2013-02-07 16:00:00-05:00,24.59,25.95,24.508,25.86,569603
2013-02-08 16:00:00-05:00,25.7,26.9,25.58,26.46,370469
