,Open,High,Low,Close,Volume
2017-05-04 16:00:00-04:00,22.15,22.68,21.56,22.0,13740792
2017-05-05 16:00:00-04:00,22.0,22.43,22.0,22.28,1925700
2017-05-08 16:00:00-04:00,22.19,22.34,21.74,22.03,1312208
2017-05-09 16:00:00-04:00,22.0,22.0742,21.65,22.0,818372
2017-05-10 16:00:00-04:00,21.91,21.96,21.31,21.54,1154625
2017-05-11 16:00:00-04:00,21.65,21.76,21.22,21.25,853257
2017-05-12 16:00:00-04:00,21.25,21.56,20.97,21.5,671169
2017-05-15 16:00:00-04:00,21.7,21.75,21.22,21.29,852665
2017-05-16 16:00:00-04:00,21.3,21.71,21.16,21.35,1420317
2017-05-17 16:00:00-04:00,21.43,21.43,21.0,21.0,929631
2017-05-18 16:00:00-04:00,21.04,21.1,20.83,21.01,480840
2017-05-19 16:00:00-04:00,20.89,21.12,20.68,21.0,916069
2017-05-22 16:00:00-04:00,21.15,21.91,21.1,21.91,484338
2017-05-23 16:00:00-04:00,21.52,22.21,21.52,22.03,873671
2017-05-24 16:00:00-04:00,21.94,22.09,21.5,21.68,911324
2017-05-25 16:00:00-04:00,21.47,22.23,21.41,22.06,656553
2017-05-26 16:00:00-04:00,22.05,22.25,21.86,21.97,598001
2017-05-30 16:00:00-04:00,22.26,22.7,21.96,22.11,1104975
2017-05-31 16:00:00-04:00,22.11,22.21,21.85,22.08,1081304
2017-06-01 16:00:00-04:00,22.11,22.6,21.82,22.57,856347
2017-06-02 16:00:00-04:00,22.51,22.87,22.02,22.28,1167122
2017-06-05 16:00:00-04:00,22.13,22.4099,21.88,22.3,718569
2017-06-06 16:00:00-04:00,22.21,22.57,21.9101,22.55,694856
2017-06-07 16:00:00-04:00,22.41,22.55,22.17,22.24,649747
2017-06-08 16:00:00-04:00,22.18,22.48,21.9,22.01,598485
2017-06-09 16:00:00-04:00,21.98,22.15,21.43,21.98,732099
2017-06-12 16:00:00-04:00,22.04,22.045,21.14,21.63,352387
2017-06-13 16:00:00-04:00,21.75,22.19,21.46,22.07,374239
2017-06-14 16:00:00-04:00,22.12,22.18,21.89,22.04,351543
2017-06-15 16:00:00-04:00,21.96,22.5,20.8,20.98,967911
2017-06-16 16:00:00-04:00,20.66,21.5799,20.56,21.38,368579
2017-06-19 16:00:00-04:00,21.28,21.59,21.17,21.28,169735
2017-06-20 16:00:00-04:00,21.2,21.295,20.5,20.55,342649
2017-06-21 16:00:00-04:00,20.63,20.63,19.91,20.45,332122
2017-06-22 16:00:00-04:00,20.48,20.97,20.11,20.62,658929
2017-06-23 16:00:00-04:00,20.64,20.97,20.06,20.88,966358
2017-06-26 16:00:00-04:00,20.84,21.43,20.51,21.32,750047
2017-06-27 16:00:00-04:00,21.26,21.595,20.82,21.47,896055
2017-06-28 16:00:00-04:00,21.48,22.11,21.15,22.02,631967
2017-06-29 16:00:00-04:00,22.1,22.14,21.64,21.65,353378
2017-06-30 16:00:00-04:00,21.53,22.44,21.21,21.98,475794
2017-07-03 13:00:00-04:00,21.92,22.16,21.67,21.91,171054
2017-07-05 16:00:00-04:00,21.87,21.87,20.84,21.12,220889
2017-07-06 16:00:00-04:00,21.06,21.6,20.99,21.32,414136
2017-07-07 16:00:00-04:00,21.41,21.41,20.61,21.18,242087
2017-07-10 16:00:00-04:00,21.1,21.43,20.79,21.05,255980
2017-07-11 16:00:00-04:00,20.98,21.49,20.86,21.35,282521
2017-07-12 16:00:00-04:00,21.32,21.57,21.13,21.49,83698
2017-07-13 16:00:00-04:00,21.37,21.875,21.05,21.7,260104
2017-07-14 16:00:00-04:00,21.53,21.94,21.35,21.51,377752
2017-07-17 16:00:00-04:00,21.38,21.84,21.35,21.76,77196
2017-07-18 16:00:00-04:00,21.65,21.71,21.35,21.57,145921
2017-07-19 16:00:00-04:00,21.66,21.6745,21.3,21.38,211094
2017-07-20 16:00:00-04:00,21.4,21.55,20.8,21.3,292015
2017-07-21 16:00:00-04:00,21.19,21.72,21.05,21.12,208430
2017-07-24 16:00:00-04:00,21.17,21.3,21.0,21.02,123307
2017-07-25 16:00:00-04:00,21.18,21.34,20.8,21.01,307737
2017-07-26 16:00:00-04:00,21.01,21.47,20.84,21.01,173846
2017-07-27 16:00:00-04:00,21.1,21.18,20.84,21.02,78301
2017-07-28 16:00:00-04:00,20.97,21.21,20.96,21.09,110127
2017-07-31 16:00:00-04:00,0.0,0.0,0.0,21.23,224868
2017-08-01 16:00:00-04:00,21.13,21.59,21.13,21.53,613852
2017-08-02 16:00:00-04:00,21.39,21.41,20.33,20.96,266899
2017-08-03 16:00:00-04:00,20.8,21.22,20.11,20.29,625578
2017-08-04 16:00:00-04:00,20.19,20.4,20.135,20.33,316196
2017-08-07 16:00:00-04:00,20.16,20.16,19.88,20.01,262150
2017-08-08 16:00:00-04:00,19.91,19.91,19.35,19.5,564834
2017-08-09 16:00:00-04:00,19.42,19.55,19.18,19.37,676629
2017-08-10 16:00:00-04:00,19.3,19.38,18.91,18.94,481341
2017-08-11 16:00:00-04:00,18.78,19.1,18.55,18.97,493963
2017-08-14 16:00:00-04:00,19.47,19.47,19.01,19.07,376543
2017-08-15 16:00:00-04:00,19.01,19.01,18.54,18.71,222511
2017-08-16 16:00:00-04:00,18.68,18.95,18.55,18.63,195429
2017-08-17 16:00:00-04:00,18.59,18.885,18.41,18.48,143696
2017-08-18 16:00:00-04:00,18.44,18.615,18.125,18.37,240591
2017-08-21 16:00:00-04:00,18.35,18.44,18.05,18.14,191294
2017-08-22 16:00:00-04:00,18.24,18.2562,17.98,18.16,333334
2017-08-23 16:00:00-04:00,18.15,18.65,18.0,18.43,188666
2017-08-24 16:00:00-04:00,18.4,18.58,18.2,18.48,133449
2017-08-25 16:00:00-04:00,18.58,18.58,18.33,18.38,129263
2017-08-28 16:00:00-04:00,18.39,18.48,18.0,18.07,277803
2017-08-29 16:00:00-04:00,17.92,18.02,17.66,17.94,344526
2017-08-30 16:00:00-04:00,18.09,18.72,17.84,18.45,1256842
2017-08-31 16:00:00-04:00,18.46,19.1,18.37,19.06,293259
2017-09-01 16:00:00-04:00,19.15,19.41,18.86,19.3,310772
2017-09-05 16:00:00-04:00,19.3,19.71,19.22,19.6,243829
2017-09-06 16:00:00-04:00,19.77,19.94,19.6,19.85,681556
2017-09-07 16:00:00-04:00,19.93,19.955,19.6505,19.79,532847
2017-09-08 16:00:00-04:00,19.45,19.5,19.1,19.23,580384
2017-09-11 16:00:00-04:00,19.35,19.42,19.0,19.16,346765
2017-09-12 16:00:00-04:00,19.11,19.54,19.11,19.34,180904
2017-09-13 16:00:00-04:00,19.24,19.52,19.14,19.43,190237
2017-09-14 16:00:00-04:00,19.39,19.54,19.17,19.42,237652
2017-09-15 16:00:00-04:00,19.5,19.53,19.15,19.5,392534
2017-09-18 16:00:00-04:00,19.54,19.56,19.27,19.46,122160
2017-09-19 16:00:00-04:00,19.45,19.5,19.18,19.39,333039
2017-09-20 16:00:00-04:00,19.32,19.66,19.19,19.62,169824
2017-09-21 16:00:00-04:00,19.67,19.67,19.355,19.54,182400
2017-09-22 16:00:00-04:00,19.55,19.66,19.4589,19.59,99501
2017-09-25 16:00:00-04:00,19.49,20.239,19.37,20.09,315847
2017-09-26 16:00:00-04:00,19.98,20.42,19.845,20.35,443194
2017-09-27 16:00:00-04:00,20.28,20.28,19.91,20.1,246543
2017-09-28 16:00:00-04:00,20.02,20.16,19.53,20.14,260273
2017-09-29 16:00:00-04:00,20.15,20.47,20.1,20.47,381173
2017-10-02 16:00:00-04:00,20.32,20.58,20.04,20.39,178487
2017-10-03 16:00:00-04:00,20.42,20.6873,19.975,20.23,102520
2017-10-04 16:00:00-04:00,20.17,20.17,19.8,20.02,147790
2017-10-05 16:00:00-04:00,20.09,20.22,19.94,20.19,77161
2017-10-06 16:00:00-04:00,20.05,20.16,19.97,20.07,116718
2017-10-09 16:00:00-04:00,20.12,20.33,20.07,20.12,62133
2017-10-10 16:00:00-04:00,20.37,20.84,20.23,20.46,163424
2017-10-11 16:00:00-04:00,20.51,20.52,20.4601,20.52,802
2017-10-12 16:00:00-04:00,20.28,20.395,20.1,20.27,137396
2017-10-13 16:00:00-04:00,20.32,20.32,19.86,20.09,248815
2017-10-16 16:00:00-04:00,20.11,20.195,19.69,19.75,325399
2017-10-17 16:00:00-04:00,19.69,19.9,19.6,19.67,163327
2017-10-18 16:00:00-04:00,19.71,19.71,19.23,19.36,135845
2017-10-19 16:00:00-04:00,19.32,19.35,18.87,19.02,90737
2017-10-20 16:00:00-04:00,19.03,19.13,18.79,19.1,226306
2017-10-23 16:00:00-04:00,19.08,19.27,18.2,18.41,432352
2017-10-24 16:00:00-04:00,18.43,18.65,18.14,18.41,153051
2017-10-25 16:00:00-04:00,18.38,18.54,17.94,18.39,171268
2017-10-26 16:00:00-04:00,18.43,18.51,18.06,18.41,94300
2017-10-27 16:00:00-04:00,18.34,18.63,18.2101,18.3,184976
2017-10-30 16:00:00-04:00,18.2,18.65,18.19,18.33,328221
2017-10-31 16:00:00-04:00,18.35,18.74,18.32,18.71,178264
2017-11-01 16:00:00-04:00,18.75,19.245,18.75,19.15,383124
2017-11-02 16:00:00-04:00,18.67,19.06,17.595,18.18,508288
2017-11-03 16:00:00-04:00,18.13,18.35,18.07,18.32,160555
2017-11-06 16:00:00-05:00,18.5,19.0,18.07,18.23,884358
2017-11-07 16:00:00-05:00,18.2,18.34,17.94,18.07,553827
2017-11-08 16:00:00-05:00,18.12,18.16,17.87,17.9,1674878
2017-11-09 16:00:00-05:00,17.89,18.02,17.69,17.84,531685
2017-11-10 16:00:00-05:00,17.83,17.96,17.58,17.7,410517
2017-11-13 16:00:00-05:00,17.61,17.63,17.2011,17.29,507280
2017-11-14 16:00:00-05:00,17.19,17.19,16.84,16.88,258363
2017-11-15 16:00:00-05:00,16.78,17.29,16.62,17.23,313503
2017-11-16 16:00:00-05:00,17.31,17.33,16.72,17.0,314122
2017-11-17 16:00:00-05:00,17.07,17.29,16.96,17.24,278493
2017-11-20 16:00:00-05:00,17.25,17.31,16.8,17.04,215169
2017-11-21 16:00:00-05:00,17.04,17.04,16.64,16.78,446947
2017-11-22 16:00:00-05:00,16.83,16.955,16.82,16.93,529706
2017-11-24 13:00:00-05:00,17.11,17.75,17.06,17.42,293331
2017-11-27 16:00:00-05:00,17.43,17.43,17.1,17.31,620068
2017-11-28 16:00:00-05:00,17.24,17.44,16.91,17.38,549038
2017-11-29 16:00:00-05:00,17.35,17.96,17.29,17.41,738822
2017-11-30 16:00:00-05:00,17.42,18.24,17.37,17.75,1858676
2017-12-01 16:00:00-05:00,17.89,18.12,17.75,18.01,481409
2017-12-04 16:00:00-05:00,17.9,18.14,17.82,17.95,417180
2017-12-05 16:00:00-05:00,18.05,18.08,17.8,17.88,263923
2017-12-06 16:00:00-05:00,18.05,18.05,17.61,17.93,334543
2017-12-07 16:00:00-05:00,17.96,18.8,17.76,18.41,417275
