,Open,High,Low,Close,Volume
2017-11-01 16:00:00-04:00,32.1,32.3,31.35,31.9,770147
2017-11-02 16:00:00-04:00,32.0,32.55,31.75,32.55,970893
2017-11-03 16:00:00-04:00,32.4,32.505,31.9,32.4,630469
2017-11-06 16:00:00-05:00,32.15,32.499,32.0,32.0,344565
2017-11-07 16:00:00-05:00,31.9,32.2,31.05,31.2,562760
2017-11-08 16:00:00-05:00,30.9,31.1,30.525,31.1,523791
2017-11-09 16:00:00-05:00,30.75,31.1,30.3,30.7,487232
2017-11-10 16:00:00-05:00,30.85,31.1,30.6,30.6,307409
2017-11-13 16:00:00-05:00,30.4,31.25,30.25,31.2,525210
2017-11-14 16:00:00-05:00,30.95,31.35,30.9,31.25,351765
2017-11-15 16:00:00-05:00,30.75,31.4,30.65,31.15,569538
2017-11-16 16:00:00-05:00,31.4,31.45,31.05,31.1,439739
2017-11-17 16:00:00-05:00,30.8,31.35,30.7,31.25,333165
2017-11-20 16:00:00-05:00,31.35,31.75,31.2,31.75,327836
2017-11-21 16:00:00-05:00,31.9,32.025,31.6,31.95,504919
2017-11-22 16:00:00-05:00,31.9,32.15,31.6,31.6,438330
2017-11-24 13:00:00-05:00,31.8,31.8,31.175,31.3,214032
2017-11-27 16:00:00-05:00,31.3,31.65,31.3,31.35,282101
2017-11-28 16:00:00-05:00,31.45,32.675,31.25,32.65,696950
2017-11-29 16:00:00-05:00,32.95,34.0,32.8,33.65,579144
2017-11-30 16:00:00-05:00,33.9,34.0222,33.2,33.25,471432
2017-12-01 16:00:00-05:00,33.3,33.4999,31.85,33.3,592250
2017-12-04 16:00:00-05:00,34.1,34.45,34.0,34.2,919008
2017-12-05 16:00:00-05:00,34.2,34.2,33.125,33.15,597994
2017-12-06 16:00:00-05:00,33.0,33.4,32.9,33.0,373871
2017-12-07 16:00:00-05:00,33.35,33.45,32.75,33.35,456567
2017-12-08 16:00:00-05:00,33.6,33.6,33.15,33.25,466064
