,Open,High,Low,Close,Volume
2014-06-18 16:00:00-04:00,23.0,23.4,20.64,21.25,4241818
2014-06-19 16:00:00-04:00,21.37,21.76,21.03,21.2,220650
2014-06-20 16:00:00-04:00,21.2,21.41,20.75,21.0,77110
2014-06-23 16:00:00-04:00,21.0,21.02,20.55,20.74,145652
2014-06-24 16:00:00-04:00,20.55,21.76,20.55,21.5,227120
2014-06-25 16:00:00-04:00,21.31,21.82,21.01,21.82,37780
2014-06-26 16:00:00-04:00,21.72,22.1,21.01,21.94,235729
2014-06-27 16:00:00-04:00,22.17,22.195,21.3,22.0,90055
2014-06-30 16:00:00-04:00,21.9,22.29,21.45,22.15,50154
2014-07-01 16:00:00-04:00,22.25,22.78,21.79,22.5,109773
2014-07-02 16:00:00-04:00,22.44,22.84,22.0,22.65,32770
2014-07-03 16:00:00-04:00,22.65,23.34,21.57,22.99,63339
2014-07-07 16:00:00-04:00,22.86,22.99,22.25,22.47,106974
2014-07-08 16:00:00-04:00,22.31,22.52,22.01,22.06,40560
2014-07-09 16:00:00-04:00,22.02,22.44,21.86,21.96,50010
2014-07-10 16:00:00-04:00,21.82,21.82,21.13,21.56,71258
2014-07-11 16:00:00-04:00,21.59,22.402,21.5,21.85,43279
2014-07-14 16:00:00-04:00,22.04,22.04,21.44,21.95,134142
2014-07-15 16:00:00-04:00,21.96,22.25,21.62,21.87,42650
2014-07-16 16:00:00-04:00,21.88,22.1,21.05,21.6,36802
2014-07-17 16:00:00-04:00,21.58,21.86,20.25,20.57,40563
2014-07-18 16:00:00-04:00,20.7,21.1,20.51,21.1,22736
2014-07-21 16:00:00-04:00,21.14,21.14,20.37,20.9,63525
2014-07-22 16:00:00-04:00,20.92,21.63,20.75,21.13,44390
2014-07-23 16:00:00-04:00,21.23,21.52,20.81,21.28,48296
2014-07-24 16:00:00-04:00,21.22,22.0,21.1,21.46,72245
2014-07-25 16:00:00-04:00,21.61,21.76,20.91,21.24,30266
2014-07-28 16:00:00-04:00,20.87,21.17,19.64,20.33,114288
2014-07-29 16:00:00-04:00,20.68,20.68,19.52,19.85,48263
2014-07-30 16:00:00-04:00,20.03,20.42,19.16,19.49,86301
2014-07-31 16:00:00-04:00,19.49,19.53,18.86,19.07,124797
2014-08-01 16:00:00-04:00,19.25,19.76,18.99,19.35,50674
2014-08-04 16:00:00-04:00,19.48,19.58,19.15,19.25,41951
2014-08-05 16:00:00-04:00,19.31,19.45,19.01,19.21,24009
2014-08-06 16:00:00-04:00,19.15,19.688,19.03,19.35,24931
2014-08-07 16:00:00-04:00,19.34,19.64,18.9,19.01,86682
2014-08-08 16:00:00-04:00,19.46,20.2,19.41,19.77,90874
2014-08-11 16:00:00-04:00,19.77,20.04,19.6,19.78,41181
2014-08-12 16:00:00-04:00,19.99,19.99,19.29,19.6,42303
2014-08-13 16:00:00-04:00,19.69,20.04,19.5,19.81,31493
2014-08-14 16:00:00-04:00,19.75,19.99,19.31,19.8,61817
2014-08-15 16:00:00-04:00,19.78,19.99,19.15,19.59,70390
2014-08-18 16:00:00-04:00,19.53,21.05,19.53,21.03,46708
2014-08-19 16:00:00-04:00,21.03,21.74,20.9,21.47,83530
2014-08-20 16:00:00-04:00,21.33,21.74,21.18,21.31,37205
2014-08-21 16:00:00-04:00,21.36,21.5,20.8,21.08,50810
2014-08-22 16:00:00-04:00,20.9,21.05,20.28,20.49,38667
2014-08-25 16:00:00-04:00,20.68,21.25,20.26,20.62,41245
2014-08-26 16:00:00-04:00,20.5,20.5,19.92,20.03,37212
2014-08-27 16:00:00-04:00,20.12,20.2,19.72,19.86,23442
2014-08-28 16:00:00-04:00,20.0,20.41,19.83,20.0,29148
2014-08-29 16:00:00-04:00,20.4,20.5,20.02,20.19,18239
2014-09-02 16:00:00-04:00,20.3,20.3,19.68,19.85,89828
2014-09-03 16:00:00-04:00,20.0,20.06,19.21,19.72,74975
2014-09-04 16:00:00-04:00,19.93,20.06,19.39,19.61,94994
2014-09-05 16:00:00-04:00,19.56,19.81,19.4,19.61,44545
2014-09-08 16:00:00-04:00,19.8,19.85,19.4,19.68,34411
2014-09-09 16:00:00-04:00,19.83,19.99,19.42,19.62,45671
2014-09-10 16:00:00-04:00,19.67,19.98,19.41,19.59,60570
2014-09-11 16:00:00-04:00,19.5,19.59,18.81,19.4,115266
2014-09-12 16:00:00-04:00,19.22,19.66,18.91,19.18,85716
2014-09-15 16:00:00-04:00,19.18,19.18,18.6,18.91,48248
2014-09-16 16:00:00-04:00,18.99,19.1,18.81,19.0,28383
2014-09-17 16:00:00-04:00,19.14,19.81,18.98,19.0,125111
2014-09-18 16:00:00-04:00,18.97,19.51,18.935,19.2,108196
2014-09-19 16:00:00-04:00,19.03,19.72,18.65,18.72,178392
2014-09-22 16:00:00-04:00,18.77,18.89,18.11,18.28,115259
2014-09-23 16:00:00-04:00,18.13,18.33,17.82,17.94,103301
2014-09-24 16:00:00-04:00,17.87,18.04,17.655,17.78,85533
2014-09-25 16:00:00-04:00,17.66,17.88,17.1903,17.45,88464
2014-09-26 16:00:00-04:00,17.52,18.37,17.51,18.21,41315
2014-09-29 16:00:00-04:00,18.2,18.27,17.64,17.76,46508
2014-09-30 16:00:00-04:00,17.8,17.93,17.25,17.35,570316
2014-10-01 16:00:00-04:00,17.25,17.43,16.225,16.93,125041
2014-10-02 16:00:00-04:00,17.06,17.68,16.6,17.31,250008
2014-10-03 16:00:00-04:00,17.49,17.49,16.92,17.12,78823
2014-10-06 16:00:00-04:00,17.0,17.29,16.57,16.69,61396
2014-10-07 16:00:00-04:00,16.51,16.74,16.21,16.23,51493
2014-10-08 16:00:00-04:00,16.33,16.64,15.9775,16.59,35191
2014-10-09 16:00:00-04:00,16.61,16.86,16.47,16.56,36034
2014-10-10 16:00:00-04:00,16.49,16.66,16.2,16.3,36977
2014-10-13 16:00:00-04:00,16.16,16.46,15.66,15.74,57738
2014-10-14 16:00:00-04:00,15.85,16.37,15.85,16.07,103137
2014-10-15 16:00:00-04:00,15.76,16.33,15.48,15.96,831300
2014-10-16 16:00:00-04:00,15.64,16.01,15.5,15.65,683767
2014-10-17 16:00:00-04:00,15.8,17.44,15.68,16.41,713058
2014-10-20 16:00:00-04:00,16.54,17.19,16.31,17.0,153429
2014-10-21 16:00:00-04:00,17.0,17.85,17.0,17.66,1007222
2014-10-22 16:00:00-04:00,17.57,17.76,17.42,17.58,160254
