,Open,High,Low,Close,Volume
2016-04-21 16:00:00-04:00,6.46,6.61,6.0,6.55,58800
2016-04-22 16:00:00-04:00,6.59,6.81,6.55,6.7,35763
2016-04-25 16:00:00-04:00,6.66,6.66,6.32,6.48,35396
2016-04-26 16:00:00-04:00,6.41,6.45,6.25,6.34,21032
2016-04-27 16:00:00-04:00,6.66,6.66,5.7,6.18,453214
2016-04-28 16:00:00-04:00,6.14,6.26,5.91,6.11,216550
2016-04-29 16:00:00-04:00,6.0,6.47,5.93,6.37,1199447
2016-05-02 16:00:00-04:00,6.28,6.29,6.04,6.14,305805
2016-05-03 16:00:00-04:00,6.12,6.25,6.03,6.2,441216
2016-05-04 16:00:00-04:00,6.1,6.15,5.83,6.04,2649069
2016-05-05 16:00:00-04:00,6.01,6.16,5.98,6.02,1365320
2016-05-06 16:00:00-04:00,6.02,6.17,5.95,5.96,395505
2016-05-09 16:00:00-04:00,5.85,6.02,5.81,5.9,406552
2016-05-10 16:00:00-04:00,5.9,5.98,5.875,5.9,808846
2016-05-11 16:00:00-04:00,5.88,6.04,5.825,5.93,435293
2016-05-12 16:00:00-04:00,5.95,6.04,5.9,5.92,145380
2016-05-13 16:00:00-04:00,5.73,5.89,5.6,5.65,241349
2016-05-16 16:00:00-04:00,5.55,5.78,5.33,5.55,888030
2016-05-17 16:00:00-04:00,5.38,5.66,5.33,5.63,559422
2016-05-18 16:00:00-04:00,5.69,5.75,5.45,5.45,436687
2016-05-19 16:00:00-04:00,5.32,5.5,5.32,5.45,388961
2016-05-20 16:00:00-04:00,5.39,5.535,5.36,5.42,288185
2016-05-23 16:00:00-04:00,5.48,5.48,5.25,5.31,553640
2016-05-24 16:00:00-04:00,5.22,5.57,5.22,5.36,1086034
2016-05-25 16:00:00-04:00,5.34,5.67,5.34,5.57,588459
2016-05-26 16:00:00-04:00,5.57,5.6,5.51,5.55,775848
2016-05-27 16:00:00-04:00,5.55,5.57,5.51,5.56,407741
2016-05-31 16:00:00-04:00,5.52,5.73,5.45,5.68,1854941
2016-06-01 16:00:00-04:00,5.66,5.73,5.56,5.73,906927
2016-06-02 16:00:00-04:00,5.74,5.74,5.64,5.68,949970
2016-06-03 16:00:00-04:00,5.67,5.76,5.62,5.74,1410917
2016-06-06 16:00:00-04:00,5.72,5.79,5.67,5.73,388255
2016-06-07 16:00:00-04:00,5.65,5.79,5.6,5.75,490703
2016-06-08 16:00:00-04:00,5.8,5.82,5.73,5.79,445852
2016-06-09 16:00:00-04:00,5.71,5.78,5.6,5.67,897196
2016-06-10 16:00:00-04:00,5.66,5.67,5.52,5.53,443529
2016-06-13 16:00:00-04:00,5.5,5.5,5.39,5.47,664364
2016-06-14 16:00:00-04:00,5.42,5.47,5.32,5.38,698045
2016-06-15 16:00:00-04:00,5.35,5.47,5.35,5.45,250191
2016-06-16 16:00:00-04:00,5.38,5.48,5.24,5.46,552175
2016-06-17 16:00:00-04:00,5.39,5.61,5.39,5.59,393977
2016-06-20 16:00:00-04:00,5.55,5.715,5.55,5.68,268880
2016-06-21 16:00:00-04:00,5.6,5.71,5.56,5.6,357573
2016-06-22 16:00:00-04:00,5.58,5.72,5.55,5.64,378454
2016-06-23 16:00:00-04:00,5.74,5.89,5.6,5.74,264131
2016-06-24 16:00:00-04:00,5.57,5.685,5.5,5.65,236576
2016-06-27 16:00:00-04:00,5.59,5.59,5.29,5.51,489219
2016-06-28 16:00:00-04:00,5.55,5.8,5.54,5.75,280415
2016-06-29 16:00:00-04:00,5.69,5.8411,5.67,5.77,319828
2016-06-30 16:00:00-04:00,5.7,5.88,5.65,5.83,190211
2016-07-01 16:00:00-04:00,5.8,5.89,5.63,5.75,154185
2016-07-05 16:00:00-04:00,5.7,5.77,5.62,5.74,118878
2016-07-06 16:00:00-04:00,5.66,5.84,5.64,5.82,309103
2016-07-07 16:00:00-04:00,5.72,5.8,5.64,5.71,97913
2016-07-08 16:00:00-04:00,5.77,5.8,5.61,5.63,9595061
2016-07-11 16:00:00-04:00,5.67,5.83,5.62,5.74,210122
2016-07-12 16:00:00-04:00,5.75,5.84,5.735,5.76,355775
2016-07-13 16:00:00-04:00,5.7,5.86,5.66,5.78,362000
2016-07-14 16:00:00-04:00,5.76,5.905,5.59,5.79,325838
2016-07-15 16:00:00-04:00,5.73,5.87,5.73,5.79,1329156
2016-07-18 16:00:00-04:00,5.73,5.94,5.69,5.92,153893
2016-07-19 16:00:00-04:00,5.89,5.97,5.8,5.86,658186
2016-07-20 16:00:00-04:00,5.78,5.91,5.75,5.78,1151569
2016-07-21 16:00:00-04:00,5.84,5.9,5.78,5.82,446389
2016-07-22 16:00:00-04:00,5.77,5.92,5.7,5.85,404623
2016-07-25 16:00:00-04:00,5.92,5.92,5.75,5.81,405009
2016-07-26 16:00:00-04:00,5.8,5.8197,5.69,5.76,290885
2016-07-27 16:00:00-04:00,5.72,5.76,5.63,5.7,409443
2016-07-28 16:00:00-04:00,5.72,5.75,5.6,5.73,471603
2016-07-29 16:00:00-04:00,5.67,5.8,5.66,5.74,323212
2016-08-01 16:00:00-04:00,5.72,5.78,5.66,5.73,432912
2016-08-02 16:00:00-04:00,5.65,5.77,5.65,5.75,172161
2016-08-03 16:00:00-04:00,5.72,5.89,5.71,5.87,142919
2016-08-04 16:00:00-04:00,5.85,5.91,5.81,5.88,126982
2016-08-05 16:00:00-04:00,5.86,5.92,5.85,5.91,585409
2016-08-08 16:00:00-04:00,5.91,6.08,5.85,5.99,1112775
2016-08-09 16:00:00-04:00,6.03,6.03,5.92,5.96,269812
2016-08-10 16:00:00-04:00,6.0,6.0,5.91,5.95,329604
2016-08-11 16:00:00-04:00,5.97,6.03,5.91,5.96,123892
