,Open,High,Low,Close,Volume
2016-10-10 16:00:00-04:00,22.25,22.25,21.68,21.95,44768
2016-10-11 16:00:00-04:00,21.7,22.27,21.7,21.91,85874
2016-10-12 16:00:00-04:00,21.84,21.97,21.51,21.57,87733
2016-10-13 16:00:00-04:00,21.5,21.6167,21.05,21.25,26293
2016-10-14 16:00:00-04:00,21.61,21.85,21.08,21.55,33788
2016-10-17 16:00:00-04:00,21.49,21.49,21.1,21.15,39079
2016-10-18 16:00:00-04:00,21.16,21.5,21.13,21.17,50228
2016-10-19 16:00:00-04:00,21.23,21.3,21.0,21.04,47031
2016-10-20 16:00:00-04:00,21.03,21.5568,21.03,21.36,22587
2016-10-21 16:00:00-04:00,21.3,21.4,21.19,21.25,22881
2016-10-24 16:00:00-04:00,21.3,21.52,21.01,21.41,12439
2016-10-25 16:00:00-04:00,21.3779,21.9,21.3779,21.75,20792
2016-10-26 16:00:00-04:00,21.8,22.0,21.71,21.82,138502
2016-10-27 16:00:00-04:00,21.75,22.0,21.54,21.64,53369
2016-10-28 16:00:00-04:00,21.75,21.84,20.25,20.8,56659
2016-10-31 16:00:00-04:00,20.91,20.9885,20.8,20.85,27476
2016-11-01 16:00:00-04:00,20.91,21.1889,20.91,21.06,26868
2016-11-02 16:00:00-04:00,20.95,21.4,20.95,21.05,11077
2016-11-03 16:00:00-04:00,21.1,21.5,21.0,21.48,21293
2016-11-04 16:00:00-04:00,21.56,21.74,21.35,21.43,13047
2016-11-07 16:00:00-05:00,21.45,21.5,21.36,21.43,12162
2016-11-08 16:00:00-05:00,21.36,21.36,20.665,20.84,36887
2016-11-09 16:00:00-05:00,20.77,21.2,20.65,21.18,244531
2016-11-10 16:00:00-05:00,21.21,22.7581,21.21,22.53,49013
2016-11-11 16:00:00-05:00,22.53,22.53,22.0,22.25,15496
2016-11-14 16:00:00-05:00,22.25,22.34,21.86,22.33,66114
2016-11-15 16:00:00-05:00,22.15,22.94,22.01,22.65,33420
2016-11-16 16:00:00-05:00,22.59,22.75,22.385,22.75,34141
2016-11-17 16:00:00-05:00,22.58,23.76,22.58,23.42,70546
2016-11-18 16:00:00-05:00,23.44,23.71,23.25,23.25,13228
2016-11-21 16:00:00-05:00,23.32,23.34,22.85,23.12,8732
2016-11-22 16:00:00-05:00,23.22,23.71,22.27,22.27,126948
2016-11-23 16:00:00-05:00,22.57,23.42,22.27,23.4,51102
2016-11-25 13:00:00-05:00,23.3,23.49,23.3,23.32,1538
2016-11-28 16:00:00-05:00,23.25,23.7,23.0,23.37,23879
2016-11-29 16:00:00-05:00,23.33,23.75,22.9,23.53,83677
2016-11-30 16:00:00-05:00,23.89,23.89,23.43,23.7,55570
2016-12-01 16:00:00-05:00,23.79,23.8,23.16,23.42,36144
2016-12-02 16:00:00-05:00,23.47,23.95,23.4,23.85,30464
2016-12-05 16:00:00-05:00,23.85,23.99,23.4,23.83,74689
2016-12-06 16:00:00-05:00,23.64,23.9,23.4,23.78,40527
2016-12-07 16:00:00-05:00,23.86,23.9,23.68,23.89,44637
2016-12-08 16:00:00-05:00,23.82,23.85,23.31,23.46,37616
2016-12-09 16:00:00-05:00,23.5,23.98,23.3001,23.97,116438
2016-12-12 16:00:00-05:00,23.96,24.76,23.925,24.6,111625
2016-12-13 16:00:00-05:00,24.7,24.7,23.85,24.03,38736
2016-12-14 16:00:00-05:00,23.87,24.0,23.36,23.61,52787
2016-12-15 16:00:00-05:00,23.62,25.66,23.62,24.72,316105
2016-12-16 16:00:00-05:00,24.66,26.02,24.4999,24.88,914556
2016-12-19 16:00:00-05:00,24.92,26.25,24.78,25.72,87134
2016-12-20 16:00:00-05:00,25.65,26.265,25.55,25.81,107616
2016-12-21 16:00:00-05:00,25.95,26.0,25.54,25.82,67415
2016-12-22 16:00:00-05:00,25.72,25.74,25.45,25.55,69451
2016-12-23 16:00:00-05:00,25.45,25.91,25.45,25.81,27915
2016-12-27 16:00:00-05:00,25.97,26.115,25.62,26.03,41704
2016-12-28 16:00:00-05:00,26.02,26.34,25.87,26.32,38308
2016-12-29 16:00:00-05:00,26.32,26.45,26.04,26.4,31908
2016-12-30 16:00:00-05:00,26.35,26.35,25.9,25.95,27351
2017-01-03 16:00:00-05:00,26.09,26.3399,25.52,26.06,39046
2017-01-04 16:00:00-05:00,26.07,26.84,25.7,26.81,71630
2017-01-05 16:00:00-05:00,26.82,27.2,26.5,26.9,48346
2017-01-06 16:00:00-05:00,26.9,27.05,26.63,27.03,69779
2017-01-09 16:00:00-05:00,27.11,27.11,25.75,26.32,50556
2017-01-10 16:00:00-05:00,26.4,27.11,26.33,26.74,30552
2017-01-11 16:00:00-05:00,26.75,28.04,26.5666,27.65,52989
2017-01-12 16:00:00-05:00,27.74,27.8913,26.79,26.94,30138
2017-01-13 16:00:00-05:00,27.02,27.405,26.46,26.7,71114
2017-01-17 16:00:00-05:00,26.65,27.0,26.357,26.58,97130
2017-01-18 16:00:00-05:00,26.59,27.12,26.4,27.11,43026
2017-01-19 16:00:00-05:00,26.95,27.13,26.58,26.62,53876
2017-01-20 16:00:00-05:00,26.62,26.8,26.26,26.5,84473
2017-01-23 16:00:00-05:00,26.5,26.63,25.97,26.06,84416
2017-01-24 16:00:00-05:00,26.1,26.25,25.5,25.62,136514
2017-01-25 16:00:00-05:00,25.61,25.61,25.1,25.21,106325
2017-01-26 16:00:00-05:00,25.23,25.23,24.58,24.99,36426
2017-01-27 16:00:00-05:00,24.96,26.2,24.725,25.69,139869
2017-01-30 16:00:00-05:00,25.61,25.61,23.71,24.87,99668
2017-01-31 16:00:00-05:00,24.96,25.5,24.88,25.46,32389
2017-02-01 16:00:00-05:00,25.54,25.65,25.32,25.4,97102
2017-02-02 16:00:00-05:00,25.3,25.3275,24.55,24.92,234070
2017-02-03 16:00:00-05:00,25.06,25.4,25.04,25.16,56403
2017-02-06 16:00:00-05:00,24.98,25.24,24.85,24.92,20807
2017-02-07 16:00:00-05:00,24.88,24.9399,24.57,24.7,90041
2017-02-08 16:00:00-05:00,24.7,24.7,24.1,24.21,39263
2017-02-09 16:00:00-05:00,24.43,26.9599,24.36,26.32,123293
2017-02-10 16:00:00-05:00,27.6,30.26,26.3,30.08,287754
2017-02-13 16:00:00-05:00,30.02,31.9848,29.75,30.77,108725
2017-02-14 16:00:00-05:00,30.85,32.1101,30.72,31.62,88514
2017-02-15 16:00:00-05:00,31.55,32.48,30.92,32.11,128260
2017-02-16 16:00:00-05:00,32.11,33.77,31.83,33.32,69883
2017-02-17 16:00:00-05:00,33.26,33.49,32.7,33.11,209749
2017-02-21 16:00:00-05:00,33.21,33.6058,32.49,33.03,112627
2017-02-22 16:00:00-05:00,32.81,33.38,32.19,32.93,201075
2017-02-23 16:00:00-05:00,32.99,33.06,32.26,32.84,32512
2017-02-24 16:00:00-05:00,32.75,32.75,31.05,32.23,49544
2017-02-27 16:00:00-05:00,32.09,32.59,31.68,32.47,48841
2017-02-28 16:00:00-05:00,32.43,32.58,31.5,31.75,134258
2017-03-01 16:00:00-05:00,32.0,32.34,31.52,31.86,76567
2017-03-02 16:00:00-05:00,31.88,32.287,31.54,31.64,31047
2017-03-03 16:00:00-05:00,31.66,32.11,31.5,31.76,23886
2017-03-06 16:00:00-05:00,31.7,31.9,31.5,31.71,23776
2017-03-07 16:00:00-05:00,31.96,32.75,31.62,31.83,57111
2017-03-08 16:00:00-05:00,31.66,31.79,31.4,31.42,39014
2017-03-09 16:00:00-05:00,31.54,31.79,31.4,31.42,17730
2017-03-10 16:00:00-05:00,31.53,31.61,31.25,31.51,44049
2017-03-13 16:00:00-04:00,31.56,31.56,31.25,31.36,28732
2017-03-14 16:00:00-04:00,31.38,31.58,31.15,31.42,20961
2017-03-15 16:00:00-04:00,31.42,33.28,31.28,33.05,90198
2017-03-16 16:00:00-04:00,33.09,33.73,32.67,33.48,37653
2017-03-17 16:00:00-04:00,33.59,33.59,32.5,32.75,91811
2017-03-20 16:00:00-04:00,32.57,33.01,31.79,32.22,34454
2017-03-21 16:00:00-04:00,32.18,32.18,30.62,30.79,68781
2017-03-22 16:00:00-04:00,30.71,31.24,30.4,30.76,81858
2017-03-23 16:00:00-04:00,30.95,31.97,30.79,31.46,19808
2017-03-24 16:00:00-04:00,31.885,31.885,31.13,31.63,21887
2017-03-27 16:00:00-04:00,31.25,31.73,30.779,31.69,20823
2017-03-28 16:00:00-04:00,31.13,32.955,31.13,32.85,27555
2017-03-29 16:00:00-04:00,32.85,33.2825,32.38,32.94,23422
2017-03-30 16:00:00-04:00,32.9,34.78,32.9,34.67,48695
2017-03-31 16:00:00-04:00,35.03,35.4999,34.125,35.36,66879
2017-04-03 16:00:00-04:00,35.33,35.3735,33.05,34.03,60803
2017-04-04 16:00:00-04:00,33.73,33.85,32.495,33.52,57776
2017-04-05 16:00:00-04:00,33.9,34.01,32.93,33.22,90536
2017-04-06 16:00:00-04:00,33.49,33.76,32.88,33.45,52643
2017-04-07 16:00:00-04:00,33.22,34.71,33.2,34.23,49096
2017-04-10 16:00:00-04:00,34.0,34.75,34.0,34.54,65415
2017-04-11 16:00:00-04:00,34.49,34.65,34.27,34.59,33384
2017-04-12 16:00:00-04:00,34.69,34.69,33.56,33.95,21478
2017-04-13 16:00:00-04:00,33.69,33.69,32.92,32.99,26326
2017-04-17 16:00:00-04:00,32.7585,33.66,32.7585,33.47,32019
2017-04-18 16:00:00-04:00,33.15,33.97,32.87,33.68,15010
2017-04-19 16:00:00-04:00,33.675,35.725,33.505,34.1,66387
2017-04-20 16:00:00-04:00,34.21,34.77,33.94,34.75,35525
2017-04-21 16:00:00-04:00,34.61,35.64,34.6,35.16,105419
2017-04-24 16:00:00-04:00,35.78,36.475,35.6,35.71,127438
2017-04-25 16:00:00-04:00,36.37,37.85,36.3,37.2,52075
2017-04-26 16:00:00-04:00,36.39,36.7833,35.64,35.76,110100
2017-04-27 16:00:00-04:00,35.59,37.63,35.39,37.41,62240
2017-04-28 16:00:00-04:00,37.46,37.6,36.18,36.24,61682
2017-05-01 16:00:00-04:00,36.4,37.3999,36.12,37.25,46840
2017-05-02 16:00:00-04:00,37.3001,37.3001,36.75,37.01,33115
2017-05-03 16:00:00-04:00,36.87,37.0,36.34,37.0,31610
2017-05-04 16:00:00-04:00,37.25,38.13,36.76,36.95,36619
2017-05-05 16:00:00-04:00,37.01,38.59,36.3,37.67,34002
2017-05-08 16:00:00-04:00,37.65,38.36,37.65,38.07,28627
2017-05-09 16:00:00-04:00,38.25,38.49,38.01,38.44,62415
2017-05-10 16:00:00-04:00,38.41,38.41,37.67,38.0,31542
2017-05-11 16:00:00-04:00,38.1,38.2,37.41,37.62,29590
2017-05-12 16:00:00-04:00,37.65,37.65,36.518,36.88,22868
2017-05-15 16:00:00-04:00,37.03,37.25,36.795,37.23,25632
2017-05-16 16:00:00-04:00,37.11,38.22,37.11,38.18,20335
2017-05-17 16:00:00-04:00,37.49,37.93,36.771,37.19,22005
2017-05-18 16:00:00-04:00,37.4836,38.14,37.4836,37.86,17186
2017-05-19 16:00:00-04:00,37.76,38.16,37.72,37.86,27082
2017-05-22 16:00:00-04:00,37.86,38.12,37.59,37.99,23094
2017-05-23 16:00:00-04:00,38.37,38.37,37.75,37.89,31237
2017-05-24 16:00:00-04:00,37.95,38.3722,36.9,37.24,16893
2017-05-25 16:00:00-04:00,37.32,37.59,36.58,37.33,43756
2017-05-26 16:00:00-04:00,37.36,37.53,36.56,36.91,49729
2017-05-30 16:00:00-04:00,36.67,36.67,34.17,34.4,340968
2017-05-31 16:00:00-04:00,34.44,34.91,33.94,34.17,228271
2017-06-01 16:00:00-04:00,34.22,34.59,34.1,34.5,47550
2017-06-02 16:00:00-04:00,34.55,35.03,34.11,34.15,117720
2017-06-05 16:00:00-04:00,34.04,35.2,34.0,34.4,60962
2017-06-06 16:00:00-04:00,34.17,34.75,33.97,34.44,59310
2017-06-07 16:00:00-04:00,34.51,34.93,34.33,34.6,34095
2017-06-08 16:00:00-04:00,35.11,36.355,35.0,35.93,41262
2017-06-09 16:00:00-04:00,35.89,36.93,35.8,36.86,52262
2017-06-12 16:00:00-04:00,37.1116,37.16,35.66,35.9,29060
2017-06-13 16:00:00-04:00,35.98,36.4854,35.82,35.98,24700
2017-06-14 16:00:00-04:00,35.56,36.0,35.56,35.99,17895
2017-06-15 16:00:00-04:00,35.75,36.24,35.7,36.17,39686
2017-06-16 16:00:00-04:00,36.1,36.45,35.91,36.3,63717
2017-06-19 16:00:00-04:00,36.2,36.36,36.15,36.2,11461
2017-06-20 16:00:00-04:00,36.2,36.33,36.13,36.2,17078
2017-06-21 16:00:00-04:00,36.13,36.2,35.9,36.03,20705
2017-06-22 16:00:00-04:00,36.02,36.19,35.83,36.09,19263
2017-06-23 16:00:00-04:00,35.85,36.32,35.85,36.32,156622
2017-06-26 16:00:00-04:00,36.165,36.42,36.105,36.29,39482
2017-06-27 16:00:00-04:00,36.125,36.2,36.05,36.13,40435
2017-06-28 16:00:00-04:00,36.24,36.44,36.07,36.32,17159
2017-06-29 16:00:00-04:00,36.15,36.63,36.07,36.25,42850
2017-06-30 16:00:00-04:00,36.155,36.26,35.99,36.19,21210
2017-07-03 13:00:00-04:00,36.29,36.83,36.26,36.38,30647
2017-07-05 16:00:00-04:00,36.39,36.41,36.17,36.19,34544
2017-07-06 16:00:00-04:00,36.05,36.55,36.05,36.42,82180
2017-07-07 16:00:00-04:00,36.47,36.76,36.23,36.34,90777
2017-07-10 16:00:00-04:00,36.18,36.59,35.72,35.83,166170
2017-07-11 16:00:00-04:00,35.01,36.005,35.01,35.76,121027
2017-07-12 16:00:00-04:00,35.22,35.86,35.22,35.72,141801
2017-07-13 16:00:00-04:00,35.06,35.94,35.02,35.5,93058
2017-07-14 16:00:00-04:00,35.89,35.89,34.76,34.76,262018
2017-07-17 16:00:00-04:00,34.06,35.225,34.06,34.86,103657
2017-07-18 16:00:00-04:00,34.81,35.3,34.46,34.78,71733
2017-07-19 16:00:00-04:00,35.18,35.28,34.39,34.41,75407
2017-07-20 16:00:00-04:00,34.5,34.75,33.96,34.0,108967
2017-07-21 16:00:00-04:00,34.66,34.935,33.14,34.51,197417
2017-07-24 16:00:00-04:00,35.99,35.99,33.72,33.89,72801
2017-07-25 16:00:00-04:00,34.16,34.89,33.74,34.37,102379
2017-07-26 16:00:00-04:00,34.43,34.5,33.47,33.73,58251
2017-07-27 16:00:00-04:00,33.74,33.83,33.29,33.62,34658
2017-07-28 16:00:00-04:00,33.62,34.43,33.49,34.1,38201
2017-07-31 16:00:00-04:00,0.0,0.0,34.14,34.37,72071
2017-08-01 16:00:00-04:00,34.35,34.55,33.4,34.42,42771
2017-08-02 16:00:00-04:00,34.25,34.42,33.01,33.3,97169
2017-08-03 16:00:00-04:00,33.31,34.26,33.03,33.71,36746
2017-08-04 16:00:00-04:00,33.78,34.23,33.63,34.08,40995
2017-08-07 16:00:00-04:00,33.72,34.36,33.47,34.13,34429
2017-08-08 16:00:00-04:00,34.03,35.4152,34.0,34.72,403977
2017-08-09 16:00:00-04:00,33.95,34.835,33.95,34.48,67670
2017-08-10 16:00:00-04:00,34.31,34.31,33.0,33.25,99367
2017-08-11 16:00:00-04:00,33.3,33.35,32.84,33.0,83570
2017-08-14 16:00:00-04:00,33.2,34.17,32.95,34.02,89898
2017-08-15 16:00:00-04:00,35.09,35.55,34.775,35.09,189332
2017-08-16 16:00:00-04:00,35.32,35.32,34.26,34.52,69113
2017-08-17 16:00:00-04:00,33.96,34.53,33.9,33.99,61940
2017-08-18 16:00:00-04:00,33.64,34.27,33.64,34.02,96611
2017-08-21 16:00:00-04:00,33.98,34.35,33.85,34.05,45204
2017-08-22 16:00:00-04:00,34.27,34.6,34.02,34.27,72136
2017-08-23 16:00:00-04:00,33.98,34.7,33.98,34.36,36550
2017-08-24 16:00:00-04:00,34.1121,35.01,34.1121,34.9,97763
2017-08-25 16:00:00-04:00,34.92,35.32,34.62,34.72,77476
2017-08-28 16:00:00-04:00,34.76,34.97,34.25,34.68,53665
2017-08-29 16:00:00-04:00,34.3,34.86,34.21,34.53,43467
2017-08-30 16:00:00-04:00,34.68,35.1,34.26,34.57,75554
