,Open,High,Low,Close,Volume
2017-04-27 16:00:00-04:00,30.25,32.45,29.37,32.05,9424200
2017-04-28 16:00:00-04:00,31.64,32.4,31.0,32.4,978693
2017-05-01 16:00:00-04:00,32.4,35.44,32.4,33.54,330015
2017-05-02 16:00:00-04:00,34.0,34.37,33.3,33.51,172205
2017-05-03 16:00:00-04:00,33.45,38.4937,33.4117,36.36,814166
2017-05-04 16:00:00-04:00,36.5,37.63,35.6695,36.93,360314
2017-05-05 16:00:00-04:00,37.21,37.52,36.51,36.73,234438
2017-05-08 16:00:00-04:00,36.38,36.9,35.17,35.5,490161
2017-05-09 16:00:00-04:00,35.68,36.56,35.53,36.11,377898
2017-05-10 16:00:00-04:00,36.35,37.49,35.645,36.77,297642
2017-05-11 16:00:00-04:00,36.84,36.95,36.0,36.73,161277
2017-05-12 16:00:00-04:00,36.93,37.95,36.75,37.31,294401
2017-05-15 16:00:00-04:00,37.62,39.49,37.56,37.91,369425
2017-05-16 16:00:00-04:00,38.14,39.06,36.55,36.62,308635
2017-05-17 16:00:00-04:00,36.74,36.9862,35.61,36.28,159344
2017-05-18 16:00:00-04:00,36.34,37.52,36.33,37.25,90037
2017-05-19 16:00:00-04:00,37.44,38.2464,36.59,37.05,134631
2017-05-22 16:00:00-04:00,37.23,37.35,35.88,36.28,325413
2017-05-23 16:00:00-04:00,36.45,37.69,36.35,37.4,305358
2017-05-24 16:00:00-04:00,37.25,37.97,36.03,37.23,266995
2017-05-25 16:00:00-04:00,37.35,39.499,36.62,38.14,578159
2017-05-26 16:00:00-04:00,39.0,43.1,37.25,42.38,646207
2017-05-30 16:00:00-04:00,41.18,41.99,39.1,39.21,694780
2017-05-31 16:00:00-04:00,39.36,39.78,37.8,38.71,274530
2017-06-01 16:00:00-04:00,38.56,40.35,38.531,39.85,256823
2017-06-02 16:00:00-04:00,39.92,40.9325,39.83,40.0,190536
2017-06-05 16:00:00-04:00,40.19,42.25,40.19,41.5,359288
2017-06-06 16:00:00-04:00,41.6,42.003,39.96,40.37,291668
2017-06-07 16:00:00-04:00,40.52,41.5,40.0,40.67,167066
2017-06-08 16:00:00-04:00,40.82,41.8607,40.7321,41.28,100112
2017-06-09 16:00:00-04:00,41.02,42.94,40.45,41.1,221992
2017-06-12 16:00:00-04:00,40.98,41.21,39.31,39.43,266964
2017-06-13 16:00:00-04:00,39.73,40.73,39.2701,39.59,160086
2017-06-14 16:00:00-04:00,39.45,41.11,39.45,40.79,223300
2017-06-15 16:00:00-04:00,40.71,41.1385,39.76,40.5,207178
2017-06-16 16:00:00-04:00,40.63,41.66,40.1011,40.42,956666
2017-06-19 16:00:00-04:00,41.31,45.6,40.7,43.14,1333826
2017-06-20 16:00:00-04:00,44.39,46.32,43.6,43.9,806635
2017-06-21 16:00:00-04:00,44.54,46.995,44.53,46.31,653305
2017-06-22 16:00:00-04:00,46.82,46.82,44.28,44.51,354989
2017-06-23 16:00:00-04:00,44.68,44.949,40.5,41.51,1712696
2017-06-26 16:00:00-04:00,42.25,45.38,42.0,43.99,469006
2017-06-27 16:00:00-04:00,43.78,44.4234,42.724,43.38,279530
2017-06-28 16:00:00-04:00,43.2,43.74,41.34,42.22,297357
2017-06-29 16:00:00-04:00,41.93,42.1473,40.245,40.7,391718
2017-06-30 16:00:00-04:00,40.56,40.81,39.05,39.26,497790
2017-07-03 13:00:00-04:00,39.3,39.8,37.42,38.33,294429
2017-07-05 16:00:00-04:00,38.21,38.25,35.92,37.9,588827
2017-07-06 16:00:00-04:00,37.89,38.85,37.3,38.54,329976
2017-07-07 16:00:00-04:00,38.54,39.81,38.49,39.6,378806
2017-07-10 16:00:00-04:00,39.5,39.9592,38.0248,38.44,389759
2017-07-11 16:00:00-04:00,38.0,38.58,37.69,38.12,249337
2017-07-12 16:00:00-04:00,38.25,38.59,37.35,37.98,243674
2017-07-13 16:00:00-04:00,38.12,38.57,37.815,38.11,136077
2017-07-14 16:00:00-04:00,38.28,39.63,38.06,39.41,207517
2017-07-17 16:00:00-04:00,39.52,39.9,39.39,39.47,157483
2017-07-18 16:00:00-04:00,37.291,39.64,36.99,39.11,1298579
2017-07-19 16:00:00-04:00,39.57,42.44,39.46,40.96,1056763
2017-07-20 16:00:00-04:00,40.1,40.2,38.27,38.5,7872361
2017-07-21 16:00:00-04:00,38.38,38.55,37.085,37.4,2312609
2017-07-24 16:00:00-04:00,38.15,38.25,37.21,37.88,977311
2017-07-25 16:00:00-04:00,37.93,38.88,37.89,38.57,946266
2017-07-26 16:00:00-04:00,38.78,38.88,37.42,37.59,637605
2017-07-27 16:00:00-04:00,37.53,38.46,37.13,38.1,870599
2017-07-28 16:00:00-04:00,36.53,37.72,34.89,35.54,2137365
2017-07-31 16:00:00-04:00,0.0,0.0,0.0,34.62,1979709
2017-08-01 16:00:00-04:00,35.16,35.26,34.52,34.95,791613
2017-08-02 16:00:00-04:00,34.86,34.99,32.91,33.6,1033452
2017-08-03 16:00:00-04:00,33.45,33.98,33.372,33.89,591933
2017-08-04 16:00:00-04:00,34.0,34.9,33.9319,34.44,897624
2017-08-07 16:00:00-04:00,34.71,35.05,34.3,35.0,362984
2017-08-08 16:00:00-04:00,35.11,35.37,34.65,34.94,404092
2017-08-09 16:00:00-04:00,34.71,35.22,34.565,35.04,399398
2017-08-10 16:00:00-04:00,34.65,35.08,34.02,34.27,525669
2017-08-11 16:00:00-04:00,34.49,36.24,34.352,36.14,435500
2017-08-14 16:00:00-04:00,36.15,36.25,35.28,35.65,303479
2017-08-15 16:00:00-04:00,35.62,35.62,34.01,34.01,282125
2017-08-16 16:00:00-04:00,33.88,34.52,33.77,34.31,243817
2017-08-17 16:00:00-04:00,34.09,34.7,33.81,34.32,270076
2017-08-18 16:00:00-04:00,34.14,34.25,33.23,33.29,419516
2017-08-21 16:00:00-04:00,33.23,33.51,32.94,32.95,312526
2017-08-22 16:00:00-04:00,33.14,33.98,32.721,33.91,278840
2017-08-23 16:00:00-04:00,33.5,34.26,33.28,33.84,180665
2017-08-24 16:00:00-04:00,33.89,34.64,33.8222,34.3,219830
2017-08-25 16:00:00-04:00,34.3,34.45,33.6,34.16,239431
2017-08-28 16:00:00-04:00,34.75,35.85,34.31,35.6,350081
2017-08-29 16:00:00-04:00,35.23,36.275,35.22,35.92,410495
2017-08-30 16:00:00-04:00,35.92,36.4339,34.85,35.22,364996
2017-08-31 16:00:00-04:00,35.22,36.15,35.1,35.94,249357
2017-09-01 16:00:00-04:00,36.1,36.1,35.49,35.96,187491
2017-09-05 16:00:00-04:00,36.1,36.79,35.78,36.7,301765
2017-09-06 16:00:00-04:00,36.9,38.72,36.485,37.95,617300
2017-09-07 16:00:00-04:00,39.1,40.0,38.34,39.33,692134
2017-09-08 16:00:00-04:00,39.5,40.64,39.5,40.19,813826
2017-09-11 16:00:00-04:00,39.78,40.19,38.95,40.04,419808
2017-09-12 16:00:00-04:00,40.1,40.38,39.49,39.96,185033
2017-09-13 16:00:00-04:00,40.0,40.2,39.74,39.98,279319
2017-09-14 16:00:00-04:00,39.82,40.14,38.37,38.53,353640
2017-09-15 16:00:00-04:00,38.78,38.8862,38.01,38.7,803410
2017-09-18 16:00:00-04:00,38.88,39.4,38.25,38.37,235664
2017-09-19 16:00:00-04:00,38.19,39.16,38.11,38.96,395414
2017-09-20 16:00:00-04:00,38.85,39.41,38.49,39.41,289035
2017-09-21 16:00:00-04:00,39.41,39.41,38.34,39.01,284616
2017-09-22 16:00:00-04:00,38.76,39.74,38.58,39.52,402033
2017-09-25 16:00:00-04:00,39.69,40.13,38.865,40.12,421793
2017-09-26 16:00:00-04:00,40.15,40.15,39.01,39.34,317743
2017-09-27 16:00:00-04:00,39.46,39.46,37.62,38.12,590786
2017-09-28 16:00:00-04:00,38.35,38.91,37.95,38.72,269923
2017-09-29 16:00:00-04:00,38.53,39.2,38.48,38.93,161856
2017-10-02 16:00:00-04:00,38.96,38.96,37.94,38.22,269191
2017-10-03 16:00:00-04:00,37.97,38.12,37.0,37.44,460593
2017-10-04 16:00:00-04:00,37.44,37.705,37.05,37.56,184469
2017-10-05 16:00:00-04:00,37.52,37.6255,36.99,37.03,154118
2017-10-06 16:00:00-04:00,37.0,37.21,36.721,36.96,167451
2017-10-09 16:00:00-04:00,37.18,37.28,36.4026,37.25,169944
2017-10-10 16:00:00-04:00,37.28,37.36,36.74,37.15,175960
2017-10-11 16:00:00-04:00,37.03,37.19,36.92,37.11,3904
2017-10-12 16:00:00-04:00,37.27,37.34,36.83,37.25,153074
2017-10-13 16:00:00-04:00,37.13,37.38,36.55,36.86,328376
2017-10-16 16:00:00-04:00,38.13,38.38,37.23,37.8,454458
2017-10-17 16:00:00-04:00,37.91,38.01,37.06,37.11,257144
2017-10-18 16:00:00-04:00,37.52,38.4,36.88,38.33,494236
2017-10-19 16:00:00-04:00,38.01,38.0871,37.43,37.8,241232
2017-10-20 16:00:00-04:00,38.0,38.22,37.72,37.97,234997
2017-10-23 16:00:00-04:00,37.91,38.37,37.81,38.01,185349
2017-10-24 16:00:00-04:00,37.94,39.55,37.94,39.2,303278
2017-10-25 16:00:00-04:00,39.19,39.489,37.7,38.33,266416
2017-10-26 16:00:00-04:00,38.32,38.78,37.55,38.06,288573
2017-10-27 16:00:00-04:00,38.03,38.23,37.6899,37.95,159054
2017-10-30 16:00:00-04:00,37.82,38.25,37.74,38.06,245085
2017-10-31 16:00:00-04:00,37.99,38.28,37.68,37.7,190736
2017-11-01 16:00:00-04:00,37.83,38.88,37.81,38.79,395841
2017-11-02 16:00:00-04:00,39.0,39.687,37.55,37.77,613260
2017-11-03 16:00:00-04:00,41.2,42.43,40.0,41.29,2417947
2017-11-06 16:00:00-05:00,39.81,41.31,39.51,40.48,822749
2017-11-07 16:00:00-05:00,40.5,41.03,39.84,40.03,466340
2017-11-08 16:00:00-05:00,40.14,41.37,40.005,40.98,392067
2017-11-09 16:00:00-05:00,40.58,41.04,40.16,40.53,237931
2017-11-10 16:00:00-05:00,40.6,40.96,39.8,39.94,340073
2017-11-13 16:00:00-05:00,39.95,40.376,38.96,39.07,314168
2017-11-14 16:00:00-05:00,38.13,38.93,37.06,38.79,727415
2017-11-15 16:00:00-05:00,38.2,38.45,36.25,36.43,1214034
2017-11-16 16:00:00-05:00,36.76,39.04,36.47,38.91,4586054
2017-11-17 16:00:00-05:00,38.51,40.09,38.38,38.45,1185786
2017-11-20 16:00:00-05:00,38.51,39.43,38.43,39.14,632754
2017-11-21 16:00:00-05:00,39.2,39.6,38.75,39.41,444231
2017-11-22 16:00:00-05:00,39.65,39.734,38.27,38.3,377276
2017-11-24 13:00:00-05:00,38.3,38.54,37.5066,38.47,157524
2017-11-27 16:00:00-05:00,38.56,39.22,38.56,38.9,331369
2017-11-28 16:00:00-05:00,38.87,39.08,38.4,38.99,496539
2017-11-29 16:00:00-05:00,38.93,39.95,38.87,39.07,673734
2017-11-30 16:00:00-05:00,39.16,41.13,39.04,40.59,1437312
2017-12-01 16:00:00-05:00,40.37,41.69,39.41,41.39,1408052
2017-12-04 16:00:00-05:00,42.0,44.56,42.0,43.99,1468732
2017-12-05 16:00:00-05:00,43.91,44.64,43.77,44.03,763005
2017-12-06 16:00:00-05:00,43.87,44.04,42.26,42.45,621299
2017-12-07 16:00:00-05:00,42.8,43.77,42.53,43.16,483451
2017-12-08 16:00:00-05:00,43.48,44.97,43.3676,44.72,769236
