,Open,High,Low,Close,Volume
2017-10-04 16:00:00-04:00,24.56,24.7,24.56,24.7,370704
2017-10-05 16:00:00-04:00,24.68,24.8,24.68,24.8,209311
2017-10-06 16:00:00-04:00,24.75,24.79,24.72,24.74,52117
2017-10-09 16:00:00-04:00,24.75,24.8,24.51,24.8,36335
2017-10-10 16:00:00-04:00,24.611,24.7,24.611,24.66,74607
2017-10-11 16:00:00-04:00,24.67,24.67,24.64,24.6485,9318
2017-10-12 16:00:00-04:00,24.74,24.79,24.64,24.71,35432
2017-10-13 16:00:00-04:00,24.82,24.82,24.65,24.68,25485
2017-10-16 16:00:00-04:00,24.67,24.73,24.65,24.72,53966
2017-10-17 16:00:00-04:00,24.706,24.74,24.67,24.74,62956
2017-10-18 16:00:00-04:00,24.75,24.8,24.69,24.7728,58578
2017-10-19 16:00:00-04:00,24.8,24.8,24.73,24.78,10320
2017-10-20 16:00:00-04:00,24.8,24.8,24.67,24.67,40441
2017-10-23 16:00:00-04:00,24.63,24.75,24.63,24.73,74176
2017-10-24 16:00:00-04:00,24.75,24.75,24.665,24.72,53999
2017-10-25 16:00:00-04:00,24.7169,24.73,24.01,24.59,94707
2017-10-26 16:00:00-04:00,24.5,24.5399,24.15,24.3,74558
2017-10-27 16:00:00-04:00,24.23,24.5,24.23,24.5,115142
2017-10-30 16:00:00-04:00,24.6,24.62,24.501,24.62,15061
2017-10-31 16:00:00-04:00,24.8,24.8,24.5,24.6528,26842
2017-11-01 16:00:00-04:00,24.74,24.75,24.5601,24.649,19762
2017-11-02 16:00:00-04:00,24.74,24.74,24.36,24.59,10850
2017-11-03 16:00:00-04:00,24.64,24.64,24.42,24.5,104653
2017-11-06 16:00:00-05:00,24.59,24.65,24.5,24.514,9816
2017-11-07 16:00:00-05:00,24.5,24.72,24.5,24.72,40996
2017-11-08 16:00:00-05:00,24.7,24.7,24.58,24.7,23671
2017-11-09 16:00:00-05:00,24.7,24.75,24.5,24.55,38510
2017-11-10 16:00:00-05:00,24.7,24.7001,24.55,24.57,15014
2017-11-13 16:00:00-05:00,24.69,24.69,24.5,24.5368,30987
2017-11-14 16:00:00-05:00,24.5,24.65,24.5,24.6,43413
2017-11-15 16:00:00-05:00,24.75,24.75,24.45,24.45,43952
2017-11-16 16:00:00-05:00,24.63,24.63,24.5,24.54,35100
2017-11-17 16:00:00-05:00,24.63,24.7,24.54,24.61,41439
2017-11-20 16:00:00-05:00,24.65,24.75,24.57,24.58,72667
2017-11-21 16:00:00-05:00,24.72,24.75,24.582,24.67,34480
2017-11-22 16:00:00-05:00,24.72,24.8,24.6907,24.7656,29428
2017-11-24 13:00:00-05:00,24.77,24.77,24.64,24.7,6331
2017-11-27 16:00:00-05:00,24.8,24.8,24.69,24.74,33006
2017-11-28 16:00:00-05:00,24.74,24.94,24.71,24.9,43965
2017-11-29 16:00:00-05:00,24.88,24.9,24.73,24.7997,48088
2017-11-30 16:00:00-05:00,24.85,24.985,24.818,24.9,32280
2017-12-01 16:00:00-05:00,24.86,24.9887,24.82,24.9,28460
2017-12-04 16:00:00-05:00,24.88,24.88,24.53,24.76,62002
2017-12-05 16:00:00-05:00,24.65,24.6981,24.47,24.6,43520
2017-12-06 16:00:00-05:00,24.67,24.85,24.645,24.84,42589
2017-12-07 16:00:00-05:00,24.85,24.85,24.67,24.7,71260
2017-12-08 16:00:00-05:00,24.84,25.0,24.7738,24.85,53335
