,Open,High,Low,Close,Volume
2016-06-13 16:00:00-04:00,43.0,43.0,43.0,43.0,100
2016-06-14 16:00:00-04:00,45.0,46.95,45.0,46.95,200
2016-06-15 16:00:00-04:00,47.0,47.0,46.9999,47.0,1400
2016-06-16 16:00:00-04:00,0.0,0.0,0.0,47.0,0
2016-06-17 16:00:00-04:00,49.0,50.0,49.0,50.0,500
2016-06-20 16:00:00-04:00,0.0,0.0,0.0,50.0,0
2016-06-22 16:00:00-04:00,50.0,50.0,48.0,48.0,250100
2016-06-23 16:00:00-04:00,48.6,48.6,48.5,48.5,236794
2016-06-24 16:00:00-04:00,47.55,47.55,46.0,46.0,1453
2016-06-27 16:00:00-04:00,46.53,48.0099,46.0,46.17,9086
2016-06-28 16:00:00-04:00,48.0,49.5,46.13,48.0,671681
2016-06-29 16:00:00-04:00,48.2,50.0,48.1,48.41,5499
2016-06-30 16:00:00-04:00,48.74,50.0,48.1,49.26,29097
2016-07-01 16:00:00-04:00,49.87,50.0,48.23,49.54,326898
2016-07-05 16:00:00-04:00,49.4,54.34,48.395,48.6,6230697
2016-07-06 16:00:00-04:00,47.07,48.6,46.29,47.75,6706473
2016-07-07 16:00:00-04:00,47.62,48.0,47.345,47.74,5486829
2016-07-08 16:00:00-04:00,47.96,50.61,47.53,50.2,4243498
2016-07-11 16:00:00-04:00,49.21,51.23,48.98,51.12,6042339
2016-07-12 16:00:00-04:00,51.0,51.06,50.26,50.57,5552928
2016-07-13 16:00:00-04:00,50.57,51.1,49.83,50.62,4864712
2016-07-14 16:00:00-04:00,50.33,51.74,49.95,51.57,3481590
2016-07-15 16:00:00-04:00,51.78,51.91,50.61,51.23,3689804
2016-07-18 16:00:00-04:00,50.77,51.58,50.51,51.29,1557534
2016-07-19 16:00:00-04:00,51.04,51.56,50.44,51.55,1954651
2016-07-20 16:00:00-04:00,51.84,51.92,50.01,50.34,3351687
2016-07-21 16:00:00-04:00,50.4,50.62,49.99,50.24,3037115
2016-07-22 16:00:00-04:00,50.0,50.29,49.29,49.4,2450622
2016-07-25 16:00:00-04:00,49.22,49.45,47.86,48.98,3044828
2016-07-26 16:00:00-04:00,48.56,49.42,48.28,49.28,1571409
2016-07-27 16:00:00-04:00,49.08,49.5,48.715,48.92,1628596
2016-07-28 16:00:00-04:00,48.74,49.09,48.345,48.65,2923057
2016-07-29 16:00:00-04:00,48.46,48.8,48.01,48.21,4484073
2016-08-01 16:00:00-04:00,48.11,48.51,47.59,47.8,2980989
2016-08-02 16:00:00-04:00,47.5,48.02,47.18,47.5,3267301
2016-08-03 16:00:00-04:00,47.5,49.48,47.35,49.28,4709939
2016-08-04 16:00:00-04:00,49.59,50.11,49.48,50.03,3046799
2016-08-05 16:00:00-04:00,50.26,50.98,50.26,50.58,2665875
2016-08-08 16:00:00-04:00,50.63,50.87,49.94,50.05,2116463
2016-08-09 16:00:00-04:00,48.73,50.53,48.4205,50.46,1077911
2016-08-10 16:00:00-04:00,50.47,50.8,50.1,50.45,1182411
2016-08-11 16:00:00-04:00,50.73,52.71,50.7,52.55,1992681
2016-08-12 16:00:00-04:00,52.0,52.87,51.8,52.71,1287802
2016-08-15 16:00:00-04:00,52.95,53.77,52.86,53.66,1457937
2016-08-16 16:00:00-04:00,53.58,53.95,53.27,53.55,1002284
2016-08-17 16:00:00-04:00,53.67,53.73,53.34,53.41,1032288
2016-08-18 16:00:00-04:00,53.22,53.52,52.93,53.16,874672
2016-08-19 16:00:00-04:00,52.95,52.95,51.71,51.92,1196193
2016-08-22 16:00:00-04:00,51.92,52.04,51.08,51.26,1081677
2016-08-23 16:00:00-04:00,51.36,52.1,51.14,51.9,2513773
2016-08-24 16:00:00-04:00,51.26,51.78,50.6041,51.37,692793
2016-08-25 16:00:00-04:00,51.18,51.89,50.98,51.62,1384867
2016-08-26 16:00:00-04:00,51.64,52.34,51.53,51.87,937562
2016-08-29 16:00:00-04:00,51.78,52.79,51.56,52.41,1044848
2016-08-30 16:00:00-04:00,52.19,53.47,52.19,52.61,952121
2016-08-31 16:00:00-04:00,52.47,52.82,52.0,52.67,1653599
2016-09-01 16:00:00-04:00,52.96,53.11,52.14,52.63,959371
2016-09-02 16:00:00-04:00,53.02,53.47,52.81,53.38,839563
2016-09-06 16:00:00-04:00,53.5,53.55,52.29,52.73,1293788
2016-09-07 16:00:00-04:00,52.43,53.12,52.02,52.94,1743200
2016-09-08 16:00:00-04:00,52.68,52.96,52.27,52.33,1097798
2016-09-09 16:00:00-04:00,51.77,52.01,50.55,50.55,2170702
2016-09-12 16:00:00-04:00,50.02,51.44,49.86,51.21,1862444
2016-09-13 16:00:00-04:00,50.86,51.4,49.97,50.04,1607116
2016-09-14 16:00:00-04:00,50.05,50.5,49.64,50.02,1152272
2016-09-15 16:00:00-04:00,49.98,50.6,49.5,50.49,1417223
2016-09-16 16:00:00-04:00,50.11,50.39,49.42,50.26,2351863
2016-09-19 16:00:00-04:00,50.41,51.405,50.38,50.78,975306
2016-09-20 16:00:00-04:00,50.78,51.08,50.21,50.25,1070439
2016-09-21 16:00:00-04:00,50.47,51.01,50.22,50.98,850841
2016-09-22 16:00:00-04:00,51.35,51.99,51.29,51.64,1649215
2016-09-23 16:00:00-04:00,51.3,51.58,50.65,50.88,807188
2016-09-26 16:00:00-04:00,50.66,51.49,50.3,51.22,1066265
2016-09-27 16:00:00-04:00,51.1,51.78,51.05,51.61,1196391
2016-09-28 16:00:00-04:00,51.74,51.77,51.35,51.72,905666
2016-09-29 16:00:00-04:00,51.09,51.61,50.63,50.7,1458059
2016-09-30 16:00:00-04:00,51.12,51.27,50.28,50.9,1952443
2016-10-03 16:00:00-04:00,50.61,51.6599,50.61,51.39,1361493
2016-10-04 16:00:00-04:00,51.26,51.45,50.56,50.81,1212754
