,Open,High,Low,Close,Volume
2004-05-06 16:00:00-04:00,20.5,20.5,20.5,20.5,0
2004-05-07 16:00:00-04:00,20.5,20.9,19.33,19.9,508200
2004-05-10 16:00:00-04:00,19.65,19.99,18.51,19.1,272500
2004-05-11 16:00:00-04:00,19.25,19.7,19.2,19.23,133500
2004-05-12 16:00:00-04:00,19.23,19.23,18.8,19.0,75200
2004-05-13 16:00:00-04:00,18.6,18.6,18.6,18.6,0
2004-05-14 16:00:00-04:00,18.75,19.1,18.6,19.1,63000
2004-05-17 16:00:00-04:00,19.12,19.12,18.65,18.95,23100
2004-05-18 16:00:00-04:00,18.9,18.91,18.4,18.61,180100
2004-05-19 16:00:00-04:00,18.84,19.61,18.84,19.0,149100
2004-05-20 16:00:00-04:00,18.76,18.76,18.76,18.76,0
2004-05-21 16:00:00-04:00,18.85,19.1,18.85,19.0,27100
2004-05-24 16:00:00-04:00,18.85,19.42,18.85,19.39,59600
2004-05-25 16:00:00-04:00,19.3,20.25,19.27,20.25,60800
2004-05-26 16:00:00-04:00,20.35,20.5,19.88,19.9,47300
2004-05-27 16:00:00-04:00,20.45,20.45,20.45,20.45,0
2004-05-28 16:00:00-04:00,20.46,20.48,20.2,20.3,25600
2004-06-01 16:00:00-04:00,20.15,20.45,20.12,20.38,13200
2004-06-02 16:00:00-04:00,20.4,20.49,20.25,20.49,73600
2004-06-03 16:00:00-04:00,20.35,20.6,20.25,20.6,15900
2004-06-04 16:00:00-04:00,20.55,20.85,20.37,20.82,25600
2004-06-07 16:00:00-04:00,20.68,20.8,20.06,20.75,41300
2004-06-08 16:00:00-04:00,20.6,20.7,20.25,20.54,41600
2004-06-09 16:00:00-04:00,20.54,20.74,20.5,20.61,36600
2004-06-10 16:00:00-04:00,20.61,21.59,20.6,21.59,41800
2004-06-14 16:00:00-04:00,21.4,21.52,21.04,21.48,129500
2004-06-15 16:00:00-04:00,21.48,22.0,21.27,21.6,80800
2004-06-16 16:00:00-04:00,21.5,21.52,20.81,20.95,19400
2004-06-17 16:00:00-04:00,20.8,21.5,20.6,21.3,23400
2004-06-18 16:00:00-04:00,21.2,21.94,21.02,21.81,76000
2004-06-21 16:00:00-04:00,22.0,22.0,21.4,21.55,40800
2004-06-22 16:00:00-04:00,21.5,21.56,21.24,21.26,15100
2004-06-23 16:00:00-04:00,21.0,22.15,20.9,22.15,48800
2004-06-24 16:00:00-04:00,22.3,22.3,21.95,22.0,71400
2004-06-25 16:00:00-04:00,21.9,22.05,21.55,21.55,209200
2004-06-28 16:00:00-04:00,21.6,21.68,21.23,21.28,31800
2004-06-29 16:00:00-04:00,21.45,21.45,20.91,20.95,55600
2004-06-30 16:00:00-04:00,20.92,20.98,20.9,20.91,40100
2004-07-01 16:00:00-04:00,21.0,21.0,20.76,20.8,43500
2004-07-02 16:00:00-04:00,20.85,20.85,20.68,20.8,72900
2004-07-06 16:00:00-04:00,20.8,20.8,20.39,20.46,52000
2004-07-07 16:00:00-04:00,20.45,20.59,20.4,20.5,53700
2004-07-08 16:00:00-04:00,20.7,20.7,20.25,20.25,81400
2004-07-09 16:00:00-04:00,20.2,20.24,19.52,19.74,71500
2004-07-12 16:00:00-04:00,19.84,20.5,19.75,20.5,86900
2004-07-13 16:00:00-04:00,20.5,20.9,20.5,20.62,7600
2004-07-14 16:00:00-04:00,20.52,20.98,20.2,20.52,16000
2004-07-15 16:00:00-04:00,20.42,20.47,20.15,20.17,30400
2004-07-16 16:00:00-04:00,20.17,20.17,19.99,20.11,17100
2004-07-19 16:00:00-04:00,20.11,20.3,20.1,20.3,12300
2004-07-20 16:00:00-04:00,20.35,20.6,20.32,20.59,11200
2004-07-21 16:00:00-04:00,20.74,20.74,20.4,20.52,14000
2004-07-22 16:00:00-04:00,20.42,20.42,19.75,20.1,126800
2004-07-23 16:00:00-04:00,20.03,20.29,20.03,20.15,43500
2004-07-26 16:00:00-04:00,20.14,20.15,19.81,20.01,17200
2004-07-27 16:00:00-04:00,20.06,20.35,20.0,20.35,38600
