,Open,High,Low,Close,Volume
2006-11-29 16:00:00-05:00,3.4,3.4,3.35,3.35,5800
2006-11-30 16:00:00-05:00,3.35,3.35,3.3,3.3,2600
2006-12-01 16:00:00-05:00,3.25,3.3,3.2,3.2,5120
2006-12-04 16:00:00-05:00,3.25,3.25,3.07,3.12,38640
2006-12-05 16:00:00-05:00,3.12,3.25,3.12,3.25,32000
2006-12-06 16:00:00-05:00,3.19,3.25,3.19,3.25,10000
2006-12-07 16:00:00-05:00,3.25,3.25,3.16,3.16,10400
2006-12-08 16:00:00-05:00,3.15,3.15,2.95,3.0,33300
2006-12-11 16:00:00-05:00,3.08,3.1,3.05,3.1,20815
2006-12-12 16:00:00-05:00,3.08,3.1,3.08,3.1,14400
2006-12-13 16:00:00-05:00,3.1,3.1,3.1,3.1,2000
2006-12-14 16:00:00-05:00,3.08,3.1,3.08,3.1,5000
2006-12-15 16:00:00-05:00,3.08,3.08,3.08,3.08,29400
2006-12-18 16:00:00-05:00,3.09,3.1,3.09,3.1,19600
2006-12-20 16:00:00-05:00,3.12,3.12,3.12,3.12,5000
2006-12-21 16:00:00-05:00,3.13,3.24,3.13,3.15,24400
2006-12-22 16:00:00-05:00,3.16,3.24,3.16,3.24,3900
2006-12-26 16:00:00-05:00,3.24,3.24,3.24,3.24,1800
2006-12-27 16:00:00-05:00,3.21,3.24,3.16,3.24,17000
2006-12-28 16:00:00-05:00,3.24,3.24,3.24,3.24,1000
2006-12-29 16:00:00-05:00,3.25,3.48,3.24,3.48,46300
2007-01-03 16:00:00-05:00,3.46,3.55,3.43,3.48,31200
2007-01-04 16:00:00-05:00,3.55,3.55,3.4,3.4,17500
2007-01-05 16:00:00-05:00,3.4,3.4,3.4,3.4,1000
2007-01-08 16:00:00-05:00,3.35,3.35,3.35,3.35,300
2007-01-09 16:00:00-05:00,3.33,3.33,3.3,3.33,10000
2007-01-10 16:00:00-05:00,3.3,3.3,3.3,3.3,35500
2007-01-11 16:00:00-05:00,3.3,3.3,3.3,3.3,6000
2007-01-16 16:00:00-05:00,3.35,3.35,3.3,3.3,2000
2007-01-17 16:00:00-05:00,3.25,3.25,3.25,3.25,2800
2007-01-22 16:00:00-05:00,3.35,3.45,3.35,3.45,2000
2007-01-23 16:00:00-05:00,3.3,3.3,3.3,3.3,2000
2007-01-24 16:00:00-05:00,3.43,3.43,3.43,3.43,1000
2007-01-26 16:00:00-05:00,3.3,3.3,3.3,3.3,1000
2007-01-31 16:00:00-05:00,3.35,3.45,3.35,3.35,5200
2007-02-01 16:00:00-05:00,3.25,3.25,3.25,3.25,1000
2007-02-05 16:00:00-05:00,3.25,3.25,3.25,3.25,3500
2007-02-09 16:00:00-05:00,3.35,3.35,3.35,3.35,3500
2007-02-12 16:00:00-05:00,3.25,3.25,3.1,3.1,52000
2007-02-13 16:00:00-05:00,3.09,3.09,2.9,3.0,42200
2007-02-14 16:00:00-05:00,2.9,2.9,2.85,2.85,2500
2007-02-15 16:00:00-05:00,2.9,2.9,2.9,2.9,11700
2007-02-16 16:00:00-05:00,2.85,2.85,2.85,2.85,500
2007-02-21 16:00:00-05:00,2.85,2.85,2.85,2.85,1500
2007-02-22 16:00:00-05:00,2.85,2.85,2.8,2.8,1500
2007-02-23 16:00:00-05:00,2.8,2.8,2.16,2.17,270400
2007-02-26 16:00:00-05:00,2.2,2.4,2.2,2.3,437790
2007-02-27 16:00:00-05:00,2.3,2.36,2.3,2.35,5500
2007-02-28 16:00:00-05:00,2.36,2.36,2.36,2.36,3250
2007-03-01 16:00:00-05:00,2.31,2.31,2.19,2.235,8000
2007-03-05 16:00:00-05:00,2.17,2.17,2.05,2.05,5878
2007-03-06 16:00:00-05:00,2.05,2.05,1.9,2.0,47600
2007-03-07 16:00:00-05:00,2.0,2.0,2.0,2.0,90500
2007-03-08 16:00:00-05:00,2.0,2.0,1.9,2.0,20100
2007-03-09 16:00:00-05:00,1.95,1.98,1.95,1.96,3990
2007-03-12 16:00:00-04:00,1.95,1.95,1.95,1.95,13500
2007-03-13 16:00:00-04:00,1.95,1.95,1.9,1.9,10950
2007-03-14 16:00:00-04:00,1.85,1.9,1.6,1.85,47800
2007-03-16 16:00:00-04:00,1.8,1.8,1.8,1.8,1100
2007-03-19 16:00:00-04:00,1.8,1.8,1.8,1.8,6000
2007-03-20 16:00:00-04:00,1.82,1.82,1.81,1.81,52990
2007-03-26 16:00:00-04:00,1.81,1.85,1.75,1.75,14609
2007-03-27 16:00:00-04:00,1.77,1.77,1.75,1.75,7000
2007-03-28 16:00:00-04:00,1.65,1.78,1.65,1.78,78950
2007-03-29 16:00:00-04:00,1.78,1.98,1.78,1.9,75100
2007-03-30 16:00:00-04:00,1.9,1.9,1.9,1.9,1000
2007-04-03 16:00:00-04:00,1.89,1.9,1.89,1.9,19600
2007-04-04 16:00:00-04:00,1.87,1.87,1.6,1.69,32391
2007-04-05 16:00:00-04:00,1.65,1.8,1.65,1.8,64000
