,Open,High,Low,Close,Volume
2017-04-13 16:00:00-04:00,17.5,18.75,17.5,18.0,11341551
2017-04-17 16:00:00-04:00,18.03,19.06,18.03,19.0,1705291
2017-04-18 16:00:00-04:00,18.76,18.98,18.0,18.46,1668900
2017-04-19 16:00:00-04:00,18.59,18.94,18.22,18.3,1460848
2017-04-20 16:00:00-04:00,18.26,18.86,18.05,18.58,1991977
2017-04-21 16:00:00-04:00,18.5,18.73,18.34,18.41,305447
2017-04-24 16:00:00-04:00,18.48,18.745,18.25,18.71,687994
2017-04-25 16:00:00-04:00,18.69,18.79,18.04,18.28,196250
2017-04-26 16:00:00-04:00,18.28,18.71,18.14,18.45,284275
2017-04-27 16:00:00-04:00,18.42,18.5,18.0,18.0,493790
2017-04-28 16:00:00-04:00,18.0,18.28,18.0,18.08,695792
2017-05-01 16:00:00-04:00,18.11,18.4,18.0,18.0,171420
2017-05-02 16:00:00-04:00,18.0,18.72,18.0,18.36,228488
2017-05-03 16:00:00-04:00,18.38,18.7,17.93,18.0,456773
2017-05-04 16:00:00-04:00,17.97,18.07,17.5,17.52,440343
2017-05-05 16:00:00-04:00,17.61,17.95,17.32,17.58,320529
2017-05-08 16:00:00-04:00,17.5,17.75,17.25,17.44,629574
2017-05-09 16:00:00-04:00,17.51,17.52,16.67,16.9,787546
2017-05-10 16:00:00-04:00,16.94,17.47,16.75,17.24,346571
2017-05-11 16:00:00-04:00,17.14,17.3,16.93,17.15,286935
2017-05-12 16:00:00-04:00,17.1,18.14,16.9,17.0,494156
2017-05-15 16:00:00-04:00,17.13,17.86,17.13,17.46,178712
2017-05-16 16:00:00-04:00,17.29,18.09,16.72,16.99,190639
2017-05-17 16:00:00-04:00,16.84,17.25,16.7,17.05,203303
2017-05-18 16:00:00-04:00,17.09,17.3,16.9,17.14,296283
2017-05-19 16:00:00-04:00,17.9,19.08,17.6,17.76,1499146
2017-05-22 16:00:00-04:00,17.88,18.23,17.42,18.2,558097
2017-05-23 16:00:00-04:00,18.22,18.49,17.48,17.9,468939
2017-05-24 16:00:00-04:00,17.92,18.11,17.69,17.73,402698
2017-05-25 16:00:00-04:00,17.7,17.9799,17.29,17.33,112414
2017-05-26 16:00:00-04:00,17.39,17.41,17.05,17.12,127718
2017-05-30 16:00:00-04:00,17.28,17.46,17.01,17.34,139829
2017-05-31 16:00:00-04:00,17.1,17.25,16.63,17.09,477037
2017-06-01 16:00:00-04:00,17.08,18.0,17.08,17.75,251539
2017-06-02 16:00:00-04:00,17.69,17.82,17.09,17.21,511623
2017-06-05 16:00:00-04:00,17.25,17.65,17.16,17.33,161890
2017-06-06 16:00:00-04:00,17.33,17.5,16.94,17.48,124440
2017-06-07 16:00:00-04:00,17.45,17.5,16.99,17.03,194897
2017-06-08 16:00:00-04:00,17.0,17.5,16.73,17.44,225437
2017-06-09 16:00:00-04:00,17.51,17.51,17.31,17.48,115906
2017-06-12 16:00:00-04:00,17.5,17.75,17.39,17.45,232646
2017-06-13 16:00:00-04:00,17.33,17.61,17.03,17.16,215436
