,Open,High,Low,Close,Volume
1993-03-08 16:00:00-05:00,0.0,7.0,6.125,6.875,3994100
1993-03-09 16:00:00-05:00,0.0,7.5,6.75,7.5,3047700
1993-03-10 16:00:00-05:00,0.0,8.125,7.625,7.875,3610300
1993-03-11 16:00:00-05:00,0.0,7.875,7.5,7.5,1281100
1993-03-12 16:00:00-05:00,0.0,7.75,7.375,7.75,1129000
1993-03-15 16:00:00-05:00,0.0,8.125,7.75,8.0,1839200
1993-03-16 16:00:00-05:00,0.0,8.5,8.0,8.25,1929500
1993-03-17 16:00:00-05:00,0.0,8.25,7.75,7.875,1751500
1993-03-18 16:00:00-05:00,0.0,8.125,7.75,7.75,1876600
1993-03-19 16:00:00-05:00,0.0,8.0,7.75,7.875,413500
1993-03-22 16:00:00-05:00,0.0,8.0,7.625,7.75,1405000
1993-03-23 16:00:00-05:00,0.0,7.875,7.5,7.75,798200
1993-03-24 16:00:00-05:00,0.0,7.625,7.375,7.375,1065200
1993-03-25 16:00:00-05:00,0.0,7.625,7.375,7.5,891500
1993-03-26 16:00:00-05:00,0.0,7.625,7.375,7.625,699100
1993-03-29 16:00:00-05:00,0.0,7.625,7.5,7.5,127200
1993-03-30 16:00:00-05:00,0.0,7.75,7.5,7.75,297400
1993-03-31 16:00:00-05:00,0.0,8.0,7.75,7.875,1399700
1993-04-01 16:00:00-05:00,0.0,8.0,7.5,7.625,542600
1993-04-02 16:00:00-05:00,0.0,7.625,7.375,7.625,717200
1993-04-05 16:00:00-04:00,0.0,7.625,7.375,7.5,412600
1993-04-06 16:00:00-04:00,0.0,7.5,7.125,7.125,700400
1993-04-07 16:00:00-04:00,0.0,7.375,7.0,7.0,599300
1993-04-08 16:00:00-04:00,0.0,7.125,6.875,7.0,385000
1993-04-12 16:00:00-04:00,0.0,7.0,6.75,6.75,465200
1993-04-13 16:00:00-04:00,0.0,7.0,6.5,6.75,1355000
1993-04-14 16:00:00-04:00,0.0,6.75,6.375,6.625,1635800
1993-04-15 16:00:00-04:00,0.0,6.625,6.375,6.625,851600
1993-04-16 16:00:00-04:00,0.0,6.875,6.5,6.75,734800
1993-04-19 16:00:00-04:00,0.0,7.375,6.75,7.25,1156700
1993-04-20 16:00:00-04:00,0.0,8.0,7.375,7.625,2511400
1993-04-21 16:00:00-04:00,0.0,8.25,7.75,8.25,3369700
1993-04-22 16:00:00-04:00,0.0,8.5,8.0,8.125,1970600
1993-04-23 16:00:00-04:00,0.0,8.25,8.0,8.125,1166700
1993-04-26 16:00:00-04:00,0.0,8.25,7.875,8.125,962100
1993-04-27 16:00:00-04:00,0.0,8.25,8.0,8.25,1460600
1993-04-28 16:00:00-04:00,0.0,8.75,8.125,8.75,2363000
1993-04-29 16:00:00-04:00,0.0,8.75,8.5,8.75,2084700
1993-04-30 16:00:00-04:00,0.0,9.375,8.875,9.25,2958700
1993-05-03 16:00:00-04:00,0.0,9.375,9.0,9.25,1718700
1993-05-04 16:00:00-04:00,0.0,9.25,8.75,8.875,2288700
1993-05-05 16:00:00-04:00,0.0,9.25,8.875,9.125,2633200
1993-05-06 16:00:00-04:00,0.0,10.125,9.125,10.0,6021300
1993-05-07 16:00:00-04:00,0.0,10.125,9.75,9.875,4178300
1993-05-10 16:00:00-04:00,0.0,10.125,9.75,9.875,1709600
1993-05-11 16:00:00-04:00,0.0,10.5,10.0,10.375,3898300
1993-05-12 16:00:00-04:00,0.0,10.875,10.375,10.75,5208300
1993-05-13 16:00:00-04:00,0.0,10.875,10.5,10.75,3015500
1993-05-14 16:00:00-04:00,0.0,10.625,10.125,10.25,2116700
1993-05-17 16:00:00-04:00,0.0,10.625,10.25,10.375,2146300
1993-05-18 16:00:00-04:00,0.0,10.75,10.25,10.5,2224000
1993-05-19 16:00:00-04:00,0.0,10.625,10.375,10.5,1692400
1993-05-20 16:00:00-04:00,0.0,10.875,10.5,10.875,2524900
1993-05-21 16:00:00-04:00,0.0,11.375,10.75,11.25,3122300
1993-05-24 16:00:00-04:00,0.0,11.5,11.0,11.0,1897400
1993-05-25 16:00:00-04:00,0.0,11.375,10.875,11.375,1808100
1993-05-26 16:00:00-04:00,0.0,11.5,11.25,11.5,1580000
1993-05-27 16:00:00-04:00,0.0,11.625,11.25,11.5,2333400
1993-05-28 16:00:00-04:00,0.0,11.875,11.25,11.75,1247800
1993-06-01 16:00:00-04:00,0.0,12.125,11.25,11.375,2527900
1993-06-02 16:00:00-04:00,0.0,12.0,11.375,12.0,1923700
1993-06-03 16:00:00-04:00,0.0,12.25,11.875,12.0,1852400
1993-06-04 16:00:00-04:00,0.0,12.0,11.625,11.75,742100
1993-06-07 16:00:00-04:00,0.0,12.0,11.375,11.375,783600
1993-06-08 16:00:00-04:00,0.0,11.75,11.0,11.75,1205500
1993-06-09 16:00:00-04:00,0.0,11.75,11.125,11.125,1217700
1993-06-10 16:00:00-04:00,0.0,11.0,10.375,10.75,1744700
1993-06-11 16:00:00-04:00,0.0,11.0,10.625,11.0,1066300
1993-06-14 16:00:00-04:00,0.0,11.0,10.625,10.625,527500
1993-06-15 16:00:00-04:00,0.0,10.875,10.625,10.75,1005900
1993-06-16 16:00:00-04:00,0.0,10.875,10.125,10.5,1786800
1993-06-17 16:00:00-04:00,0.0,10.875,10.5,10.875,1112800
1993-06-18 16:00:00-04:00,0.0,10.75,10.625,10.75,279400
1993-06-21 16:00:00-04:00,0.0,10.75,10.375,10.625,340000
1993-06-22 16:00:00-04:00,0.0,10.5,10.25,10.375,862200
1993-06-23 16:00:00-04:00,0.0,10.5,10.125,10.125,1257800
1993-06-24 16:00:00-04:00,0.0,10.375,10.125,10.375,840200
1993-06-25 16:00:00-04:00,0.0,10.375,10.0,10.125,701400
1993-06-28 16:00:00-04:00,0.0,10.75,10.125,10.75,1895500
1993-06-29 16:00:00-04:00,0.0,11.0,10.625,11.0,2322800
1993-06-30 16:00:00-04:00,0.0,11.375,11.125,11.25,1344700
1993-07-01 16:00:00-04:00,0.0,12.125,11.125,12.125,5381600
1993-07-02 16:00:00-04:00,0.0,12.125,11.75,11.875,1351600
1993-07-06 16:00:00-04:00,0.0,12.0,11.5,11.875,826100
1993-07-07 16:00:00-04:00,0.0,11.875,11.25,11.5,923900
1993-07-08 16:00:00-04:00,0.0,11.75,11.25,11.625,914000
1993-07-09 16:00:00-04:00,0.0,11.75,11.125,11.5,752300
1993-07-12 16:00:00-04:00,0.0,11.875,11.5,11.75,948300
1993-07-13 16:00:00-04:00,0.0,12.875,11.75,12.75,3577500
1993-07-14 16:00:00-04:00,0.0,13.25,12.75,12.875,3116100
1993-07-15 16:00:00-04:00,0.0,13.0,12.625,12.75,1752500
1993-07-16 16:00:00-04:00,0.0,12.75,12.375,12.5,752400
1993-07-19 16:00:00-04:00,0.0,12.75,12.125,12.75,1350100
1993-07-20 16:00:00-04:00,0.0,13.0,12.375,12.5,1275800
1993-07-21 16:00:00-04:00,0.0,12.375,12.0,12.25,1296500
1993-07-22 16:00:00-04:00,0.0,12.375,12.0,12.0,1537300
1993-07-23 16:00:00-04:00,0.0,12.375,12.125,12.25,1490600
1993-07-26 16:00:00-04:00,0.0,12.625,12.25,12.5,1343500
1993-07-27 16:00:00-04:00,0.0,12.625,12.375,12.5,1223500
1993-07-28 16:00:00-04:00,0.0,12.5,11.75,11.875,1273000
1993-07-29 16:00:00-04:00,0.0,11.75,11.375,11.625,1579300
1993-07-30 16:00:00-04:00,0.0,11.75,11.375,11.375,615400
1993-08-02 16:00:00-04:00,0.0,11.625,11.125,11.125,581600
1993-08-03 16:00:00-04:00,0.0,11.25,10.625,10.875,1452100
1993-08-04 16:00:00-04:00,0.0,11.875,11.125,11.875,1089700
1993-08-05 16:00:00-04:00,0.0,12.5,11.875,12.125,1549900
1993-08-06 16:00:00-04:00,0.0,12.25,11.75,11.875,699900
1993-08-09 16:00:00-04:00,0.0,12.125,11.5,11.5,548300
1993-08-10 16:00:00-04:00,0.0,11.5,11.25,11.5,764300
1993-08-11 16:00:00-04:00,0.0,11.25,10.25,10.75,3058400
1993-08-12 16:00:00-04:00,0.0,11.375,10.875,10.875,1525100
1993-08-13 16:00:00-04:00,0.0,11.0,10.625,10.875,895500
1993-08-16 16:00:00-04:00,0.0,10.875,10.625,10.625,766200
1993-08-17 16:00:00-04:00,0.0,11.75,11.0,11.25,1490300
