,Open,High,Low,Close,Volume
2013-04-18 16:00:00-04:00,50.0,52.75,49.5,51.25,1832927
2013-04-19 16:00:00-04:00,51.34,54.48,50.0,53.6,262162
2013-04-22 16:00:00-04:00,53.56,55.0,53.0,54.91,29251
2013-04-23 16:00:00-04:00,55.38,55.39,54.44,55.0,6795
2013-04-24 16:00:00-04:00,54.9,55.75,54.07,54.07,213583
2013-04-25 16:00:00-04:00,54.66,55.4,50.53,54.95,343216
2013-04-26 16:00:00-04:00,55.71,55.71,55.0,55.2,135342
2013-04-29 16:00:00-04:00,56.9,56.9,54.0,54.05,74680
2013-04-30 16:00:00-04:00,53.91,55.0,53.91,55.0,9086
2013-05-01 16:00:00-04:00,54.49,54.49,54.49,54.49,13579
2013-05-02 16:00:00-04:00,54.6,55.01,54.6,54.9,185010
2013-05-03 16:00:00-04:00,54.0,54.1,54.0,54.01,11999
2013-05-06 16:00:00-04:00,54.0,54.33,54.0,54.3299,25600
2013-05-07 16:00:00-04:00,54.25,55.15,53.944,55.06,124100
2013-05-08 16:00:00-04:00,54.81,54.81,53.42,54.09,63979
2013-05-09 16:00:00-04:00,54.5,54.52,53.43,53.93,11897
2013-05-10 16:00:00-04:00,53.02,57.02,53.02,56.01,41859
2013-05-13 16:00:00-04:00,57.09,58.25,57.09,58.02,104600
2013-05-14 16:00:00-04:00,59.17,62.39,58.88,62.39,3800
2013-05-15 16:00:00-04:00,62.53,62.53,62.53,62.53,300
2013-05-16 16:00:00-04:00,62.5,62.77,61.13,61.37,5127
2013-05-17 16:00:00-04:00,60.81,60.81,59.42,59.42,40822
2013-05-20 16:00:00-04:00,0.0,0.0,0.0,59.42,0
2013-05-21 16:00:00-04:00,60.68,63.56,60.68,63.56,10249
2013-05-22 16:00:00-04:00,65.55,65.75,65.0,65.0,351433
2013-05-23 16:00:00-04:00,64.04,64.04,63.562,63.562,89420
2013-05-24 16:00:00-04:00,0.0,0.0,0.0,63.562,0
2013-05-28 16:00:00-04:00,0.0,0.0,0.0,63.562,0
2013-05-29 16:00:00-04:00,62.24,62.46,62.01,62.46,52700
2013-05-30 16:00:00-04:00,64.0042,64.0042,63.755,63.755,74000
2013-05-31 16:00:00-04:00,63.78,63.78,61.83,61.83,3500
2013-06-03 16:00:00-04:00,62.09,62.14,60.1,60.1,337799
2013-06-04 16:00:00-04:00,60.01,60.25,60.01,60.25,43000
2013-06-05 16:00:00-04:00,59.46,59.85,58.794,58.794,245973
2013-06-06 16:00:00-04:00,62.09,62.13,60.65,60.65,1000
2013-06-07 16:00:00-04:00,62.0,62.0,62.0,62.0,953
2013-06-10 16:00:00-04:00,59.22,59.22,59.22,59.22,100
2013-06-11 16:00:00-04:00,58.32,59.33,58.31,59.33,2050
2013-06-12 16:00:00-04:00,0.0,0.0,0.0,59.33,0
2013-06-13 16:00:00-04:00,56.09,58.01,56.09,58.01,1364
2013-06-14 16:00:00-04:00,57.55,57.97,57.1434,57.1434,51100
2013-06-17 16:00:00-04:00,57.93,57.93,57.03,57.03,1100
2013-06-18 16:00:00-04:00,56.7,56.7,56.7,56.7,1000
2013-06-19 16:00:00-04:00,0.0,0.0,0.0,56.7,0
2013-06-20 16:00:00-04:00,0.0,0.0,0.0,56.7,0
2013-06-21 16:00:00-04:00,55.122,56.1,55.122,56.1,1100
2013-06-24 16:00:00-04:00,56.0299,56.0299,56.0299,56.0299,100
2013-06-25 16:00:00-04:00,0.0,0.0,0.0,56.0299,0
2013-06-26 16:00:00-04:00,56.65,56.65,56.3,56.3,110134
2013-06-27 16:00:00-04:00,55.74,55.74,54.98,55.3,8138
2013-06-28 16:00:00-04:00,55.0,55.0,54.99,55.0,400
2013-07-01 16:00:00-04:00,55.015,55.26,54.68,54.68,900
2013-07-02 16:00:00-04:00,54.88,56.02,54.83,55.5,7957
2013-07-03 16:00:00-04:00,55.63,56.1,55.49,55.87,1000
2013-07-05 16:00:00-04:00,56.84,56.84,55.5,56.27,56497
2013-07-08 16:00:00-04:00,56.58,57.345,56.58,57.03,8331
2013-07-09 16:00:00-04:00,57.01,58.48,57.0,58.48,82847
2013-07-10 16:00:00-04:00,57.9,58.9,57.9,58.71,2700
2013-07-11 16:00:00-04:00,57.49,57.87,57.4,57.82,16550
2013-07-12 16:00:00-04:00,57.61,58.53,57.61,58.1,4300
2013-07-15 16:00:00-04:00,56.54,57.74,55.28,57.62,219354
2013-07-16 16:00:00-04:00,56.88,58.29,56.59,57.16,84912
2013-07-17 16:00:00-04:00,57.17,59.05,57.17,58.74,41700
2013-07-18 16:00:00-04:00,58.27,59.09,58.27,59.09,153601
2013-07-19 16:00:00-04:00,59.22,61.41,59.13,60.75,338662
2013-07-22 16:00:00-04:00,60.02,60.88,60.02,60.75,21634
2013-07-23 16:00:00-04:00,59.57,60.33,59.57,60.14,474
2013-07-24 16:00:00-04:00,59.13,59.13,59.13,59.13,22400
2013-07-25 16:00:00-04:00,58.45,58.49,58.45,58.49,899
2013-07-26 16:00:00-04:00,58.77,59.06,57.95,57.95,1559
2013-07-29 16:00:00-04:00,0.0,0.0,0.0,57.95,0
2013-07-30 16:00:00-04:00,58.98,58.98,58.5699,58.5699,12675
2013-07-31 16:00:00-04:00,58.57,59.14,58.57,59.03,15851
2013-08-01 16:00:00-04:00,59.32,61.06,58.5,60.46,62139
2013-08-02 16:00:00-04:00,61.39,65.1,61.39,63.92,8303
2013-08-05 16:00:00-04:00,64.75,64.75,63.875,63.875,1900
2013-08-06 16:00:00-04:00,62.99,63.22,62.08,62.08,300
2013-08-07 16:00:00-04:00,62.69,62.69,62.69,62.69,200
2013-08-08 16:00:00-04:00,63.0,63.158,62.79,62.79,898
2013-08-09 16:00:00-04:00,0.0,0.0,0.0,62.79,0
2013-08-12 16:00:00-04:00,0.0,0.0,0.0,62.79,0
2013-08-13 16:00:00-04:00,64.0,65.19,64.0,64.55,2614
2013-08-14 16:00:00-04:00,64.5,64.97,63.13,63.13,49258
2013-08-15 16:00:00-04:00,63.74,63.74,63.07,63.07,505
2013-08-16 16:00:00-04:00,61.78,61.78,61.78,61.78,794
2013-08-19 16:00:00-04:00,61.87,62.04,58.64,60.6,2973
2013-08-20 16:00:00-04:00,61.34,62.19,61.0,62.19,3162
2013-08-21 16:00:00-04:00,62.37,63.08,62.37,63.08,1179
2013-08-22 16:00:00-04:00,62.92,62.92,62.92,62.92,544
2013-08-23 16:00:00-04:00,0.0,0.0,0.0,62.92,0
2013-08-26 16:00:00-04:00,62.49,62.49,62.31,62.4,1100
2013-08-27 16:00:00-04:00,63.0,63.3,61.53,61.94,9078
2013-08-28 16:00:00-04:00,60.95,60.95,60.95,60.95,139
2013-08-29 16:00:00-04:00,60.42,60.42,60.42,60.42,100
2013-08-30 16:00:00-04:00,60.35,60.35,60.35,60.35,284
2013-09-03 16:00:00-04:00,61.9,61.9,60.21,60.21,1726
2013-09-04 16:00:00-04:00,62.66,62.66,61.228,61.38,469
2013-09-05 16:00:00-04:00,61.4,62.3,60.91,61.23,1544
2013-09-06 16:00:00-04:00,61.4,61.4,60.17,61.2599,765
2013-09-09 16:00:00-04:00,62.08,62.08,61.26,61.26,35000
2013-09-10 16:00:00-04:00,61.02,61.5,60.99,61.1924,11343
2013-09-11 16:00:00-04:00,0.0,0.0,0.0,61.1924,0
2013-09-12 16:00:00-04:00,60.28,61.14,60.28,61.14,980
2013-09-13 16:00:00-04:00,61.51,62.0,61.51,62.0,200
2013-09-16 16:00:00-04:00,62.66,62.95,62.53,62.95,882
2013-09-17 16:00:00-04:00,64.0,64.94,64.0,64.71,11550
2013-09-18 16:00:00-04:00,0.0,0.0,0.0,64.71,0
2013-09-19 16:00:00-04:00,0.0,0.0,0.0,64.71,0
2013-09-20 16:00:00-04:00,66.7,66.7,62.72,63.61,52694
2013-09-23 16:00:00-04:00,62.06,64.4,60.62,63.94,7454
2013-09-24 16:00:00-04:00,63.2,63.46,62.3,62.3,52548
2013-09-25 16:00:00-04:00,63.08,63.78,62.45,63.07,1100
2013-09-26 16:00:00-04:00,62.79,62.79,62.79,62.79,200
2013-09-27 16:00:00-04:00,62.7,64.34,62.46,63.66,2342
2013-09-30 16:00:00-04:00,62.34,62.44,61.07,61.07,82594
2013-10-01 16:00:00-04:00,62.47,62.95,61.67,62.69,1850
2013-10-02 16:00:00-04:00,62.51,62.83,62.34,62.34,1773
2013-10-03 16:00:00-04:00,62.14,62.14,61.98,62.13,500
2013-10-04 16:00:00-04:00,0.0,0.0,0.0,62.13,0
2013-10-07 16:00:00-04:00,60.8,61.72,60.78,61.72,1000
2013-10-08 16:00:00-04:00,61.12,61.33,60.32,60.32,2139
2013-10-09 16:00:00-04:00,60.21,60.21,59.05,59.05,700
2013-10-10 16:00:00-04:00,0.0,0.0,0.0,59.05,0
2013-10-11 16:00:00-04:00,57.63,57.86,57.63,57.86,69158
2013-10-14 16:00:00-04:00,58.44,58.44,58.44,58.44,25000
2013-10-15 16:00:00-04:00,57.85,57.85,56.76,56.76,1300
2013-10-16 16:00:00-04:00,57.02,57.19,57.02,57.19,668
2013-10-17 16:00:00-04:00,56.88,58.02,56.88,58.02,1600
