,Open,High,Low,Close,Volume
1992-08-14 16:00:00-04:00,0.0,9.375,8.875,9.375,241300
1992-08-17 16:00:00-04:00,0.0,9.625,9.375,9.5,50800
1992-08-18 16:00:00-04:00,0.0,9.25,8.875,9.25,70400
1992-08-19 16:00:00-04:00,0.0,9.25,9.125,9.25,13000
1992-08-20 16:00:00-04:00,0.0,9.5,9.25,9.5,30100
1992-08-21 16:00:00-04:00,0.0,9.75,9.5,9.625,96900
1992-08-24 16:00:00-04:00,0.0,9.75,9.5,9.75,44300
1992-08-25 16:00:00-04:00,0.0,9.75,9.625,9.75,17000
1992-08-26 16:00:00-04:00,0.0,9.75,9.625,9.75,19000
1992-08-27 16:00:00-04:00,0.0,10.375,9.875,10.125,489400
1992-08-28 16:00:00-04:00,0.0,10.125,9.875,10.125,91600
1992-08-31 16:00:00-04:00,0.0,10.25,10.125,10.125,167200
1992-09-01 16:00:00-04:00,0.0,10.125,10.0,10.0,16400
1992-09-02 16:00:00-04:00,0.0,10.125,9.875,10.125,12900
1992-09-03 16:00:00-04:00,0.0,10.25,10.125,10.25,240300
1992-09-04 16:00:00-04:00,0.0,10.25,10.125,10.25,38800
1992-09-08 16:00:00-04:00,0.0,10.125,10.0,10.0,39200
1992-09-09 16:00:00-04:00,0.0,10.25,10.0,10.125,115600
1992-09-10 16:00:00-04:00,0.0,10.25,9.875,10.0,54000
1992-09-11 16:00:00-04:00,0.0,10.0,9.75,10.0,16000
1992-09-14 16:00:00-04:00,0.0,10.125,10.0,10.125,32600
1992-09-15 16:00:00-04:00,0.0,10.125,10.0,10.0,80100
1992-09-16 16:00:00-04:00,0.0,10.0,9.75,9.75,28100
1992-09-17 16:00:00-04:00,0.0,10.125,9.75,10.125,10700
1992-09-18 16:00:00-04:00,0.0,10.125,9.875,9.875,3400
1992-09-21 16:00:00-04:00,0.0,10.125,9.875,10.0,19600
1992-09-22 16:00:00-04:00,0.0,10.125,9.875,10.125,30900
1992-09-23 16:00:00-04:00,0.0,10.125,10.0,10.125,17700
1992-09-24 16:00:00-04:00,0.0,10.125,10.0,10.0,322700
1992-09-25 16:00:00-04:00,0.0,10.125,10.0,10.0,15000
1992-09-28 16:00:00-04:00,0.0,10.0,9.875,9.875,28800
1992-09-29 16:00:00-04:00,0.0,10.0,9.875,10.0,8400
1992-09-30 16:00:00-04:00,0.0,9.875,9.75,9.75,14600
1992-10-01 16:00:00-04:00,0.0,9.875,9.75,9.875,7900
1992-10-02 16:00:00-04:00,0.0,10.0,9.75,9.75,11500
1992-10-05 16:00:00-04:00,0.0,9.75,9.375,9.5,16300
1992-10-06 16:00:00-04:00,0.0,9.625,9.5,9.625,2800
1992-10-07 16:00:00-04:00,0.0,9.625,9.375,9.5,5600
1992-10-08 16:00:00-04:00,0.0,9.625,9.5,9.625,4200
1992-10-09 16:00:00-04:00,0.0,9.5,9.375,9.375,7200
1992-10-12 16:00:00-04:00,0.0,9.75,9.5,9.75,7300
1992-10-13 16:00:00-04:00,0.0,9.75,9.5,9.75,7400
1992-10-14 16:00:00-04:00,0.0,9.625,9.375,9.5,8600
1992-10-15 16:00:00-04:00,0.0,9.625,9.5,9.5,22400
1992-10-16 16:00:00-04:00,0.0,9.5,9.375,9.5,10900
1992-10-19 16:00:00-04:00,0.0,9.5,9.375,9.5,15100
1992-10-20 16:00:00-04:00,0.0,9.5,9.375,9.5,19100
1992-10-21 16:00:00-04:00,0.0,9.5,9.375,9.5,16000
1992-10-22 16:00:00-04:00,0.0,9.5,9.375,9.375,6800
1992-10-23 16:00:00-04:00,0.0,9.625,9.375,9.5,7100
1992-10-26 16:00:00-05:00,0.0,9.625,9.5,9.625,10900
1992-10-27 16:00:00-05:00,0.0,9.625,9.5,9.5,6600
1992-10-28 16:00:00-05:00,0.0,9.625,9.5,9.625,10100
1992-10-29 16:00:00-05:00,0.0,9.625,9.5,9.5,5500
1992-10-30 16:00:00-05:00,0.0,9.5,9.375,9.5,7400
1992-11-02 16:00:00-05:00,0.0,9.625,9.375,9.5,10700
1992-11-03 16:00:00-05:00,0.0,9.5,9.375,9.5,5400
1992-11-04 16:00:00-05:00,0.0,9.625,9.375,9.5,9500
1992-11-05 16:00:00-05:00,0.0,9.5,9.25,9.25,25900
1992-11-06 16:00:00-05:00,0.0,9.25,9.125,9.125,25700
1992-11-09 16:00:00-05:00,0.0,9.0,8.875,8.875,22600
1992-11-10 16:00:00-05:00,0.0,9.0,8.875,8.875,15100
1992-11-11 16:00:00-05:00,0.0,9.0,8.75,8.875,16600
1992-11-12 16:00:00-05:00,0.0,9.0,8.875,8.875,6700
1992-11-13 16:00:00-05:00,0.0,9.0,8.875,8.875,6000
1992-11-16 16:00:00-05:00,0.0,8.875,8.75,8.875,8400
1992-11-17 16:00:00-05:00,0.0,8.875,8.125,8.25,260600
1992-11-18 16:00:00-05:00,0.0,8.625,8.375,8.5,177500
1992-11-19 16:00:00-05:00,0.0,8.625,8.5,8.5,64400
1992-11-20 16:00:00-05:00,0.0,8.625,8.375,8.5,84600
1992-11-23 16:00:00-05:00,0.0,8.625,8.5,8.5,32000
1992-11-24 16:00:00-05:00,0.0,8.625,8.375,8.5,22800
1992-11-25 16:00:00-05:00,0.0,8.75,8.625,8.75,22200
1992-11-27 16:00:00-05:00,0.0,8.75,8.625,8.75,11300
1992-11-30 16:00:00-05:00,0.0,8.875,8.75,8.875,26600
1992-12-01 16:00:00-05:00,0.0,8.75,8.625,8.625,34900
1992-12-02 16:00:00-05:00,0.0,8.875,8.75,8.875,11700
1992-12-03 16:00:00-05:00,0.0,8.875,8.625,8.875,9200
1992-12-04 16:00:00-05:00,0.0,8.875,8.75,8.875,6700
1992-12-07 16:00:00-05:00,0.0,8.875,8.75,8.75,4100
1992-12-08 16:00:00-05:00,0.0,8.75,8.625,8.625,16600
1992-12-09 16:00:00-05:00,0.0,8.875,8.75,8.75,14300
1992-12-10 16:00:00-05:00,0.0,8.875,8.75,8.75,38500
1992-12-11 16:00:00-05:00,0.0,8.875,8.75,8.875,10000
1992-12-14 16:00:00-05:00,0.0,8.875,8.75,8.875,42700
1992-12-15 16:00:00-05:00,0.0,9.0,8.75,8.875,19200
1992-12-16 16:00:00-05:00,0.0,9.0,8.875,8.875,12500
1992-12-17 16:00:00-05:00,0.0,9.0,8.875,9.0,9300
1992-12-18 16:00:00-05:00,0.0,9.25,9.0,9.25,13100
1992-12-21 16:00:00-05:00,0.0,9.125,9.0,9.125,25500
1992-12-22 16:00:00-05:00,0.0,9.125,9.0,9.0,9000
1992-12-23 16:00:00-05:00,0.0,9.125,8.875,9.125,23600
1992-12-24 16:00:00-05:00,0.0,9.125,8.875,9.0,14000
1992-12-28 16:00:00-05:00,0.0,8.875,8.75,8.875,14700
1992-12-29 16:00:00-05:00,0.0,8.875,8.75,8.75,12000
1992-12-30 16:00:00-05:00,0.0,8.75,8.5,8.75,23600
1992-12-31 16:00:00-05:00,0.0,8.75,8.5,8.625,83000
1993-01-04 16:00:00-05:00,0.0,8.625,8.5,8.5,18100
1993-01-05 16:00:00-05:00,0.0,8.5,8.5,8.5,22600
1993-01-06 16:00:00-05:00,0.0,8.625,8.5,8.625,45800
1993-01-07 16:00:00-05:00,0.0,8.625,8.5,8.5,18800
1993-01-08 16:00:00-05:00,0.0,8.625,8.5,8.625,24500
1993-01-11 16:00:00-05:00,0.0,8.625,8.5,8.625,15500
1993-01-12 16:00:00-05:00,0.0,8.75,8.625,8.625,20200
1993-01-13 16:00:00-05:00,0.0,8.5,8.5,8.5,15300
1993-01-14 16:00:00-05:00,0.0,8.5,8.25,8.5,186200
1993-01-15 16:00:00-05:00,0.0,8.625,8.375,8.5,73200
1993-01-18 16:00:00-05:00,0.0,8.75,8.5,8.75,29200
1993-01-19 16:00:00-05:00,0.0,8.875,8.75,8.875,27500
1993-01-20 16:00:00-05:00,0.0,8.75,8.625,8.75,19700
1993-01-21 16:00:00-05:00,0.0,8.75,8.625,8.625,8600
1993-01-22 16:00:00-05:00,0.0,8.625,8.5,8.625,13700
1993-01-25 16:00:00-05:00,0.0,8.625,8.5,8.625,22400
1993-01-26 16:00:00-05:00,0.0,8.75,8.5,8.75,28200
1993-01-27 16:00:00-05:00,0.0,8.75,8.625,8.75,18300
1993-01-28 16:00:00-05:00,0.0,9.0,8.875,9.0,65900
1993-01-29 16:00:00-05:00,0.0,9.0,8.875,8.875,15000
1993-02-01 16:00:00-05:00,0.0,9.125,8.875,9.0,53200
1993-02-02 16:00:00-05:00,0.0,9.125,8.875,8.875,18500
1993-02-03 16:00:00-05:00,0.0,9.0,8.875,8.875,28300
1993-02-04 16:00:00-05:00,0.0,9.125,9.0,9.125,80200
1993-02-05 16:00:00-05:00,0.0,9.125,9.0,9.125,23700
1993-02-08 16:00:00-05:00,0.0,9.125,9.0,9.125,32900
