,Open,High,Low,Close,Volume
1988-12-29 16:00:00-05:00,0.0,12.0,12.0,12.0,67600
1988-12-30 16:00:00-05:00,0.0,12.0,12.0,12.0,95300
1989-01-03 16:00:00-05:00,0.0,12.0,12.0,12.0,67000
1989-01-04 16:00:00-05:00,0.0,12.0,12.0,12.0,75100
1989-01-05 16:00:00-05:00,0.0,12.0,12.0,12.0,3500
1989-01-06 16:00:00-05:00,0.0,12.0,12.0,12.0,21800
1989-01-09 16:00:00-05:00,0.0,12.0,12.0,12.0,11900
1989-01-10 16:00:00-05:00,0.0,12.0,12.0,12.0,12900
1989-01-11 16:00:00-05:00,0.0,12.0,12.0,12.0,9500
1989-01-12 16:00:00-05:00,0.0,12.0,12.0,12.0,10400
1989-01-13 16:00:00-05:00,0.0,12.0,12.0,12.0,2500
1989-01-16 16:00:00-05:00,0.0,12.0,12.0,12.0,10200
1989-01-17 16:00:00-05:00,0.0,12.0,12.0,12.0,10800
1989-01-18 16:00:00-05:00,0.0,12.0,12.0,12.0,11700
1989-01-19 16:00:00-05:00,0.0,12.0,12.0,12.0,5000
1989-01-20 16:00:00-05:00,0.0,12.0,12.0,12.0,45500
1989-01-23 16:00:00-05:00,0.0,12.0,12.0,12.0,9400
1989-01-24 16:00:00-05:00,0.0,12.0,12.0,12.0,11000
1989-01-25 16:00:00-05:00,0.0,12.0,12.0,12.0,68200
1989-01-26 16:00:00-05:00,0.0,11.75,11.5,11.5,240100
1989-01-27 16:00:00-05:00,0.0,11.625,11.5,11.5,10100
1989-01-30 16:00:00-05:00,0.0,11.625,11.5,11.5,15100
1989-01-31 16:00:00-05:00,0.0,11.625,11.5,11.5,13200
1989-02-01 16:00:00-05:00,0.0,11.625,11.5,11.625,41200
1989-02-02 16:00:00-05:00,0.0,11.625,11.5,11.5,10600
1989-02-03 16:00:00-05:00,0.0,11.625,11.5,11.5,18800
1989-02-06 16:00:00-05:00,0.0,11.625,11.5,11.5,8700
1989-02-07 16:00:00-05:00,0.0,11.625,11.5,11.5,8700
1989-02-08 16:00:00-05:00,0.0,11.625,11.25,11.25,15200
1989-02-09 16:00:00-05:00,0.0,11.375,11.25,11.25,9300
1989-02-10 16:00:00-05:00,0.0,11.375,11.0,11.125,12000
1989-02-13 16:00:00-05:00,0.0,11.125,10.875,11.0,10500
1989-02-14 16:00:00-05:00,0.0,11.0,10.625,10.875,24100
