,Open,High,Low,Close,Volume
2010-10-14 16:00:00-04:00,26.97,27.65,24.45,27.02,9197317
2010-10-15 16:00:00-04:00,27.1,27.1,26.5,26.5,3207585
2010-10-18 16:00:00-04:00,26.6,27.04,26.41,26.75,4077275
2010-10-19 16:00:00-04:00,26.99,26.99,26.44,26.52,7782946
2010-10-20 16:00:00-04:00,26.7,27.2,26.65,27.13,6082648
2010-10-21 16:00:00-04:00,27.19,28.0,27.1,27.56,6530807
2010-10-22 16:00:00-04:00,27.6,27.68,27.3,27.55,2442021
2010-10-25 16:00:00-04:00,27.835,28.27,27.72,27.96,3935291
2010-10-26 16:00:00-04:00,28.07,28.12,26.5,27.72,5532527
2010-10-27 16:00:00-04:00,27.83,27.83,26.85,27.21,3619198
2010-10-28 16:00:00-04:00,27.38,27.79,26.99,27.51,3821543
2010-10-29 16:00:00-04:00,27.85,28.25,26.6,26.86,7190607
2010-11-01 16:00:00-04:00,26.76,27.16,25.7,26.0,4164976
2010-11-02 16:00:00-04:00,26.3,26.79,26.18,26.63,3387806
2010-11-03 16:00:00-04:00,26.91,27.47,26.35,26.95,3338694
2010-11-04 16:00:00-04:00,27.25,27.56,26.99,27.41,5118309
2010-11-05 16:00:00-04:00,27.45,28.53,26.76,28.35,7668994
2010-11-08 16:00:00-05:00,28.5,28.85,28.24,28.85,4110677
2010-11-09 16:00:00-05:00,29.02,29.1,28.17,28.44,2267249
2010-11-10 16:00:00-05:00,28.4,28.5,27.74,28.34,2717001
2010-11-11 16:00:00-05:00,28.12,28.8,28.0201,28.29,2478553
2010-11-12 16:00:00-05:00,28.32,28.37,27.33,27.4,4365195
2010-11-15 16:00:00-05:00,27.25,27.99,27.2,27.66,4142475
2010-11-16 16:00:00-05:00,27.57,27.65,26.25,26.7,2919305
2010-11-17 16:00:00-05:00,26.74,27.31,26.34,27.23,3193763
2010-11-18 16:00:00-05:00,28.06,28.2325,27.54,27.69,3376520
2010-11-19 16:00:00-05:00,27.77,28.88,27.5,28.75,17483322
2010-11-22 16:00:00-05:00,28.63,29.82,28.55,29.68,6153764
2010-11-23 16:00:00-05:00,29.25,29.25,28.81,28.95,4385236
2010-11-24 16:00:00-05:00,29.1,29.54,28.86,29.5,3341008
2010-11-26 13:00:00-05:00,29.2,29.55,29.15,29.38,740549
2010-11-29 16:00:00-05:00,29.9,29.97,28.86,29.75,3414823
2010-11-30 16:00:00-05:00,29.23,29.5,29.06,29.21,2831262
2010-12-01 16:00:00-05:00,29.69,30.04,29.63,29.88,7132472
2010-12-02 16:00:00-05:00,30.21,30.5,29.4105,30.49,7641030
2010-12-03 16:00:00-05:00,30.04,30.71,29.53,30.52,5584283
2010-12-06 16:00:00-05:00,30.62,31.12,30.5,31.08,4628399
2010-12-07 16:00:00-05:00,31.5,31.75,30.93,31.6,6297614
2010-12-08 16:00:00-05:00,31.6,31.85,30.73,30.86,3558094
2010-12-09 16:00:00-05:00,31.23,31.34,29.6,30.61,4306114
2010-12-10 16:00:00-05:00,30.56,31.17,30.46,31.1,3383700
2010-12-13 16:00:00-05:00,31.08,31.97,31.03,31.86,38066323
2010-12-14 16:00:00-05:00,31.61,32.46,31.07,31.99,3875059
2010-12-15 16:00:00-05:00,31.99,32.19,31.52,31.75,1458658
2010-12-16 16:00:00-05:00,32.01,32.07,30.91,31.2,2498444
2010-12-17 16:00:00-05:00,31.14,32.0,30.72,31.87,3979961
2010-12-20 16:00:00-05:00,31.91,32.12,31.62,32.1,2500861
2010-12-21 16:00:00-05:00,32.0,32.57,32.0,32.55,3301152
2010-12-22 16:00:00-05:00,32.34,32.98,32.34,32.95,3212737
2010-12-23 16:00:00-05:00,32.95,33.0,32.789,32.93,724418
2010-12-27 16:00:00-05:00,32.67,33.03,32.65,32.96,679526
2010-12-28 16:00:00-05:00,32.94,33.3,32.83,33.28,1111595
2010-12-29 16:00:00-05:00,33.21,33.45,33.18,33.4,1290324
2010-12-30 16:00:00-05:00,33.43,33.82,33.26,33.76,1605572
2010-12-31 16:00:00-05:00,33.85,34.54,33.83,34.4,1877808
2011-01-03 16:00:00-05:00,34.75,34.99,34.43,34.56,3403306
2011-01-04 16:00:00-05:00,34.8,34.95,34.54,34.87,5475610
2011-01-05 16:00:00-05:00,34.68,35.0,34.63,34.85,2780792
2011-01-06 16:00:00-05:00,34.93,35.11,34.72,34.97,3249311
2011-01-07 16:00:00-05:00,35.18,35.23,34.45,34.62,1889622
2011-01-10 16:00:00-05:00,34.92,35.3,34.6,35.24,4051508
2011-01-11 16:00:00-05:00,35.6,36.58,35.51,36.47,4729444
2011-01-12 16:00:00-05:00,36.66,37.0,36.51,36.74,2867860
2011-01-13 16:00:00-05:00,36.84,36.84,35.85,36.4,4404449
2011-01-14 16:00:00-05:00,36.28,37.0,36.04,36.61,3841007
2011-01-18 16:00:00-05:00,36.95,37.0,36.46,36.5,2166546
2011-01-19 16:00:00-05:00,36.67,36.7,35.53,35.66,3682438
2011-01-20 16:00:00-05:00,35.26,35.77,33.57,35.42,7837798
2011-01-21 16:00:00-05:00,35.88,36.22,34.4,35.05,3647559
2011-01-24 16:00:00-05:00,35.6,35.735,34.75,35.65,2489637
2011-01-25 16:00:00-05:00,35.7,36.15,35.525,35.7,6351441
2011-01-26 16:00:00-05:00,35.78,36.25,35.54,36.0,2325666
2011-01-27 16:00:00-05:00,36.06,36.51,35.825,36.2,2718782
2011-01-28 16:00:00-05:00,36.3,36.48,34.62,34.86,1961216
2011-01-31 16:00:00-05:00,34.77,36.04,34.77,35.94,2250306
2011-02-01 16:00:00-05:00,36.19,37.0,35.97,36.84,2823401
2011-02-02 16:00:00-05:00,36.51,36.88,36.17,36.55,1646430
2011-02-03 16:00:00-05:00,36.83,37.44,36.0,36.12,3667157
2011-02-04 16:00:00-05:00,36.44,36.76,35.34,36.17,4086987
2011-02-07 16:00:00-05:00,36.49,36.77,35.29,35.52,4454843
2011-02-08 16:00:00-05:00,35.77,35.85,34.36,35.48,5053713
2011-02-09 16:00:00-05:00,35.24,35.95,34.59,35.84,5237529
2011-02-10 16:00:00-05:00,35.33,36.83,35.33,36.75,2841450
2011-02-11 16:00:00-05:00,36.17,38.89,35.76,37.07,4639489
2011-02-14 16:00:00-05:00,37.42,37.44,36.81,37.4,2764254
2011-02-15 16:00:00-05:00,37.39,37.67,36.56,37.48,2470470
2011-02-16 16:00:00-05:00,37.47,37.8,37.09,37.54,2955581
2011-02-17 16:00:00-05:00,37.59,38.6,37.26,38.59,6306778
2011-02-18 16:00:00-05:00,36.9,38.12,35.34,37.95,15391908
2011-02-22 16:00:00-05:00,36.53,38.75,35.74,35.84,6342577
