,Open,High,Low,Close,Volume
2013-11-20 16:00:00-05:00,39.34,39.69,39.17,39.43,2624263
2013-11-21 16:00:00-05:00,39.28,39.43,39.01,39.4,3631190
2013-11-22 16:00:00-05:00,39.4,39.67,38.87,39.56,3216772
2013-11-25 16:00:00-05:00,39.39,39.51,37.845,37.94,4620242
2013-11-26 16:00:00-05:00,37.83,38.55,37.64,38.53,4368425
2013-11-27 16:00:00-05:00,38.39,38.49,37.9299,38.25,2217587
2013-11-29 16:00:00-05:00,38.21,38.51,38.05,38.12,735088
2013-12-02 16:00:00-05:00,38.16,38.71,38.09,38.21,2567271
2013-12-03 16:00:00-05:00,37.94,38.56,37.92,38.48,2241170
2013-12-04 16:00:00-05:00,38.42,38.67,37.95,38.36,2306958
2013-12-05 16:00:00-05:00,38.16,38.22,37.65,37.69,2917881
2013-12-06 16:00:00-05:00,38.01,38.11,37.59,37.85,2263394
2013-12-09 16:00:00-05:00,37.85,38.39,37.74,38.21,1869933
2013-12-10 16:00:00-05:00,38.13,38.27,37.85,37.95,1841748
2013-12-11 16:00:00-05:00,37.88,37.96,36.81,36.91,3910624
2013-12-12 16:00:00-05:00,36.78,37.17,36.52,37.04,3434152
2013-12-13 16:00:00-05:00,37.03,37.23,36.28,36.55,3399043
2013-12-16 16:00:00-05:00,36.67,37.16,36.5699,37.08,3676714
2013-12-17 16:00:00-05:00,37.01,37.14,36.4575,36.9,2803670
2013-12-18 16:00:00-05:00,36.77,36.89,35.87,36.69,6185637
2013-12-19 16:00:00-05:00,36.71,36.86,36.23,36.5,3352714
2013-12-20 16:00:00-05:00,36.15,36.81,36.15,36.32,5517738
2013-12-23 16:00:00-05:00,36.51,36.685,36.08,36.11,2448229
2013-12-24 16:00:00-05:00,36.21,36.93,36.11,36.7,1919442
2013-12-26 16:00:00-05:00,36.89,37.0,36.47,36.54,1465023
2013-12-27 16:00:00-05:00,36.6,37.05,36.51,36.97,1744247
2013-12-30 16:00:00-05:00,36.93,37.27,36.41,36.5,1974611
2013-12-31 16:00:00-05:00,36.67,37.49,36.57,37.47,2024627
2014-01-02 16:00:00-05:00,37.11,37.57,36.57,36.63,2649923
2014-01-03 16:00:00-05:00,36.78,37.02,36.57,36.72,1724631
2014-01-06 16:00:00-05:00,36.9,37.04,36.61,36.94,2932927
2014-01-07 16:00:00-05:00,36.91,37.06,36.46,36.93,2196598
2014-01-08 16:00:00-05:00,36.44,36.63,35.92,36.23,3408513
2014-01-09 16:00:00-05:00,36.27,36.57,36.02,36.51,3477102
2014-01-10 16:00:00-05:00,36.59,36.97,36.32,36.51,2757787
2014-01-13 16:00:00-05:00,35.75,36.14,35.14,35.17,5419111
2014-01-14 16:00:00-05:00,35.31,36.05,35.28,36.02,2727871
2014-01-15 16:00:00-05:00,36.01,36.12,35.565,35.64,2750657
2014-01-16 16:00:00-05:00,35.48,35.55,34.86,35.25,6025570
2014-01-17 16:00:00-05:00,35.28,35.775,35.2,35.39,2653549
2014-01-21 16:00:00-05:00,35.26,35.75,35.24,35.47,4120271
2014-01-22 16:00:00-05:00,35.96,36.3,35.46,36.25,4607781
2014-01-23 16:00:00-05:00,34.96,35.36,32.6,33.13,17239776
2014-01-24 16:00:00-05:00,32.75,33.11,32.44,32.94,6464361
2014-01-27 16:00:00-05:00,32.87,33.16,32.35,32.6,4513961
2014-01-28 16:00:00-05:00,32.47,32.68,32.03,32.25,5705842
2014-01-29 16:00:00-05:00,31.99,32.09,31.645,31.66,6018441
2014-01-30 16:00:00-05:00,32.05,32.16,31.365,31.64,6443608
2014-01-31 16:00:00-05:00,31.48,31.5,30.99,31.03,6645659
2014-02-03 16:00:00-05:00,30.88,31.0799,30.31,30.92,5570860
2014-02-04 16:00:00-05:00,31.04,31.25,30.81,31.11,4446059
2014-02-05 16:00:00-05:00,30.96,31.05,30.44,30.49,4223725
2014-02-06 16:00:00-05:00,30.17,30.68,30.04,30.56,4857802
2014-02-07 16:00:00-05:00,30.69,30.77,30.23,30.7,3819601
2014-02-10 16:00:00-05:00,30.71,31.09,30.43,30.62,3864650
2014-02-11 16:00:00-05:00,30.59,31.6,30.56,31.44,3398944
