,Open,High,Low,Close,Volume
2000-01-26 16:00:00-05:00,9.5,9.8438,9.5,9.75,95800
2000-01-27 16:00:00-05:00,9.8125,9.875,9.5625,9.625,220200
2000-01-28 16:00:00-05:00,9.5625,9.5625,9.2188,9.2188,87000
2000-01-31 16:00:00-05:00,9.1562,9.2812,8.9688,9.2812,207200
2000-02-01 16:00:00-05:00,9.3125,9.5312,9.2812,9.5312,104200
2000-02-02 16:00:00-05:00,9.5938,9.6562,9.4375,9.4375,67800
2000-02-03 16:00:00-05:00,9.5,9.5,9.3438,9.4375,68800
2000-02-04 16:00:00-05:00,9.4688,9.6875,9.4688,9.625,61600
2000-02-07 16:00:00-05:00,9.5938,9.6875,9.5,9.6562,133600
2000-02-08 16:00:00-05:00,9.7812,10.0,9.75,9.8125,171600
2000-02-09 16:00:00-05:00,9.9688,10.0625,9.9375,9.9375,424800
2000-02-10 16:00:00-05:00,10.0,10.2188,10.0,10.2188,207400
2000-02-11 16:00:00-05:00,10.1562,10.1562,10.0312,10.0625,232200
2000-02-14 16:00:00-05:00,10.0312,10.125,10.0312,10.125,125200
2000-02-15 16:00:00-05:00,10.5,10.5,10.125,10.1562,341000
2000-02-16 16:00:00-05:00,10.2188,10.2188,10.0625,10.2188,111600
2000-02-17 16:00:00-05:00,10.25,10.25,10.0312,10.0938,323000
2000-02-18 16:00:00-05:00,10.0938,10.1562,10.0,10.0,249200
2000-02-22 16:00:00-05:00,10.0,10.25,10.0,10.0938,144600
2000-02-23 16:00:00-05:00,10.0938,10.125,10.0312,10.0312,226400
2000-02-24 16:00:00-05:00,10.0,10.2188,9.9375,10.2188,447000
2000-02-25 16:00:00-05:00,10.25,10.625,10.2188,10.5,671200
2000-02-28 16:00:00-05:00,10.1875,10.4375,10.1875,10.4375,207400
2000-02-29 16:00:00-05:00,10.4375,10.4375,10.375,10.4375,190800
2000-03-01 16:00:00-05:00,0.0,10.4375,10.3125,10.3125,235200
2000-03-02 16:00:00-05:00,0.0,10.4375,10.3125,10.4375,171800
2000-03-03 16:00:00-05:00,0.0,10.7188,10.5,10.5938,469800
2000-03-06 16:00:00-05:00,0.0,10.6562,10.3438,10.375,59000
2000-03-07 16:00:00-05:00,10.375,10.375,10.0,10.0625,279000
2000-03-08 16:00:00-05:00,10.0938,10.125,9.9375,9.9375,95400
