,Open,High,Low,Close,Volume
2012-11-02 16:00:00-04:00,32.05,33.15,30.32,31.1,6838208
2012-11-05 16:00:00-05:00,31.19,33.34,30.86,33.3,570379
2012-11-06 16:00:00-05:00,33.4,33.9,32.2,33.3,462084
2012-11-07 16:00:00-05:00,32.55,33.08,32.03,32.45,111658
2012-11-08 16:00:00-05:00,32.03,33.51,32.0,33.08,200172
2012-11-09 16:00:00-05:00,32.52,32.52,31.5,32.13,335652
2012-11-12 16:00:00-05:00,32.13,32.65,31.64,32.235,237309
2012-11-13 16:00:00-05:00,31.9,32.5,31.738,32.41,161711
2012-11-14 16:00:00-05:00,32.75,33.8,32.55,33.39,215627
2012-11-15 16:00:00-05:00,32.7,33.96,32.7,33.63,242512
2012-11-16 16:00:00-05:00,33.82,35.18,33.7201,34.45,183378
2012-11-19 16:00:00-05:00,34.8,35.28,34.32,34.57,141694
2012-11-20 16:00:00-05:00,34.7,35.63,34.53,35.08,70261
2012-11-21 16:00:00-05:00,35.45,35.45,34.925,35.1199,61141
2012-11-23 13:00:00-05:00,35.4,35.55,35.29,35.49,79948
2012-11-26 16:00:00-05:00,35.5,38.33,35.41,37.99,469626
2012-11-27 16:00:00-05:00,37.5,37.64,35.2966,35.78,613664
2012-11-28 16:00:00-05:00,35.75,36.93,35.61,36.9,156381
2012-11-29 16:00:00-05:00,37.0,37.14,36.5,37.0,71593
2012-11-30 16:00:00-05:00,37.0001,37.8136,36.69,36.9,87938
2012-12-03 16:00:00-05:00,37.4,37.4,36.53,36.74,117317
2012-12-04 16:00:00-05:00,36.36,36.7,35.86,36.7,179029
2012-12-05 16:00:00-05:00,36.3,37.2,35.77,36.0,111679
2012-12-06 16:00:00-05:00,36.25,37.0,35.49,36.72,223745
2012-12-07 16:00:00-05:00,37.2,37.315,36.65,36.74,201694
2012-12-10 16:00:00-05:00,37.16,37.47,36.32,36.5,327329
2012-12-11 16:00:00-05:00,36.7,36.92,35.82,36.06,158376
2012-12-12 16:00:00-05:00,36.44,37.02,35.72,36.69,314140
2012-12-13 16:00:00-05:00,33.5,36.319,33.2,34.9,1878847
2012-12-14 16:00:00-05:00,34.5,35.74,34.45,34.51,176742
2012-12-17 16:00:00-05:00,33.61,34.92,33.61,33.72,170892
2012-12-18 16:00:00-05:00,33.86,33.95,31.72,32.7,647028
2012-12-19 16:00:00-05:00,31.56,33.24,31.56,32.97,270719
2012-12-20 16:00:00-05:00,32.86,32.95,31.68,32.0,300594
2012-12-21 16:00:00-05:00,31.15,31.74,30.92,31.49,816703
2012-12-24 13:00:00-05:00,31.59,32.88,31.3601,32.35,112248
2012-12-26 16:00:00-05:00,32.43,32.642,32.1,32.37,149415
2012-12-27 16:00:00-05:00,32.29,32.88,32.19,32.76,107520
2012-12-28 16:00:00-05:00,32.7,34.5,32.6,33.89,229088
2012-12-31 16:00:00-05:00,33.89,34.26,33.5,33.73,102324
2013-01-02 16:00:00-05:00,33.8,34.1999,33.14,33.23,207864
2013-01-03 16:00:00-05:00,33.41,34.4899,33.23,34.39,155373
2013-01-04 16:00:00-05:00,34.36,34.88,33.68,34.29,231355
2013-01-07 16:00:00-05:00,34.23,35.44,32.92,32.97,172216
2013-01-08 16:00:00-05:00,32.85,33.55,31.94,32.19,169918
2013-01-09 16:00:00-05:00,32.07,33.5,31.9338,33.05,85808
2013-01-10 16:00:00-05:00,33.4,33.92,32.51,32.78,106824
2013-01-11 16:00:00-05:00,32.95,33.18,32.45,32.82,79533
2013-01-14 16:00:00-05:00,33.05,33.05,32.25,32.8,67690
2013-01-15 16:00:00-05:00,32.56,33.21,32.24,32.55,82425
2013-01-16 16:00:00-05:00,32.59,32.59,31.6,32.3,81657
2013-01-17 16:00:00-05:00,32.59,34.0,32.36,33.98,142598
2013-01-18 16:00:00-05:00,33.79,35.55,33.59,35.16,204223
2013-01-22 16:00:00-05:00,35.0,36.22,35.0,35.73,50397
2013-01-23 16:00:00-05:00,35.86,36.05,35.201,35.7,56550
2013-01-24 16:00:00-05:00,35.88,36.24,35.5301,36.23,28068
2013-01-25 16:00:00-05:00,36.4,36.7,35.77,36.08,57933
2013-01-28 16:00:00-05:00,36.0,36.328,35.75,35.84,45177
2013-01-29 16:00:00-05:00,35.87,36.75,35.761,36.09,76461
2013-01-30 16:00:00-05:00,36.3,36.3,35.75,36.13,25009
2013-01-31 16:00:00-05:00,36.45,36.69,35.34,36.0,69881
2013-02-01 16:00:00-05:00,36.25,36.31,35.3302,36.23,77435
2013-02-04 16:00:00-05:00,36.11,36.88,35.88,36.39,46010
2013-02-05 16:00:00-05:00,36.58,39.46,36.43,37.51,157719
2013-02-06 16:00:00-05:00,37.43,39.39,37.43,38.92,76962
2013-02-07 16:00:00-05:00,39.0,39.17,38.5601,38.95,66719
2013-02-08 16:00:00-05:00,39.04,39.25,38.845,39.08,69522
2013-02-11 16:00:00-05:00,39.22,39.99,38.57,39.17,63946
2013-02-12 16:00:00-05:00,39.35,39.77,39.26,39.53,140420
2013-02-13 16:00:00-05:00,39.72,39.96,39.38,39.44,80703
