,Open,High,Low,Close,Volume
1992-07-07 16:00:00-04:00,0.0,5.25,4.5,4.625,262500
1992-07-08 16:00:00-04:00,0.0,4.75,4.625,4.625,39000
1992-07-09 16:00:00-04:00,0.0,4.75,4.625,4.625,38400
1992-07-10 16:00:00-04:00,0.0,4.75,4.625,4.625,67100
1992-07-13 16:00:00-04:00,0.0,4.75,4.625,4.625,19500
1992-07-14 16:00:00-04:00,0.0,4.75,4.5,4.75,39400
1992-07-15 16:00:00-04:00,0.0,4.75,4.625,4.625,7700
1992-07-16 16:00:00-04:00,0.0,4.625,4.625,4.625,9700
1992-07-17 16:00:00-04:00,0.0,4.75,4.625,4.75,17900
1992-07-20 16:00:00-04:00,0.0,4.625,4.375,4.375,18900
1992-07-21 16:00:00-04:00,0.0,4.625,4.375,4.375,11600
1992-07-22 16:00:00-04:00,0.0,4.625,4.375,4.375,37400
1992-07-23 16:00:00-04:00,0.0,4.5,4.375,4.5,25600
1992-07-24 16:00:00-04:00,0.0,4.625,4.375,4.5,72300
1992-07-27 16:00:00-04:00,0.0,4.625,4.375,4.5,40300
1992-07-28 16:00:00-04:00,0.0,4.625,4.375,4.5,17100
1992-07-29 16:00:00-04:00,0.0,4.75,4.5,4.5,7900
1992-07-30 16:00:00-04:00,0.0,4.625,4.5,4.5,8500
1992-07-31 16:00:00-04:00,0.0,4.625,4.5,4.5,3600
1992-08-03 16:00:00-04:00,0.0,4.625,4.5,4.5,9200
1992-08-04 16:00:00-04:00,0.0,4.625,4.5,4.5,6000
1992-08-05 16:00:00-04:00,0.0,4.5,4.5,4.5,52200
1992-08-06 16:00:00-04:00,0.0,5.125,4.75,4.75,13900
1992-08-07 16:00:00-04:00,0.0,4.875,4.75,4.75,7000
1992-08-10 16:00:00-04:00,0.0,4.875,4.75,4.75,10500
1992-08-11 16:00:00-04:00,0.0,4.625,4.625,4.625,10100
1992-08-12 16:00:00-04:00,0.0,4.875,4.5,4.625,63900
1992-08-13 16:00:00-04:00,0.0,4.75,4.5,4.75,9300
1992-08-14 16:00:00-04:00,0.0,4.75,4.625,4.625,2000
1992-08-17 16:00:00-04:00,0.0,4.75,4.5,4.5,11500
1992-08-18 16:00:00-04:00,0.0,4.75,4.5,4.75,5600
1992-08-19 16:00:00-04:00,0.0,4.5,4.5,4.5,2500
1992-08-20 16:00:00-04:00,0.0,4.5,4.5,4.5,6200
1992-08-21 16:00:00-04:00,0.0,4.5,4.5,4.5,1000
1992-08-24 16:00:00-04:00,0.0,4.75,4.5,4.5,22200
1992-08-25 16:00:00-04:00,0.0,4.5,4.5,4.5,3500
1992-08-26 16:00:00-04:00,0.0,4.625,4.5,4.625,32600
1992-08-27 16:00:00-04:00,0.0,4.625,4.5,4.5,11900
1992-08-28 16:00:00-04:00,0.0,4.375,4.375,4.375,6700
1992-08-31 16:00:00-04:00,0.0,4.625,4.375,4.375,6800
1992-09-01 16:00:00-04:00,0.0,4.5,4.375,4.5,4500
1992-09-02 16:00:00-04:00,0.0,4.5,4.375,4.375,15400
1992-09-03 16:00:00-04:00,0.0,4.5,4.375,4.5,12500
1992-09-04 16:00:00-04:00,0.0,4.375,4.375,4.375,1400
1992-09-08 16:00:00-04:00,0.0,4.375,4.375,4.375,2000
1992-09-09 16:00:00-04:00,0.0,4.375,4.375,4.375,9900
1992-09-10 16:00:00-04:00,0.0,4.375,4.375,4.375,2900
1992-09-11 16:00:00-04:00,0.0,4.375,4.375,4.375,300
1992-09-14 16:00:00-04:00,0.0,4.375,4.375,4.375,3700
1992-09-15 16:00:00-04:00,0.0,4.375,4.375,4.375,400
1992-09-16 16:00:00-04:00,0.0,4.375,4.25,4.375,2700
1992-09-17 16:00:00-04:00,0.0,4.375,4.375,4.375,7000
1992-09-18 16:00:00-04:00,0.0,4.5,4.125,4.25,13700
1992-09-21 16:00:00-04:00,0.0,0.0,0.0,4.25,0
1992-09-22 16:00:00-04:00,0.0,4.5,4.25,4.25,94300
1992-09-23 16:00:00-04:00,0.0,4.5,4.375,4.375,5500
1992-09-24 16:00:00-04:00,0.0,4.75,4.375,4.625,15300
1992-09-25 16:00:00-04:00,0.0,5.0,4.625,4.875,31800
1992-09-28 16:00:00-04:00,0.0,4.75,4.75,4.75,500
1992-09-29 16:00:00-04:00,0.0,4.875,4.625,4.625,3500
1992-09-30 16:00:00-04:00,0.0,4.875,4.625,4.625,2100
1992-10-01 16:00:00-04:00,0.0,4.75,4.75,4.75,3100
1992-10-02 16:00:00-04:00,0.0,4.75,4.5,4.75,8700
1992-10-05 16:00:00-04:00,0.0,4.5,4.125,4.25,46700
1992-10-06 16:00:00-04:00,0.0,4.5,4.25,4.25,3800
1992-10-07 16:00:00-04:00,0.0,4.25,4.25,4.25,1000
1992-10-08 16:00:00-04:00,0.0,4.625,4.375,4.5,23000
1992-10-09 16:00:00-04:00,0.0,4.625,4.5,4.5,1900
1992-10-12 16:00:00-04:00,0.0,0.0,0.0,4.5,0
1992-10-13 16:00:00-04:00,0.0,4.625,4.5,4.5,2500
1992-10-14 16:00:00-04:00,0.0,4.625,4.5,4.5,4400
1992-10-15 16:00:00-04:00,0.0,4.625,4.5,4.625,3000
1992-10-16 16:00:00-04:00,0.0,4.625,4.5,4.625,4400
1992-10-19 16:00:00-04:00,0.0,0.0,0.0,4.625,0
1992-10-20 16:00:00-04:00,0.0,4.5,4.5,4.5,17500
1992-10-21 16:00:00-04:00,0.0,4.625,4.625,4.625,7200
1992-10-22 16:00:00-04:00,0.0,4.625,4.375,4.625,37800
1992-10-23 16:00:00-04:00,0.0,4.625,4.375,4.5,7300
