,Open,High,Low,Close,Volume
2011-04-08 16:00:00-04:00,18.0,18.2,17.25,17.55,13311426
2011-04-11 16:00:00-04:00,17.55,17.57,16.95,17.28,1770289
2011-04-12 16:00:00-04:00,17.19,17.195,16.75,17.06,742767
2011-04-13 16:00:00-04:00,17.19,17.65,17.06,17.36,562198
2011-04-14 16:00:00-04:00,17.43,17.5593,17.0,17.0,1289805
2011-04-15 16:00:00-04:00,17.0,17.89,17.0,17.88,617260
2011-04-18 16:00:00-04:00,17.86,18.58,17.31,17.93,427898
2011-04-19 16:00:00-04:00,18.13,18.49,18.0,18.33,543363
2011-04-20 16:00:00-04:00,18.98,19.0,18.6,19.0,1001200
2011-04-21 16:00:00-04:00,19.5,19.87,18.96,18.99,1054517
2011-04-25 16:00:00-04:00,20.04,20.1,19.37,20.07,1339356
2011-04-26 16:00:00-04:00,20.25,20.8,19.95,20.0,1191806
2011-04-27 16:00:00-04:00,20.15,20.24,19.85,19.9,645242
2011-04-28 16:00:00-04:00,19.95,20.029,19.33,19.44,416104
2011-04-29 16:00:00-04:00,19.5,19.809,19.1,19.14,433523
2011-05-02 16:00:00-04:00,19.36,19.58,18.31,18.69,724825
2011-05-03 16:00:00-04:00,18.82,18.83,18.18,18.2,428108
2011-05-04 16:00:00-04:00,18.17,18.86,18.04,18.64,383788
2011-05-05 16:00:00-04:00,18.62,19.1,18.5365,18.64,398360
2011-05-06 16:00:00-04:00,18.65,19.7307,18.65,19.5175,490070
2011-05-09 16:00:00-04:00,19.59,20.24,19.55,20.22,516992
2011-05-10 16:00:00-04:00,19.8,20.37,19.73,20.37,599705
2011-05-11 16:00:00-04:00,20.31,20.419,19.88,19.97,349058
2011-05-12 16:00:00-04:00,19.8,19.91,19.37,19.547,268508
2011-05-13 16:00:00-04:00,19.55,19.75,18.77,18.9899,368731
2011-05-16 16:00:00-04:00,18.98,19.5,18.6854,18.75,408723
2011-05-17 16:00:00-04:00,18.64,19.0301,18.46,18.66,201965
2011-05-18 16:00:00-04:00,18.62,18.62,18.0,18.23,402086
2011-05-19 16:00:00-04:00,18.27,18.59,18.13,18.13,317244
2011-05-20 16:00:00-04:00,18.26,18.47,18.24,18.24,416406
2011-05-23 16:00:00-04:00,18.35,18.36,17.76,18.0,830604
2011-05-24 16:00:00-04:00,18.2,18.55,18.15,18.17,468146
2011-05-25 16:00:00-04:00,18.31,18.62,18.26,18.56,386109
2011-05-26 16:00:00-04:00,18.64,18.78,18.61,18.67,256080
2011-05-27 16:00:00-04:00,18.88,20.19,18.86,19.96,750927
2011-05-31 16:00:00-04:00,20.48,20.8899,19.93,19.96,637693
2011-06-01 16:00:00-04:00,20.12,20.59,19.65,19.74,499453
2011-06-02 16:00:00-04:00,20.02,20.46,19.77,20.16,555083
2011-06-03 16:00:00-04:00,20.0,20.79,19.8309,20.3285,309520
2011-06-06 16:00:00-04:00,20.4,20.75,20.08,20.17,282631
2011-06-07 16:00:00-04:00,20.14,20.29,19.75,20.01,319639
2011-06-08 16:00:00-04:00,20.08,20.17,19.83,19.9,231071
2011-06-09 16:00:00-04:00,20.0,20.25,19.95,20.06,345015
2011-06-10 16:00:00-04:00,20.19,21.22,19.95,21.22,436673
2011-06-13 16:00:00-04:00,21.5,22.74,21.39,21.47,728100
2011-06-14 16:00:00-04:00,21.67,22.0499,21.5,21.75,483137
2011-06-15 16:00:00-04:00,21.83,22.25,21.65,21.94,456436
2011-06-16 16:00:00-04:00,21.94,22.16,20.02,20.5,458327
2011-06-17 16:00:00-04:00,20.63,21.22,20.3,20.77,299633
2011-06-20 16:00:00-04:00,20.86,21.28,20.6356,21.28,224317
2011-06-21 16:00:00-04:00,21.51,21.75,21.23,21.71,268177
2011-06-22 16:00:00-04:00,21.7,22.4,21.51,22.17,415157
2011-06-23 16:00:00-04:00,21.93,22.0,21.4,22.0,218006
2011-06-24 16:00:00-04:00,21.93,22.0,21.5106,21.88,138062
2011-06-27 16:00:00-04:00,21.93,22.78,21.93,22.6,386667
2011-06-28 16:00:00-04:00,22.75,22.76,22.36,22.59,252093
2011-06-29 16:00:00-04:00,22.98,23.36,22.6,23.15,577605
2011-06-30 16:00:00-04:00,23.36,23.3699,22.11,22.46,475334
2011-07-01 16:00:00-04:00,22.6,22.6,22.2,22.3,228904
2011-07-05 16:00:00-04:00,22.45,22.799,22.45,22.77,225962
2011-07-06 16:00:00-04:00,22.9,23.259,22.61,23.17,220795
2011-07-07 16:00:00-04:00,23.36,23.95,23.32,23.73,358477
2011-07-08 16:00:00-04:00,23.44,24.01,23.03,24.0,290522
2011-07-11 16:00:00-04:00,23.78,23.78,22.7,23.0,345450
2011-07-12 16:00:00-04:00,22.86,23.4,22.86,23.29,256082
2011-07-13 16:00:00-04:00,23.57,23.97,23.27,23.28,235619
2011-07-14 16:00:00-04:00,23.45,23.74,22.98,23.61,181816
2011-07-15 16:00:00-04:00,23.75,24.24,23.66,24.08,196189
2011-07-18 16:00:00-04:00,24.08,24.96,24.05,24.5,498886
2011-07-19 16:00:00-04:00,24.95,25.25,24.6806,24.99,425104
2011-07-20 16:00:00-04:00,25.0,25.889,24.88,25.5,431009
2011-07-21 16:00:00-04:00,25.75,26.1,24.46,24.82,469445
2011-07-22 16:00:00-04:00,24.7,25.046,24.4,24.65,297421
2011-07-25 16:00:00-04:00,24.84,24.94,24.25,24.94,252978
2011-07-26 16:00:00-04:00,25.21,25.21,24.41,24.55,412573
2011-07-27 16:00:00-04:00,24.34,24.42,22.57,23.52,827254
2011-07-28 16:00:00-04:00,23.5,23.97,23.25,23.26,246184
2011-07-29 16:00:00-04:00,22.89,24.09,22.5,23.45,381545
2011-08-01 16:00:00-04:00,24.32,24.62,23.86,23.97,474748
2011-08-02 16:00:00-04:00,24.24,24.58,23.0,23.23,609849
2011-08-03 16:00:00-04:00,23.08,23.085,22.1,22.78,536612
2011-08-04 16:00:00-04:00,22.44,23.2299,22.0,22.07,618328
2011-08-05 16:00:00-04:00,22.46,22.612,21.29,21.55,581485
2011-08-08 16:00:00-04:00,20.95,21.22,19.47,20.4,1289239
