,Open,High,Low,Close,Volume
2005-07-06 16:00:00-04:00,3.1,3.17,3.07,3.12,343200
2005-07-07 16:00:00-04:00,3.2,3.2,3.15,3.17,132500
2005-07-08 16:00:00-04:00,3.2,3.23,3.17,3.19,162200
2005-07-11 16:00:00-04:00,3.22,3.24,3.19,3.24,208200
2005-07-12 16:00:00-04:00,3.27,3.29,3.25,3.29,203800
2005-07-13 16:00:00-04:00,3.28,3.29,3.25,3.25,93200
2005-07-14 16:00:00-04:00,3.23,3.28,3.23,3.24,82000
2005-07-15 16:00:00-04:00,3.3,3.3,3.2,3.22,223500
2005-07-18 16:00:00-04:00,3.25,3.25,3.16,3.19,68300
2005-07-19 16:00:00-04:00,3.19,3.21,3.16,3.19,203600
2005-07-20 16:00:00-04:00,3.23,3.23,3.18,3.19,152500
2005-07-21 16:00:00-04:00,3.23,3.26,3.21,3.25,101700
2005-07-22 16:00:00-04:00,3.25,3.25,3.2,3.21,80200
2005-07-25 16:00:00-04:00,3.21,3.25,3.2,3.21,58800
2005-07-26 16:00:00-04:00,3.2,3.2,3.16,3.17,120900
2005-07-27 16:00:00-04:00,3.19,3.2,3.15,3.16,109200
2005-07-28 16:00:00-04:00,3.18,3.2,3.15,3.19,220600
2005-07-29 16:00:00-04:00,3.2,3.25,3.18,3.23,172100
2005-08-01 16:00:00-04:00,3.26,3.4,3.25,3.39,115300
2005-08-02 16:00:00-04:00,3.34,3.38,3.26,3.35,192600
2005-08-03 16:00:00-04:00,3.39,3.51,3.39,3.51,404000
2005-08-04 16:00:00-04:00,3.53,3.53,3.43,3.44,112800
2005-08-05 16:00:00-04:00,3.42,3.44,3.38,3.41,77200
2005-08-08 16:00:00-04:00,3.41,3.42,3.34,3.39,118200
2005-08-09 16:00:00-04:00,3.39,3.39,3.3,3.35,139100
2005-08-10 16:00:00-04:00,3.36,3.36,3.3,3.34,241300
2005-08-11 16:00:00-04:00,3.34,3.52,3.34,3.52,585000
2005-08-12 16:00:00-04:00,3.5,3.66,3.45,3.66,369800
2005-08-15 16:00:00-04:00,3.67,3.67,3.54,3.58,122600
2005-08-16 16:00:00-04:00,3.62,3.68,3.58,3.67,107200
2005-08-17 16:00:00-04:00,3.67,3.67,3.57,3.62,184400
2005-08-18 16:00:00-04:00,3.61,3.66,3.61,3.64,100200
2005-08-19 16:00:00-04:00,3.66,3.66,3.606,3.65,83200
2005-08-22 16:00:00-04:00,3.68,3.68,3.5,3.52,116800
2005-08-23 16:00:00-04:00,3.58,3.58,3.33,3.44,268600
2005-08-24 16:00:00-04:00,3.46,3.52,3.45,3.5,113800
2005-08-25 16:00:00-04:00,3.49,3.54,3.49,3.53,108900
2005-08-26 16:00:00-04:00,3.53,3.55,3.45,3.5,137400
2005-08-29 16:00:00-04:00,3.5,3.52,3.43,3.46,59700
2005-08-30 16:00:00-04:00,3.46,3.5,3.37,3.5,105500
2005-08-31 16:00:00-04:00,3.45,3.55,3.42,3.55,262100
2005-09-01 16:00:00-04:00,3.61,3.73,3.58,3.65,381900
2005-09-02 16:00:00-04:00,3.7,3.71,3.65,3.7,281200
2005-09-06 16:00:00-04:00,3.76,3.76,3.7,3.71,175100
2005-09-07 16:00:00-04:00,3.7,3.71,3.68,3.7,174100
2005-09-08 16:00:00-04:00,3.79,3.81,3.61,3.71,326200
2005-09-09 16:00:00-04:00,3.75,3.81,3.74,3.76,125900
2005-09-12 16:00:00-04:00,3.76,3.81,3.76,3.81,219100
2005-09-13 16:00:00-04:00,3.82,3.82,3.75,3.77,55800
2005-09-14 16:00:00-04:00,3.79,3.89,3.78,3.89,176200
2005-09-15 16:00:00-04:00,3.98,4.02,3.93,4.0,323700
2005-09-16 16:00:00-04:00,4.15,4.17,4.09,4.15,353200
2005-09-19 16:00:00-04:00,4.4,5.12,4.17,4.24,757700
2005-09-20 16:00:00-04:00,4.27,4.3,4.05,4.09,396000
2005-09-21 16:00:00-04:00,4.04,4.29,4.04,4.28,428200
2005-09-22 16:00:00-04:00,4.3,4.3,4.17,4.2,303000
2005-09-23 16:00:00-04:00,4.11,4.17,4.06,4.15,186600
2005-09-26 16:00:00-04:00,4.07,4.19,4.01,4.16,272300
2005-09-27 16:00:00-04:00,4.15,4.19,4.09,4.1,185200
2005-09-28 16:00:00-04:00,4.19,4.19,4.11,4.14,194700
2005-09-29 16:00:00-04:00,4.14,4.37,4.14,4.29,369100
2005-09-30 16:00:00-04:00,4.4,4.4,4.3,4.37,281900
2005-10-03 16:00:00-04:00,4.38,4.42,4.28,4.33,264200
2005-10-04 16:00:00-04:00,4.34,4.34,4.2,4.21,305800
2005-10-05 16:00:00-04:00,4.23,4.24,4.02,4.03,214700
2005-10-06 16:00:00-04:00,4.05,4.2,4.05,4.15,294100
2005-10-07 16:00:00-04:00,4.19,4.51,4.19,4.48,1623700
2005-10-10 16:00:00-04:00,4.52,4.89,4.5,4.76,633100
2005-10-11 16:00:00-04:00,4.67,4.77,4.56,4.67,926300
2005-10-12 16:00:00-04:00,4.7,4.71,4.52,4.56,395300
2005-10-13 16:00:00-04:00,4.48,4.48,4.21,4.45,471700
2005-10-14 16:00:00-04:00,4.39,4.63,4.32,4.61,553000
2005-10-17 16:00:00-04:00,4.79,4.79,4.6,4.66,486700
2005-10-18 16:00:00-04:00,4.64,4.65,4.5,4.5,224600
2005-10-19 16:00:00-04:00,4.25,4.41,4.24,4.38,446300
2005-10-20 16:00:00-04:00,4.39,4.43,4.2,4.28,297000
2005-10-21 16:00:00-04:00,4.23,4.43,4.23,4.38,294200
2005-10-24 16:00:00-04:00,4.38,4.71,4.37,4.64,472400
2005-10-25 16:00:00-04:00,4.71,4.86,4.71,4.85,314200
2005-10-26 16:00:00-04:00,4.85,4.89,4.64,4.73,600200
2005-10-27 16:00:00-04:00,4.75,4.77,4.52,4.574,313000
2005-10-28 16:00:00-04:00,4.57,4.65,4.5,4.6,170100
2005-10-31 16:00:00-05:00,4.6,4.6,4.48,4.49,279900
2005-11-01 16:00:00-05:00,4.5,4.6,4.35,4.59,436300
2005-11-02 16:00:00-05:00,4.64,4.68,4.64,4.68,327100
2005-11-03 16:00:00-05:00,4.68,4.68,4.6,4.6,279200
2005-11-04 16:00:00-05:00,4.65,4.65,4.55,4.56,253200
2005-11-07 16:00:00-05:00,4.55,4.55,4.45,4.5,176800
2005-11-08 16:00:00-05:00,4.46,4.52,4.43,4.49,134700
2005-11-09 16:00:00-05:00,4.49,4.61,4.48,4.61,338100
2005-11-10 16:00:00-05:00,4.65,4.65,4.54,4.58,213700
2005-11-11 16:00:00-05:00,4.57,4.59,4.51,4.58,180200
2005-11-14 16:00:00-05:00,4.6,4.6,4.52,4.58,140800
2005-11-15 16:00:00-05:00,4.6,4.61,4.55,4.56,280900
2005-11-16 16:00:00-05:00,4.6,5.0,4.6,4.9,1418200
2005-11-17 16:00:00-05:00,5.0,5.1,4.95,5.01,737500
2005-11-18 16:00:00-05:00,5.06,5.06,4.88,5.04,421800
2005-11-21 16:00:00-05:00,5.12,5.2,5.04,5.2,523200
2005-11-22 16:00:00-05:00,5.28,5.28,5.1,5.14,427800
2005-11-23 16:00:00-05:00,5.05,5.1,4.96,5.07,355000
2005-11-25 16:00:00-05:00,5.0,5.5,4.99,5.4,571700
2005-11-28 16:00:00-05:00,5.48,5.64,5.34,5.42,900200
2005-11-29 16:00:00-05:00,5.42,5.5,5.35,5.49,496500
2005-11-30 16:00:00-05:00,5.45,5.45,5.26,5.32,358300
2005-12-01 16:00:00-05:00,5.4,5.52,5.38,5.5,848800
2005-12-02 16:00:00-05:00,5.51,5.51,5.35,5.35,371500
2005-12-05 16:00:00-05:00,5.43,5.67,5.41,5.62,1112200
2005-12-06 16:00:00-05:00,5.59,5.59,5.25,5.35,1614100
2005-12-07 16:00:00-05:00,5.35,5.51,5.35,5.36,1319000
2005-12-08 16:00:00-05:00,5.41,5.41,5.29,5.35,495100
2005-12-09 16:00:00-05:00,5.4,5.42,5.12,5.19,1254400
2005-12-12 16:00:00-05:00,5.31,5.4,4.93,5.03,1443300
2005-12-13 16:00:00-05:00,5.01,5.14,4.88,5.14,708800
2005-12-14 16:00:00-05:00,5.04,5.16,4.99,4.99,607000
2005-12-15 16:00:00-05:00,5.04,5.11,5.0,5.07,579200
2005-12-16 16:00:00-05:00,5.11,5.15,5.06,5.06,350500
2005-12-19 16:00:00-05:00,5.13,5.17,5.07,5.14,500800
2005-12-20 16:00:00-05:00,5.14,5.23,5.1,5.17,660800
2005-12-21 16:00:00-05:00,5.14,5.16,5.101,5.16,408600
2005-12-22 16:00:00-05:00,5.21,5.55,5.18,5.53,1471000
2005-12-23 16:00:00-05:00,5.71,5.71,5.46,5.51,651000
2005-12-27 16:00:00-05:00,5.7,5.85,5.58,5.75,478500
2005-12-28 16:00:00-05:00,5.75,5.89,5.61,5.68,855400
2005-12-29 16:00:00-05:00,5.74,5.75,5.41,5.68,669100
2005-12-30 16:00:00-05:00,5.65,5.83,5.61,5.8,608500
2006-01-03 16:00:00-05:00,5.98,6.04,5.96,6.0,994600
